,State,Rice_CO2eq_perkg,Wheat_CO2eq_perkg,Maize_CO2eq_perkg,Millets_CO2eq_perkg,rice_ch4_co2_eq_per_ha,fN2O_percent
0,andaman and nicobar,0.1930497255,0.22387782120000005,0.197539254,0.197539254,5292.0,
1,andhra pradesh,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2434.6109803921563,3.58
2,arunachal pradesh,0.1930497255,0.22387782120000005,0.197539254,0.197539254,3838.367479674797,3.31
3,assam,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2774.3290441176473,3.53
4,bihar,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2732.242167957117,3.91
5,chhattisgarh,0.1930497255,0.22387782120000005,0.197539254,0.197539254,3651.4539113104133,3.02
6,dadra and nagar haveli,0.1930497255,0.22387782120000005,0.197539254,0.197539254,4309.6,
7,delhi,0.1930497255,0.22387782120000005,0.197539254,0.197539254,540.4,3.53
8,the dadra and nagar haveli and daman and diu,0.1930497255,0.22387782120000005,0.197539254,0.197539254,5292.0,3.52
9,goa,0.1930497255,0.22387782120000005,0.197539254,0.197539254,1865.7720754716984,3.48
10,gujarat,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2455.0185131894486,3.48
11,haryana,1.544397804,0.51491898876,0.197539254,0.197539254,1459.308357348703,2.93
12,himachal pradesh,1.544397804,0.51491898876,0.197539254,0.197539254,335.1848101265823,3.48
13,jammu and kashmir,0.1930497255,0.22387782120000005,0.197539254,0.197539254,540.4,2.54
14,jharkhand,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2589.339248305607,3.52
15,karnataka,0.9652486275,0.22387782120000005,0.197539254,0.197539254,1384.6719504643966,3.93
16,kerala,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2251.7748484848485,3.96
17,madhya pradesh,0.1930497255,0.22387782120000005,0.197539254,0.197539254,1610.9258366800534,3.32
18,maharashtra,0.1930497255,0.22387782120000005,0.197539254,0.197539254,1809.309057591623,3.57
19,manipur,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2362.636626506024,2.86
20,meghalaya,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2304.981538461539,3.56
21,mizoram,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2362.1458823529415,3.09
22,nagaland,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2326.571219512195,2.99
23,odisha,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2478.0573842696626,3.08
24,puducherry,0.1930497255,0.22387782120000005,0.197539254,0.197539254,1855.0933333333328,4.51
25,punjab,1.544397804,0.51491898876,0.197539254,0.197539254,537.7196489889355,2.85
26,rajasthan,0.1930497255,0.22387782120000005,0.197539254,0.197539254,190.14074074074074,3.65
27,sikkim,0.1930497255,0.22387782120000005,0.197539254,0.197539254,3228.96,2.91
28,tamil nadu,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2438.2269497669604,3.42
29,tripura,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2565.6796226415095,3.35
30,uttarakhand,0.1930497255,0.22387782120000005,0.197539254,0.197539254,359.6256227758007,3.86
31,uttar pradesh,0.48262431375,0.51491898876,0.197539254,0.197539254,1996.2045059956092,3.66
32,west bengal,0.1930497255,0.22387782120000005,0.197539254,0.197539254,2713.388143459916,3.87
