Year,State,atm_depo
2009,Andaman and Nicobar,0
2010,Andaman and Nicobar,0
2011,Andaman and Nicobar,0
2012,Andaman and Nicobar,0
2013,Andaman and Nicobar,0
2014,Andaman and Nicobar,0
2015,Andaman and Nicobar,0
2016,Andaman and Nicobar,0
2017,Andaman and Nicobar,0
2018,Andaman and Nicobar,0
2019,Andaman and Nicobar,0
2009,Andhra Pradesh,1.3588002
2010,Andhra Pradesh,1.3818499
2011,Andhra Pradesh,1.3990041
2012,Andhra Pradesh,1.3044418
2013,Andhra Pradesh,1.4046321
2014,Andhra Pradesh,1.4061933
2015,Andhra Pradesh,1.4061933
2016,Andhra Pradesh,1.4061933
2017,Andhra Pradesh,1.4061933
2018,Andhra Pradesh,1.4061933
2019,Andhra Pradesh,1.4061933
2009,Arunachal Pradesh,2.251464
2010,Arunachal Pradesh,2.4836702
2011,Arunachal Pradesh,2.236805
2012,Arunachal Pradesh,2.9637635
2013,Arunachal Pradesh,2.8590944
2014,Arunachal Pradesh,2.8610296
2015,Arunachal Pradesh,2.8610296
2016,Arunachal Pradesh,2.8610296
2017,Arunachal Pradesh,2.8610296
2018,Arunachal Pradesh,2.8610296
2019,Arunachal Pradesh,2.8610296
2009,Assam,1.6226897
2010,Assam,1.5984325
2011,Assam,1.8987689
2012,Assam,2.082299
2013,Assam,1.7855675
2014,Assam,2.105561
2015,Assam,2.105561
2016,Assam,2.105561
2017,Assam,2.105561
2018,Assam,2.105561
2019,Assam,2.105561
2009,Bihar,2.173468
2010,Bihar,1.7736853
2011,Bihar,2.044812
2012,Bihar,2.0033033
2013,Bihar,2.3777266
2014,Bihar,2.1206663
2015,Bihar,2.1206663
2016,Bihar,2.1206663
2017,Bihar,2.1206663
2018,Bihar,2.1206663
2019,Bihar,2.1206663
2009,Chandigarh,1.5097113
2010,Chandigarh,1.6114193
2011,Chandigarh,1.3304331
2012,Chandigarh,1.5687898
2013,Chandigarh,1.2914876
2014,Chandigarh,1.4651537
2015,Chandigarh,1.4651537
2016,Chandigarh,1.4651537
2017,Chandigarh,1.4651537
2018,Chandigarh,1.4651537
2019,Chandigarh,1.4651537
2009,Chhattisgarh,1.3480496
2010,Chhattisgarh,1.2213107
2011,Chhattisgarh,1.3779981
2012,Chhattisgarh,1.3355148
2013,Chhattisgarh,1.4534483
2014,Chhattisgarh,1.3920829
2015,Chhattisgarh,1.3920829
2016,Chhattisgarh,1.3920829
2017,Chhattisgarh,1.3920829
2018,Chhattisgarh,1.3920829
2019,Chhattisgarh,1.3920829
2009,Dadra and Nagar Haveli,0.7151578
2010,Dadra and Nagar Haveli,0.7373758
2011,Dadra and Nagar Haveli,0.6845294
2012,Dadra and Nagar Haveli,0.73163545
2013,Dadra and Nagar Haveli,0.743252
2014,Dadra and Nagar Haveli,0.65347475
2015,Dadra and Nagar Haveli,0.65347475
2016,Dadra and Nagar Haveli,0.65347475
2017,Dadra and Nagar Haveli,0.65347475
2018,Dadra and Nagar Haveli,0.65347475
2019,Dadra and Nagar Haveli,0.65347475
2009,Daman and Diu,0.42272675
2010,Daman and Diu,0.41332
2011,Daman and Diu,0.40549773
