Year,Crop,State,CostofProduction_rs_Quintal
2016,Rice,Andhra Pradesh ,
2016,Maize,Andhra Pradesh ,
2016,Jowar,Andhra Pradesh ,
2017,Rice,Andhra Pradesh ,1507.27
2017,Maize,Andhra Pradesh ,1173.99
2017,Jowar,Andhra Pradesh ,1173.99
2012,Jowar ,Andhra Pradesh ,1392.23
2012,Ragi ,Andhra Pradesh ,2469.4
2012,Maize,Andhra Pradesh ,1089.54
2012,Rice,Andhra Pradesh ,1135.01
2014,Jowar,Andhra Pradesh ,1732.18
2014,Rice,Andhra Pradesh ,1282.17
2014,Maize,Andhra Pradesh ,1130.4
2015,Jowar,Andhra Pradesh ,
2015,Maize,Andhra Pradesh ,
2015,Rice,Andhra Pradesh ,
2015,Rice,Assam,
2016,Rice,Assam,
2017,Rice,Assam,1428.68
2012,Rice,Assam ,1019.63
2014,Rice,Assam ,1427.84
2014,Rice,Bihar,1054.94
2015,Wheat,Bihar,
2015,Rice,Bihar,
2015,Maize,Bihar,
2016,Rice,Bihar,
2016,Wheat,Bihar,
2016,Maize,Bihar,
2017,Rice,Bihar,1270.28
2017,Wheat,Bihar,1274.59
2017,Maize,Bihar,1030.87
2017,Jowar,Bihar,1030.87
2012,Maize,Bihar ,782.18
2012,Rice,Bihar ,1081.16
2012,Wheat,Bihar ,862.77
2014,Wheat,Bihar ,1230.82
2014,Maize,Bihar ,1138.29
2017,Rice,Chhatisgarh,1272.75
2014,Rice,Chhattisgarh,1229.85
2015,Rice,Chhattisgarh,
2016,Rice,Chhattisgarh,
2017,Wheat,Chhattisgarh,2114.84
2017,Maize,Chhattisgarh,1556.32
2017,Jowar,Chhattisgarh,1556.32
2012,Maize,Chhattisgarh ,1078.31
2012,Wheat,Chhattisgarh ,1437.88
2012,Rice,Chhattisgarh ,962.25
2014,Rice,Gujarat,1095.87
2014,Maize,Gujarat,1931
2014,Bajra,Gujarat,1125.22
2015,Wheat,Gujarat,
2015,Maize,Gujarat,
2015,Bajra,Gujarat,
2015,Rice,Gujarat,
2016,Rice,Gujarat,
2016,Wheat,Gujarat,
2016,Maize,Gujarat,
2016,Bajra,Gujarat,
2017,Rice,Gujarat,1115.95
2017,Wheat,Gujarat,1358.31
