State,fN2O[% of Nsurplus],fNO3_leaching_to_GW[% of Nsurplus]
Andhra Pradesh,3.58,26.1
arunachal pradesh,3.31,66.98
Assam,3.53,71.96
Bihar,3.91,36.47
Chhattisgarh,3.02,64.21
Goa,3.48,62.11
Gujarat,3.48,26.76
Haryana,2.93,21.08
Himachal Pradesh,3.48,44.07
jammu and kashmir,2.54,52.65
Jharkhand,3.52,54.33
Karnataka,3.93,22.46
Kerala,3.96,56.37
Madhya Pradesh,3.32,15.57
Maharashtra,3.57,18.93
Manipur,2.86,61.49
meghalaya,3.56,57.66
Mizoram,3.09,58.69
Nagaland,2.99,67.33
delhi,3.53,46.06
odisha,3.08,54.5
Puducherry,4.51,6.1
Punjab,2.85,27.2
Rajasthan,3.65,14.93
Sikkim,2.91,56.34
Tamil Nadu,3.42,33.26
Telangana,4.2,20.86
Tripura,3.35,59.36
Uttar Pradesh,3.66,15.06
Uttarakhand,3.86,33.88
West Bengal,3.87,52.7
andaman and nicobar islands,3.52,54.39
daman and diu,3.52,54.39
dadra and nagar haveli,3.52,54.39
CHANDIGARH,3.52,54.39
LAKSHADEEP,3.52,54.39
