,state,district,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),crop
14,Andhra Pradesh, ANANTAPUR,1997,Kharif,1400.0,500.0,0.35714285714285715,bajra
15,Andhra Pradesh, ANANTAPUR,1998,Kharif,2600.0,1900.0,0.7307692307692307,bajra
16,Andhra Pradesh, ANANTAPUR,1999,Kharif,1635.0,889.0,0.5437308868501529,bajra
18,Andhra Pradesh, ANANTAPUR,2000,Kharif,2477.0,1449.0,0.5849818328623335,bajra
20,Andhra Pradesh, ANANTAPUR,2001,Kharif,1595.0,526.0,0.32978056426332286,bajra
22,Andhra Pradesh, ANANTAPUR,2002,Kharif,1925.0,581.0,0.3018181818181818,bajra
24,Andhra Pradesh, ANANTAPUR,2003,Kharif,2280.0,378.0,0.16578947368421051,bajra
26,Andhra Pradesh, ANANTAPUR,2004,Kharif,1021.0,403.0,0.39471106758080315,bajra
28,Andhra Pradesh, ANANTAPUR,2005,Kharif,993.0,1888.0,1.9013091641490434,bajra
30,Andhra Pradesh, ANANTAPUR,2006,Kharif,620.0,189.0,0.30483870967741933,bajra
32,Andhra Pradesh, ANANTAPUR,2007,Kharif,1000.0,3000.0,3.0,bajra
33,Andhra Pradesh, ANANTAPUR,2008,Kharif,743.0,1011.0,1.360699865410498,bajra
35,Andhra Pradesh, ANANTAPUR,2009,Kharif,1722.0,3167.0,1.8391405342624856,bajra
37,Andhra Pradesh, ANANTAPUR,2010,Kharif,2010.0,1465.0,0.7288557213930348,bajra
39,Andhra Pradesh, ANANTAPUR,2011,Kharif,2614.0,3307.0,1.2651109410864576,bajra
41,Andhra Pradesh, ANANTAPUR,2012,Kharif,2000.0,1000.0,0.5,bajra
42,Andhra Pradesh, ANANTAPUR,2013,Kharif,1332.0,1227.0,0.9211711711711712,bajra
44,Andhra Pradesh, ANANTAPUR,2014,Kharif,1752.0,1028.0,0.58675799086758,bajra
46,Andhra Pradesh, ANANTAPUR,2015,Kharif,3226.0,3326.0,1.0309981401115933,bajra
48,Andhra Pradesh, ANANTAPUR,2016,Kharif,2467.0,1258.0,0.5099310903931901,bajra
50,Andhra Pradesh, ANANTAPUR,2017,Kharif,5261.0,7034.0,1.337008173351074,bajra
52,Andhra Pradesh, ANANTAPUR,2018,Kharif,2979.0,3447.0,1.1570996978851964,bajra
54,Andhra Pradesh, ANANTAPUR,2019,Kharif,2241.0,3431.0,1.531012940651495,bajra
56,Andhra Pradesh, CHITTOOR,1997,Kharif,1700.0,1900.0,1.1176470588235294,bajra
57,Andhra Pradesh, CHITTOOR,1998,Kharif,1700.0,3400.0,2.0,bajra
58,Andhra Pradesh, CHITTOOR,1999,Kharif,2531.0,2817.0,1.1129988146977479,bajra
60,Andhra Pradesh, CHITTOOR,2000,Kharif,3771.0,4936.0,1.3089366215857863,bajra
62,Andhra Pradesh, CHITTOOR,2001,Kharif,2934.0,3556.0,1.2119972733469666,bajra
64,Andhra Pradesh, CHITTOOR,2002,Kharif,2366.0,1171.0,0.49492814877430263,bajra
66,Andhra Pradesh, CHITTOOR,2003,Kharif,2166.0,3611.0,1.6671283471837488,bajra
68,Andhra Pradesh, CHITTOOR,2004,Kharif,2684.0,3521.0,1.3118479880774963,bajra
70,Andhra Pradesh, CHITTOOR,2005,Kharif,1860.0,2217.0,1.1919354838709677,bajra
72,Andhra Pradesh, CHITTOOR,2006,Kharif,1456.0,942.0,0.646978021978022,bajra
74,Andhra Pradesh, CHITTOOR,2007,Kharif,2000.0,3000.0,1.5,bajra
75,Andhra Pradesh, CHITTOOR,2008,Kharif,1714.0,3286.0,1.9171528588098017,bajra
77,Andhra Pradesh, CHITTOOR,2009,Kharif,2859.0,3336.0,1.166841552990556,bajra
79,Andhra Pradesh, CHITTOOR,2010,Kharif,3081.0,5882.0,1.9091204154495294,bajra
81,Andhra Pradesh, CHITTOOR,2011,Kharif,2353.0,4958.0,2.107097322566936,bajra
83,Andhra Pradesh, CHITTOOR,2012,Kharif,2000.0,4000.0,2.0,bajra
84,Andhra Pradesh, CHITTOOR,2013,Kharif,1789.0,3907.0,2.1839016210173283,bajra
86,Andhra Pradesh, CHITTOOR,2014,Kharif,2071.0,4622.0,2.2317720907774024,bajra
88,Andhra Pradesh, CHITTOOR,2015,Kharif,2374.0,6669.0,2.809182813816344,bajra
89,Andhra Pradesh, CHITTOOR,2016,Kharif,2242.0,6188.0,2.760035682426405,bajra
91,Andhra Pradesh, CHITTOOR,2017,Kharif,2104.0,4810.0,2.286121673003802,bajra
92,Andhra Pradesh, CHITTOOR,2018,Kharif,1830.0,3958.0,2.162841530054645,bajra
94,Andhra Pradesh, CHITTOOR,2019,Kharif,2085.0,7717.0,3.7011990407673863,bajra
96,Andhra Pradesh, EAST GODAVARI,1997,Kharif,2500.0,1400.0,0.56,bajra
97,Andhra Pradesh, EAST GODAVARI,1998,Kharif,4300.0,2400.0,0.5581395348837209,bajra
98,Andhra Pradesh, EAST GODAVARI,1999,Kharif,3248.0,2339.0,0.7201354679802956,bajra
99,Andhra Pradesh, EAST GODAVARI,2000,Kharif,3034.0,2005.0,0.6608437705998682,bajra
101,Andhra Pradesh, EAST GODAVARI,2001,Kharif,2219.0,2048.0,0.9229382604776927,bajra
102,Andhra Pradesh, EAST GODAVARI,2002,Kharif,1196.0,1051.0,0.8787625418060201,bajra
103,Andhra Pradesh, EAST GODAVARI,2003,Kharif,2698.0,2301.0,0.8528539659006672,bajra
104,Andhra Pradesh, EAST GODAVARI,2004,Kharif,1840.0,1404.0,0.7630434782608696,bajra
105,Andhra Pradesh, EAST GODAVARI,2005,Kharif,1500.0,1037.0,0.6913333333333334,bajra
107,Andhra Pradesh, EAST GODAVARI,2006,Kharif,1516.0,713.0,0.4703166226912929,bajra
109,Andhra Pradesh, EAST GODAVARI,2007,Kharif,1000.0,1000.0,1.0,bajra
110,Andhra Pradesh, EAST GODAVARI,2008,Kharif,823.0,546.0,0.6634264884568651,bajra
111,Andhra Pradesh, EAST GODAVARI,2009,Kharif,375.0,287.0,0.7653333333333333,bajra
112,Andhra Pradesh, EAST GODAVARI,2010,Kharif,159.0,83.0,0.5220125786163522,bajra
113,Andhra Pradesh, EAST GODAVARI,2011,Kharif,94.0,78.0,0.8297872340425532,bajra
115,Andhra Pradesh, EAST GODAVARI,2013,Kharif,66.0,78.0,1.1818181818181819,bajra
116,Andhra Pradesh, EAST GODAVARI,2014,Kharif,58.0,75.0,1.293103448275862,bajra
117,Andhra Pradesh, EAST GODAVARI,2015,Kharif,65.0,62.0,0.9538461538461539,bajra
118,Andhra Pradesh, EAST GODAVARI,2016,Kharif,78.0,86.0,1.1025641025641026,bajra
120,Andhra Pradesh, EAST GODAVARI,2017,Kharif,61.0,68.0,1.1147540983606556,bajra
121,Andhra Pradesh, EAST GODAVARI,2018,Kharif,90.0,93.0,1.0333333333333334,bajra
122,Andhra Pradesh, EAST GODAVARI,2019,Kharif,5.0,6.0,1.2,bajra
123,Andhra Pradesh, GUNTUR,1997,Kharif,100.0,100.0,1.0,bajra
124,Andhra Pradesh, GUNTUR,1998,Kharif,100.0,100.0,1.0,bajra
126,Andhra Pradesh, GUNTUR,1999,Kharif,142.0,159.0,1.119718309859155,bajra
127,Andhra Pradesh, GUNTUR,2000,Kharif,406.0,550.0,1.354679802955665,bajra
129,Andhra Pradesh, GUNTUR,2001,Kharif,77.0,76.0,0.987012987012987,bajra
131,Andhra Pradesh, GUNTUR,2002,Kharif,419.0,356.0,0.8496420047732697,bajra
133,Andhra Pradesh, GUNTUR,2003,Kharif,16082.0,21839.0,1.3579778634498196,bajra
135,Andhra Pradesh, GUNTUR,2004,Kharif,5824.0,1584.0,0.27197802197802196,bajra
137,Andhra Pradesh, GUNTUR,2005,Kharif,796.0,464.0,0.5829145728643216,bajra
139,Andhra Pradesh, GUNTUR,2009,Kharif,315.0,557.0,1.7682539682539682,bajra
140,Andhra Pradesh, GUNTUR,2010,Kharif,1065.0,1984.0,1.8629107981220658,bajra
142,Andhra Pradesh, GUNTUR,2011,Kharif,12.0,21.0,1.75,bajra
143,Andhra Pradesh, GUNTUR,2012,Kharif,2000.0,4000.0,2.0,bajra
144,Andhra Pradesh, GUNTUR,2013,Kharif,3323.0,5812.0,1.7490219681011134,bajra
145,Andhra Pradesh, GUNTUR,2014,Kharif,689.0,758.0,1.100145137880987,bajra
147,Andhra Pradesh, GUNTUR,2015,Kharif,1556.0,3179.0,2.0430591259640103,bajra
149,Andhra Pradesh, GUNTUR,2016,Kharif,2219.0,1267.0,0.5709779179810726,bajra
150,Andhra Pradesh, GUNTUR,2017,Kharif,1273.0,1192.0,0.9363707776904949,bajra
152,Andhra Pradesh, GUNTUR,2018,Kharif,67.0,95.0,1.4179104477611941,bajra
153,Andhra Pradesh, GUNTUR,2019,Kharif,18.0,36.0,2.0,bajra
155,Andhra Pradesh, KADAPA,1997,Kharif,2000.0,2400.0,1.2,bajra
156,Andhra Pradesh, KADAPA,1998,Kharif,3000.0,6000.0,2.0,bajra
158,Andhra Pradesh, KADAPA,1999,Kharif,3478.0,3537.0,1.0169637722829212,bajra
160,Andhra Pradesh, KADAPA,2000,Kharif,7329.0,10385.0,1.4169736662573338,bajra
162,Andhra Pradesh, KADAPA,2001,Kharif,1395.0,2514.0,1.8021505376344087,bajra
164,Andhra Pradesh, KADAPA,2002,Kharif,2866.0,2814.0,0.9818562456385206,bajra
166,Andhra Pradesh, KADAPA,2003,Kharif,4332.0,3829.0,0.883887349953832,bajra
168,Andhra Pradesh, KADAPA,2004,Kharif,3709.0,5512.0,1.4861148557562684,bajra
170,Andhra Pradesh, KADAPA,2005,Kharif,3327.0,3553.0,1.0679290652239255,bajra
172,Andhra Pradesh, KADAPA,2006,Kharif,2010.0,2945.0,1.4651741293532339,bajra
174,Andhra Pradesh, KADAPA,2007,Kharif,2000.0,5000.0,2.5,bajra
176,Andhra Pradesh, KADAPA,2008,Kharif,1170.0,3170.0,2.7094017094017095,bajra
178,Andhra Pradesh, KADAPA,2009,Kharif,2182.0,5678.0,2.602199816681943,bajra
180,Andhra Pradesh, KADAPA,2010,Kharif,2870.0,7178.0,2.5010452961672476,bajra
182,Andhra Pradesh, KADAPA,2011,Kharif,2209.0,5728.0,2.5930285196921683,bajra
184,Andhra Pradesh, KADAPA,2012,Kharif,2000.0,3000.0,1.5,bajra
186,Andhra Pradesh, KADAPA,2013,Kharif,2833.0,5476.0,1.9329332862689728,bajra
188,Andhra Pradesh, KADAPA,2014,Kharif,1173.0,3010.0,2.5660699062233587,bajra
190,Andhra Pradesh, KADAPA,2015,Kharif,2340.0,3749.0,1.6021367521367522,bajra
192,Andhra Pradesh, KADAPA,2016,Kharif,3610.0,4220.0,1.1689750692520775,bajra
194,Andhra Pradesh, KADAPA,2017,Kharif,5842.0,12181.0,2.0850736049298186,bajra
196,Andhra Pradesh, KADAPA,2018,Kharif,845.0,1208.0,1.429585798816568,bajra
198,Andhra Pradesh, KADAPA,2019,Kharif,1081.0,2733.0,2.528214616096207,bajra
214,Andhra Pradesh, KHAMMAM,1997,Kharif,500.0,200.0,0.4,bajra
215,Andhra Pradesh, KHAMMAM,1998,Kharif,600.0,300.0,0.5,bajra
216,Andhra Pradesh, KHAMMAM,1999,Kharif,420.0,246.0,0.5857142857142857,bajra
217,Andhra Pradesh, KHAMMAM,2000,Kharif,221.0,133.0,0.6018099547511312,bajra
219,Andhra Pradesh, KHAMMAM,2001,Kharif,124.0,58.0,0.46774193548387094,bajra
221,Andhra Pradesh, KHAMMAM,2002,Kharif,292.0,138.0,0.4726027397260274,bajra
223,Andhra Pradesh, KHAMMAM,2003,Kharif,675.0,412.0,0.6103703703703703,bajra
225,Andhra Pradesh, KHAMMAM,2004,Kharif,202.0,64.0,0.31683168316831684,bajra
226,Andhra Pradesh, KHAMMAM,2005,Kharif,261.0,165.0,0.632183908045977,bajra
228,Andhra Pradesh, KHAMMAM,2006,Kharif,35.0,12.0,0.34285714285714286,bajra
229,Andhra Pradesh, KHAMMAM,2008,Kharif,33.0,21.0,0.6363636363636364,bajra
231,Andhra Pradesh, KHAMMAM,2009,Kharif,4.0,2.0,0.5,bajra
233,Andhra Pradesh, KHAMMAM,2010,Kharif,6.0,4.0,0.6666666666666666,bajra
234,Andhra Pradesh, KHAMMAM,2011,Kharif,4.0,3.0,0.75,bajra
235,Andhra Pradesh, KRISHNA,2000,Kharif,1.0,1.0,1.0,bajra
236,Andhra Pradesh, KRISHNA,2003,Kharif,10.0,14.0,1.4,bajra
238,Andhra Pradesh, KRISHNA,2009,Kharif,1.0,2.0,2.0,bajra
239,Andhra Pradesh, KURNOOL,1997,Kharif,11600.0,9300.0,0.8017241379310345,bajra
240,Andhra Pradesh, KURNOOL,1998,Kharif,17700.0,16200.0,0.9152542372881356,bajra
242,Andhra Pradesh, KURNOOL,1999,Kharif,15261.0,9187.0,0.6019920057663325,bajra
244,Andhra Pradesh, KURNOOL,2000,Kharif,18718.0,15199.0,0.8119991452078213,bajra
246,Andhra Pradesh, KURNOOL,2001,Kharif,13932.0,11062.0,0.7939994257823715,bajra
248,Andhra Pradesh, KURNOOL,2002,Kharif,10352.0,6863.0,0.6629636785162287,bajra
250,Andhra Pradesh, KURNOOL,2003,Kharif,14793.0,17707.0,1.1969850605015886,bajra
252,Andhra Pradesh, KURNOOL,2004,Kharif,10376.0,9598.0,0.9250192752505783,bajra
