,state,district,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,andaman and nicobar,,rice,8140.0,21864.4,2.981339696608148
1,andaman and nicobar,nicobars,rice,189.2,510.84,5.770334928229666
2,andaman and nicobar,north and middle andaman,rice,10779.0,31863.0,3.156322651572604
3,andaman and nicobar,south andamans,rice,10695.8,31600.82,3.0402664692820136
4,andhra pradesh,adilabad,Maize,25795.0,97984.0,4.728974621600091
5,andhra pradesh,adilabad,jowar,58200.0,75749.0,2.347826086956522
6,andhra pradesh,adilabad,ragi,158.0,183.0,1.1582278481012658
7,andhra pradesh,adilabad,rice,74851.0,184732.0,2.786242309587778
8,andhra pradesh,anantapur,Maize,27087.0,71720.0,4.962042476276547
9,andhra pradesh,anantapur,bajra,5261.0,7034.0,3.0
10,andhra pradesh,anantapur,jowar,41409.0,30830.0,2.830013803983435
11,andhra pradesh,anantapur,ragi,7000.0,16923.0,2.5590503553606534
12,andhra pradesh,anantapur,rice,39905.0,117680.0,3.609533747048163
13,andhra pradesh,chittoor,Maize,2693.0,8820.0,5.212121212121212
14,andhra pradesh,chittoor,bajra,3771.0,7717.0,3.701199040767386
15,andhra pradesh,chittoor,jowar,3556.0,2832.0,1.55
16,andhra pradesh,chittoor,ragi,11835.0,14376.0,1.624025974025974
17,andhra pradesh,chittoor,rice,42300.0,105400.0,4.030476369092273
18,andhra pradesh,east godavari,Maize,2116.0,6308.0,4.93543956043956
19,andhra pradesh,east godavari,bajra,4300.0,2400.0,1.293103448275862
20,andhra pradesh,east godavari,jowar,1200.0,2325.0,2.9580152671755724
21,andhra pradesh,east godavari,ragi,1194.0,1005.0,1.349802371541502
22,andhra pradesh,east godavari,rice,256300.0,830017.0,3.735214702944009
23,andhra pradesh,guntur,Maize,5281.0,13752.0,4.934718100890208
24,andhra pradesh,guntur,bajra,16082.0,21839.0,2.0430591259640103
25,andhra pradesh,guntur,jowar,9610.0,28426.0,2.9579604578563994
26,andhra pradesh,guntur,ragi,6.0,5.0,0.8333333333333334
27,andhra pradesh,guntur,rice,302886.0,1080921.0,4.185334693154684
28,andhra pradesh,hyderabad,rice,100.0,200.0,2.875
29,andhra pradesh,kadapa,Maize,1125.0,4585.0,5.153846153846154
30,andhra pradesh,kadapa,bajra,7329.0,12181.0,2.709401709401709
31,andhra pradesh,kadapa,jowar,7866.0,13532.0,2.49144634525661
32,andhra pradesh,kadapa,ragi,101.0,150.0,1.7
33,andhra pradesh,kadapa,rice,60412.0,170120.0,3.6949957269015288
34,andhra pradesh,karimnagar,Maize,134439.0,526463.0,5.822222222222222
35,andhra pradesh,karimnagar,jowar,1054.0,1011.0,1.2015503875968991
36,andhra pradesh,karimnagar,rice,185727.0,626000.0,3.5168539325842696
37,andhra pradesh,khammam,Maize,24433.0,98000.0,6.125
38,andhra pradesh,khammam,bajra,675.0,412.0,0.75
39,andhra pradesh,khammam,jowar,4400.0,3438.0,1.515625
40,andhra pradesh,khammam,ragi,17.0,25.0,1.8888888888888888
41,andhra pradesh,khammam,rice,172538.0,522924.0,3.1305878338332227
42,andhra pradesh,krishna,Maize,7788.0,37797.0,5.75
43,andhra pradesh,krishna,bajra,10.0,14.0,2.0
44,andhra pradesh,krishna,jowar,585.0,690.0,2.959183673469388
45,andhra pradesh,krishna,rice,281343.0,1022427.0,4.159335272460997
46,andhra pradesh,kurnool,Maize,40845.0,221657.0,6.275036638983879
47,andhra pradesh,kurnool,bajra,18718.0,17707.0,2.279981620462552
48,andhra pradesh,kurnool,jowar,20905.0,87801.0,4.550968213372306
49,andhra pradesh,kurnool,ragi,100.0,100.0,1.627906976744186
50,andhra pradesh,kurnool,rice,104110.0,361514.0,4.063231731933791
51,andhra pradesh,mahbubnagar,Maize,141454.0,458000.0,3.816666666666667
52,andhra pradesh,mahbubnagar,bajra,17965.0,11013.0,1.0
53,andhra pradesh,mahbubnagar,jowar,129800.0,98903.0,1.2142857142857142
54,andhra pradesh,mahbubnagar,ragi,13422.0,14133.0,1.6201754385964913
55,andhra pradesh,mahbubnagar,rice,130411.0,360230.0,2.961996037796517
56,andhra pradesh,medak,Maize,124000.0,550000.0,4.435483870967742
57,andhra pradesh,medak,bajra,1700.0,1000.0,1.0
58,andhra pradesh,medak,jowar,54800.0,50626.0,1.487998475996952
59,andhra pradesh,medak,ragi,200.0,100.0,1.5714285714285714
60,andhra pradesh,medak,rice,90400.0,285893.0,3.5526315789473686
61,andhra pradesh,nalgonda,Maize,4953.0,17296.0,3.492025035332122
62,andhra pradesh,nalgonda,bajra,21433.0,13438.0,1.0
63,andhra pradesh,nalgonda,jowar,14531.0,6966.0,1.1829944547134936
64,andhra pradesh,nalgonda,rice,216547.0,642566.0,3.2564102564102564
65,andhra pradesh,nizamabad,Maize,61888.0,345000.0,6.160714285714286
66,andhra pradesh,nizamabad,bajra,37.0,23.0,1.0
67,andhra pradesh,nizamabad,jowar,3800.0,5697.0,1.88376500315856
68,andhra pradesh,nizamabad,ragi,20.0,19.0,2.0
69,andhra pradesh,nizamabad,rice,149497.0,584000.0,4.0
70,andhra pradesh,prakasam,Maize,12141.0,42093.0,9.0
71,andhra pradesh,prakasam,bajra,29000.0,60000.0,2.533062054933876
72,andhra pradesh,prakasam,jowar,3700.0,6783.0,2.958133449629307
73,andhra pradesh,prakasam,ragi,309.0,342.0,1.345679012345679
74,andhra pradesh,prakasam,rice,72100.0,213391.0,4.3305843377740185
75,andhra pradesh,rangareddi,Maize,41000.0,157000.0,4.423076923076923
76,andhra pradesh,rangareddi,bajra,1400.0,716.0,0.7250755287009063
77,andhra pradesh,rangareddi,jowar,67800.0,62900.0,1.5879962192816637
78,andhra pradesh,rangareddi,ragi,10300.0,10772.0,2.5
79,andhra pradesh,rangareddi,rice,39103.0,100573.0,2.939998957410207
80,andhra pradesh,spsr nellore,Maize,286.0,1086.0,4.275590551181103
81,andhra pradesh,spsr nellore,bajra,3048.0,5617.0,3.736311239193084
82,andhra pradesh,spsr nellore,jowar,26.0,39.0,3.0
83,andhra pradesh,spsr nellore,ragi,300.0,300.0,1.4545454545454546
84,andhra pradesh,spsr nellore,rice,73827.0,287991.0,3.962962962962963
85,andhra pradesh,srikakulam,Maize,15975.0,73325.0,4.589984350547731
86,andhra pradesh,srikakulam,bajra,4350.0,8634.0,3.36
87,andhra pradesh,srikakulam,jowar,376.0,1112.0,2.9574468085106385
88,andhra pradesh,srikakulam,ragi,4700.0,5300.0,1.636
89,andhra pradesh,srikakulam,rice,210682.0,613000.0,3.0497512437810945
90,andhra pradesh,visakhapatanam,Maize,7042.0,25112.0,3.949048592545998
91,andhra pradesh,visakhapatanam,bajra,25000.0,28700.0,1.2069575471698113
92,andhra pradesh,visakhapatanam,jowar,1987.0,3476.0,2.9582978723404256
93,andhra pradesh,visakhapatanam,ragi,35800.0,44129.0,1.3509980406563802
94,andhra pradesh,visakhapatanam,rice,115239.0,237203.0,2.3778016041567867
95,andhra pradesh,vizianagaram,Maize,18600.0,99436.0,5.346021505376344
96,andhra pradesh,vizianagaram,bajra,4500.0,5400.0,1.816326530612245
97,andhra pradesh,vizianagaram,jowar,1000.0,2000.0,2.95703125
98,andhra pradesh,vizianagaram,ragi,10000.0,12500.0,2.0
99,andhra pradesh,vizianagaram,rice,133000.0,384713.0,3.2225647297308617
100,andhra pradesh,vizianagaram,wheat,1.0,1.0,1.0
101,andhra pradesh,warangal,Maize,62853.0,223065.0,4.224489795918367
102,andhra pradesh,warangal,bajra,500.0,200.0,0.7922077922077922
103,andhra pradesh,warangal,jowar,3400.0,1700.0,1.099009900990099
104,andhra pradesh,warangal,rice,169278.0,519314.0,3.1639977318240877
105,andhra pradesh,west godavari,Maize,3560.0,18579.0,9.0
106,andhra pradesh,west godavari,bajra,75.0,102.0,1.36
107,andhra pradesh,west godavari,jowar,479.0,1272.0,2.958139534883721
108,andhra pradesh,west godavari,ragi,206.0,173.0,1.0
109,andhra pradesh,west godavari,rice,272901.0,857555.0,3.791312756798189
110,andhra pradesh,west godavari,wheat,10.0,7.0,0.7
111,arunachal pradesh,anjaw,Maize,3995.0,4747.0,2.478294573643411
112,arunachal pradesh,anjaw,rice,4085.0,5000.0,1.4705882352941178
113,arunachal pradesh,changlang,Maize,1620.0,2725.0,1.792763157894737
114,arunachal pradesh,changlang,rice,16763.0,35010.0,2.2310537998097453
115,arunachal pradesh,dibang valley,Maize,6186.0,8900.0,1.5397923875432526
116,arunachal pradesh,dibang valley,rice,10450.0,13400.0,1.3237
117,arunachal pradesh,east kameng,Maize,4298.0,5300.0,1.959322033898305
118,arunachal pradesh,east kameng,rice,12310.0,16790.0,1.363931762794476
119,arunachal pradesh,east siang,Maize,4252.0,8789.0,2.626718469814704
120,arunachal pradesh,east siang,rice,16770.0,28000.0,2.31404958677686
121,arunachal pradesh,kamle,Maize,511.0,1051.0,2.056751467710372
122,arunachal pradesh,kamle,rice,3595.0,8061.0,2.2422809457579973
123,arunachal pradesh,kra daadi,Maize,319.0,488.0,1.5297805642633229
124,arunachal pradesh,kra daadi,rice,608.0,1299.0,7.176795580110498
125,arunachal pradesh,kurung kumey,Maize,1600.0,2159.0,1.562753036437247
