,state,district,Year,Season,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),N_applied(kg/ha),P_applied(kg/ha),K_applied(kg/ha),Manure (kg/ha),calorie_per_100g,MSP_RsperQntl,CostofCultivation_rs_ha,CWR_y,CWU green_y,CWU blue_y,CWR m3/ha,CWU green m3/ha,CWU blue m3/ha
15576,tamil nadu,ariyalur,2009,Kharif,rice,25978,80462,3.097313111,116.6005033,60.93444283,66.11270605,2986.569126,345,1000,,32335367,16791899,14351936,10439.81213,5421.440583,4633.672956
15579,tamil nadu,ariyalur,2010,Kharif,rice,25211,97869,3.881995954,104.8164566,54.95157653,63.93791598,2433.874693,345,1000,,32335367,16791899,14351936,8329.572566,4325.583849,3697.050736
15584,tamil nadu,ariyalur,2011,Kharif,rice,24097,97257,4.03606258,145.9856916,52.02702703,109.6581876,0,345,1095,,32335367,16791899,14351936,8011.6119,4160.46547,3555.925042
15587,tamil nadu,ariyalur,2012,Kharif,rice,17523,36392,2.076813331,117.8571429,17.85714286,107.1428571,17857.14286,345,1265,51157.05,32335367,16791899,14351936,15569.70312,8085.415646,6910.556565
15592,tamil nadu,ariyalur,2013,Kharif,rice,24437,131658,5.387649875,124.3792216,44.77532928,54.95554711,9119.385343,345,1327.5,,32335367,16791899,14351936,6001.757306,3116.739096,2663.85833
15597,tamil nadu,ariyalur,2014,Kharif,rice,23108,116239,5.030249264,96.36090005,33.33535628,42.93887449,5386.012383,345,1380,,32335367,16791899,14351936,6428.183834,3338.184276,2853.126206
15602,tamil nadu,ariyalur,2015,Kharif,rice,24408,124179,5.087635202,101.7225165,41.03320145,50.55402147,5657.381079,345,1430,55450.91,32335367,16791899,14351936,6355.67719,3300.531256,2820.944394
15607,tamil nadu,ariyalur,2016,Kharif,rice,15398,44524,2.891544356,84.64345991,54.49015471,34.2721519,5206.04782,345,1490,75492.62,32335367,16791899,14351936,11182.73248,5807.242404,4963.415473
15612,tamil nadu,ariyalur,2017,Kharif,rice,22184,97078,4.376036783,119.9650218,57.70221459,51.93318657,1097.201055,345,1570,60054.43,32335367,16791899,14351936,7389.189945,3837.238998,3279.665302
15617,tamil nadu,ariyalur,2018,Kharif,rice,22060,86391,3.916183137,113.5698513,56.25067603,51.41837368,944.8661801,345,,,32335367,16791899,14351936,8256.857728,4287.822712,3664.776518
15622,tamil nadu,ariyalur,2019,Kharif,rice,22827,87947,3.85276208,121.3985501,72.98035057,52.72406643,832.6127368,345,,,32335367,16791899,14351936,8392.77545,4358.405386,3725.103108
15623,tamil nadu,coimbatore,2009,Kharif,rice,2817,9884,3.508697196,116.6005033,60.93444283,66.11270605,2986.569126,345,1000,,32335367,16791899,14351936,9215.775884,4785.793149,4090.388882
15626,tamil nadu,coimbatore,2010,Kharif,rice,2666,10419,3.908102026,104.8164566,54.95157653,63.93791598,2433.874693,345,1000,,32335367,16791899,14351936,8273.931128,4296.689004,3672.354485
15631,tamil nadu,coimbatore,2011,Kharif,rice,2629,10486,3.988588817,118.5858977,64.48856961,63.29030784,3026.516115,345,1095,,32335367,16791899,14351936,8106.969277,4209.984977,3598.24907
15634,tamil nadu,coimbatore,2012,Kharif,rice,2156,7890,3.659554731,116.8950027,66.60958632,61.22428134,3876.742466,345,1265,51157.05,32335367,16791899,14351936,8835.874683,4588.508776,3921.771105
15639,tamil nadu,coimbatore,2013,Kharif,rice,2158,10139,4.698331789,115.3756128,63.19609914,59.99889944,3010.386126,345,1327.5,,32335367,16791899,14351936,6882.308116,3574.013023,3054.687631
15644,tamil nadu,coimbatore,2014,Kharif,rice,2166,9969,4.602493075,72.59615385,44.23076923,86.53846154,0,345,1380,,32335367,16791899,14351936,7025.619914,3648.435473,3118.296055
15649,tamil nadu,coimbatore,2015,Kharif,rice,2034,7942,3.904621436,61.53846154,44.23076923,57.69230769,0,345,1430,55450.91,32335367,16791899,14351936,8281.306532,4300.519084,3675.628031
15654,tamil nadu,coimbatore,2016,Kharif,rice,872,3518,4.03440367,113.9695012,51.86247167,58.07512254,2610.972397,345,1490,75492.62,32335367,16791899,14351936,8014.906204,4162.176216,3557.387206
15659,tamil nadu,coimbatore,2017,Kharif,rice,680,2326,3.420588235,85.27873562,40.00287356,54.85344828,10936.78161,345,1570,60054.43,32335367,16791899,14351936,9453.159742,4909.067635,4195.750851
15664,tamil nadu,coimbatore,2018,Kharif,rice,1422,5133,3.609704641,113.5698513,56.25067603,51.41837368,944.8661801,345,,,32335367,16791899,14351936,8957.898281,4651.876169,3975.930838
15669,tamil nadu,coimbatore,2019,Kharif,rice,744,2715,3.649193548,87.32708646,57.72951024,66.57233883,4520.114943,345,,,32335367,16791899,14351936,8860.962449,4601.536964,3932.906219
15670,tamil nadu,cuddalore,2009,Kharif,rice,111517,322962,2.896078625,157.1101242,51.73089065,94.82329301,4545.394084,345,1000,,32335367,16791899,14351936,11165.22415,5798.150249,4955.644463
15673,tamil nadu,cuddalore,2010,Kharif,rice,115815,301506,2.603341536,152.6353608,52.455119,81.6261514,3527.798645,345,1000,,32335367,16791899,14351936,12420.71643,6450.132942,5512.890184
15678,tamil nadu,cuddalore,2011,Kharif,rice,120983,248242,2.051875057,137.7195281,71.47689488,54.97180434,5011.349777,345,1095,,32335367,16791899,14351936,15758.93566,8183.684939,6994.546745
15681,tamil nadu,cuddalore,2012,Kharif,rice,111958,339286,3.030475714,136.0025183,74.32137842,61.43884719,2960.401889,345,1265,51157.05,32335367,16791899,14351936,10670.06307,5541.010912,4735.869003
15686,tamil nadu,cuddalore,2013,Kharif,rice,127485,565960,4.439424246,127.8731038,59.09315441,53.69388357,2055.402548,345,1327.5,,32335367,16791899,14351936,7283.684822,3782.449721,3232.837234
15691,tamil nadu,cuddalore,2014,Kharif,rice,134677,641958,4.766649094,120.6855042,49.71228646,51.86868677,5561.346071,345,1380,,32335367,16791899,14351936,6783.668435,3522.789001,3010.906764
15696,tamil nadu,cuddalore,2015,Kharif,rice,139987,507130,3.622693536,113.0690978,44.33385795,70.49696093,3470.824693,345,1430,55450.91,32335367,16791899,14351936,8925.780412,4635.197218,3961.675438
15701,tamil nadu,cuddalore,2016,Kharif,rice,131906,459908,3.486634421,105.7211903,45.07928153,88.40230205,2736.649279,345,1490,75492.62,32335367,16791899,14351936,9274.0916,4816.076758,4116.272102
15706,tamil nadu,cuddalore,2017,Kharif,rice,123810,531128,4.289863501,140.5764688,50.43703302,75.4282173,2549.771558,345,1570,60054.43,32335367,16791899,14351936,7537.621418,3914.320117,3345.546076
15711,tamil nadu,cuddalore,2018,Kharif,rice,126780,474982,3.746505758,137.4603293,33.68037941,62.64325992,4442.477369,345,,,32335367,16791899,14351936,8630.806701,4482.016066,3830.75242
15716,tamil nadu,cuddalore,2019,Kharif,rice,124074,463213,3.733360736,141.9863865,44.10596448,69.04700648,3355.938987,345,,,32335367,16791899,14351936,8661.195444,4497.797075,3844.240354
15717,tamil nadu,dharmapuri,2009,Kharif,rice,20310,79675,3.922944362,116.6005033,60.93444283,66.11270605,2986.569126,345,1000,,32335367,16791899,14351936,8242.626969,4280.432616,3658.460247
15720,tamil nadu,dharmapuri,2010,Kharif,rice,22862,93207,4.0769399,265.8203125,116.796875,152.34375,2343.75,345,1000,,32335367,16791899,14351936,7931.283706,4118.750683,3520.271662
15725,tamil nadu,dharmapuri,2011,Kharif,rice,27067,128226,4.737355451,105.8408216,85.62259306,94.35173298,0,345,1095,,32335367,16791899,14351936,6825.615543,3544.572319,3029.524837
15728,tamil nadu,dharmapuri,2012,Kharif,rice,12003,53669,4.471298842,58.3049799,52.64460254,88.15341789,0,345,1265,51157.05,32335367,16791899,14351936,7231.76154,3755.485731,3209.791273
15733,tamil nadu,dharmapuri,2013,Kharif,rice,26689,132535,4.965903556,115.3756128,63.19609914,59.99889944,3010.386126,345,1327.5,,32335367,16791899,14351936,6511.477043,3381.438808,2890.095597
15738,tamil nadu,dharmapuri,2014,Kharif,rice,18303,95163,5.199311588,141.7410714,40.13392857,150.6696429,2589.285714,345,1380,,32335367,16791899,14351936,6219.163143,3229.638908,2760.353127
15743,tamil nadu,dharmapuri,2015,Kharif,rice,33349,149426,4.480674083,129.6671102,28.2848987,117.87324,1522.364354,345,1430,55450.91,32335367,16791899,14351936,7216.629998,3747.627854,3203.075192
15748,tamil nadu,dharmapuri,2016,Kharif,rice,11432,42883,3.751137159,72.91666667,25,25,1458.333333,345,1490,75492.62,32335367,16791899,14351936,8620.150539,4476.482274,3826.022721
15753,tamil nadu,dharmapuri,2017,Kharif,rice,17272,82897,4.799502084,131.0862531,60.27060717,69.19101502,204.7589851,345,1570,60054.43,32335367,16791899,14351936,6737.233661,3498.675218,2990.296857
15758,tamil nadu,dharmapuri,2018,Kharif,rice,3411,14755,4.325710935,110.1476191,61.31341991,23.31168831,0,345,,,32335367,16791899,14351936,7475.156682,3881.881904,3317.821328
15763,tamil nadu,dharmapuri,2019,Kharif,rice,13237,56519,4.269774118,91.79137893,41.10366755,38.90021604,434.7826087,345,,,32335367,16791899,14351936,7573.086095,3932.737081,3361.286945
15764,tamil nadu,dindigul,2009,Kharif,rice,16647,78849,4.736529104,138.7101098,67.73701634,108.4614405,10021.7297,345,1000,,32335367,16791899,14351936,6826.806357,3545.190715,3030.053375
15767,tamil nadu,dindigul,2010,Kharif,rice,18349,98053,5.343778953,129.9429786,59.85835359,57.87677554,9485.815044,345,1000,,32335367,16791899,14351936,6051.030046,3142.326647,2685.727858
15772,tamil nadu,dindigul,2011,Kharif,rice,19158,103376,5.395970352,95.83047859,55.00253085,45.45346474,12549.12953,345,1095,,32335367,16791899,14351936,5992.502718,3111.933147,2659.750715
15775,tamil nadu,dindigul,2012,Kharif,rice,9476,30806,3.250949768,93.36280563,57.73167408,57.6850123,8251.012102,345,1265,51157.05,32335367,16791899,14351936,9946.436983,5165.228687,4414.690175
15780,tamil nadu,dindigul,2013,Kharif,rice,4234,25758,6.08360888,85.78343254,58.82266865,54.87797619,8645.833333,345,1327.5,,32335367,16791899,14351936,5315.162042,2760.187141,2359.115499
15785,tamil nadu,dindigul,2014,Kharif,rice,12071,70676,5.855024439,91.81480664,37.45701474,58.20862548,10879.51131,345,1380,,32335367,16791899,14351936,5522.66986,2867.946868,2451.217096
15790,tamil nadu,dindigul,2015,Kharif,rice,14989,71945,4.799853226,89.79900036,36.5095507,57.104933,9968.115989,345,1430,55450.91,32335367,16791899,14351936,6736.740788,3498.419266,2990.078097
15794,tamil nadu,dindigul,2016,Kharif,rice,1522,4506,2.960578187,83.43015785,35.55493202,51.36102523,9320.736868,345,1490,75492.62,32335367,16791899,14351936,10921.97705,5671.830954,4847.680114
