,Target,Source,quantity,year
0,Andhra(excluding ports),Andhra(excluding ports) ,,2010
1,Other ports of Andhra,Andhra(excluding ports) ,562340,2010
2,Assam,Andhra(excluding ports) ,,2010
3,Arunachal Pradesh,Andhra(excluding ports) ,,2010
4,Bihar,Andhra(excluding ports) ,51600,2010
5,Chattishgarh,Andhra(excluding ports) ,25610,2010
6,Chandigarh,Andhra(excluding ports) ,,2010
7,Delhi,Andhra(excluding ports) ,52350,2010
8,Goa,Andhra(excluding ports) ,,2010
9,Gujarat(excluding ports),Andhra(excluding ports) ,,2010
10,Other ports of Gujarat,Andhra(excluding ports) ,,2010
11,Haryana,Andhra(excluding ports) ,207200,2010
12,Himachal Pradesh,Andhra(excluding ports) ,,2010
13,Jammu and Kasmir,Andhra(excluding ports) ,,2010
14,Jharkhand,Andhra(excluding ports) ,,2010
15,Karnataka(excluding ports,Andhra(excluding ports) ,,2010
16,Other ports of Karnataka,Andhra(excluding ports) ,,2010
17,Kerala(excluding ports),Andhra(excluding ports) ,,2010
18,Other ports of Kerala,Andhra(excluding ports) ,,2010
19,Madhya Pradesh,Andhra(excluding ports) ,,2010
20,Maharashtra(excluding ports),Andhra(excluding ports) ,,2010
21,Other ports of Maharashtra,Andhra(excluding ports) ,,2010
22,Manipur,Andhra(excluding ports) ,,2010
23,Meghalaya,Andhra(excluding ports) ,,2010
24,Mizoram,Andhra(excluding ports) ,,2010
25,Nagaland,Andhra(excluding ports) ,,2010
26,Orissa,Andhra(excluding ports) ,26370,2010
27,Pondicheri and Karikal,Andhra(excluding ports) ,,2010
28,Punjab,Andhra(excluding ports) ,26240,2010
29,Rajasthan,Andhra(excluding ports) ,,2010
30,Tamil Nadu(excluding ports),Andhra(excluding ports) ,174600,2010
31,Other ports of Tamil Nadu,Andhra(excluding ports) ,,2010
32,Tripura,Andhra(excluding ports) ,,2010
33,Uttaranchal,Andhra(excluding ports) ,,2010
34,Uttar Pradesh,Andhra(excluding ports) ,,2010
35,West Bengal(excluding ports) ,Andhra(excluding ports) ,490840,2010
36,Other ports of West Bengal,Andhra(excluding ports) ,,2010
37,T  O  T  A  L,Andhra(excluding ports) ,1617150,2010
38,Andhra(excluding ports),Other ports of Andhra,,2010
39,Other ports of Andhra,Other ports of Andhra,,2010
40,Assam,Other ports of Andhra,52400,2010
41,Arunachal Pradesh,Other ports of Andhra,,2010
42,Bihar,Other ports of Andhra,,2010
43,Chattishgarh,Other ports of Andhra,,2010
44,Chandigarh,Other ports of Andhra,,2010
45,Delhi,Other ports of Andhra,,2010
46,Goa,Other ports of Andhra,,2010
47,Gujarat(excluding ports),Other ports of Andhra,,2010
48,Other ports of Gujarat,Other ports of Andhra,,2010
49,Haryana,Other ports of Andhra,,2010
50,Himachal Pradesh,Other ports of Andhra,,2010
51,Jammu and Kasmir,Other ports of Andhra,,2010
52,Jharkhand,Other ports of Andhra,,2010
53,Karnataka(excluding ports,Other ports of Andhra,,2010
54,Other ports of Karnataka,Other ports of Andhra,,2010
55,Kerala(excluding ports),Other ports of Andhra,,2010
56,Other ports of Kerala,Other ports of Andhra,,2010
57,Madhya Pradesh,Other ports of Andhra,,2010
58,Maharashtra(excluding ports),Other ports of Andhra,51980,2010
59,Other ports of Maharashtra,Other ports of Andhra,,2010
60,Manipur,Other ports of Andhra,,2010
61,Meghalaya,Other ports of Andhra,,2010
62,Mizoram,Other ports of Andhra,,2010
63,Nagaland,Other ports of Andhra,26490,2010
64,Orissa,Other ports of Andhra,,2010
65,Pondicheri and Karikal,Other ports of Andhra,,2010
66,Punjab,Other ports of Andhra,,2010
67,Rajasthan,Other ports of Andhra,,2010
68,Tamil Nadu(excluding ports),Other ports of Andhra,,2010
69,Other ports of Tamil Nadu,Other ports of Andhra,,2010
70,Tripura,Other ports of Andhra,,2010
71,Uttaranchal,Other ports of Andhra,,2010
72,Uttar Pradesh,Other ports of Andhra,605100,2010
73,West Bengal(excluding ports) ,Other ports of Andhra,154440,2010
74,Other ports of West Bengal,Other ports of Andhra,182160,2010
75,T  O  T  A  L,Other ports of Andhra,1072570,2010
76,Andhra(excluding ports),Assam,,2010
77,Other ports of Andhra,Assam,,2010
78,Assam,Assam,,2010
79,Arunachal Pradesh,Assam,,2010
80,Bihar,Assam,,2010
81,Chattishgarh,Assam,,2010
82,Chandigarh,Assam,,2010
83,Delhi,Assam,,2010
84,Goa,Assam,,2010
85,Gujarat(excluding ports),Assam,,2010
86,Other ports of Gujarat,Assam,,2010
87,Haryana,Assam,,2010
88,Himachal Pradesh,Assam,,2010
89,Jammu and Kasmir,Assam,,2010
90,Jharkhand,Assam,,2010
91,Karnataka(excluding ports,Assam,,2010
92,Other ports of Karnataka,Assam,,2010
93,Kerala(excluding ports),Assam,,2010
94,Other ports of Kerala,Assam,,2010
95,Madhya Pradesh,Assam,,2010
96,Maharashtra(excluding ports),Assam,,2010
97,Other ports of Maharashtra,Assam,,2010
98,Manipur,Assam,,2010
99,Meghalaya,Assam,,2010
100,Mizoram,Assam,,2010
101,Nagaland,Assam,,2010
102,Orissa,Assam,,2010
103,Pondicheri and Karikal,Assam,,2010
104,Punjab,Assam,,2010
105,Rajasthan,Assam,,2010
106,Tamil Nadu(excluding ports),Assam,,2010
107,Other ports of Tamil Nadu,Assam,,2010
108,Tripura,Assam,,2010
109,Uttaranchal,Assam,,2010
110,Uttar Pradesh,Assam,,2010
111,West Bengal(excluding ports) ,Assam,,2010
112,Other ports of West Bengal,Assam,,2010
113,T  O  T  A  L,Assam,0,2010
114,Andhra(excluding ports),Arunachal Pradesh,,2010
