,state,district,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),crop
0,Andhra Pradesh, ADILABAD,1998,Rabi,300.0,100.0,0.3333333333333333,bajra
1,Andhra Pradesh, ADILABAD,1999,Rabi,644.0,377.0,0.5854037267080745,bajra
2,Andhra Pradesh, ADILABAD,2000,Rabi,518.0,311.0,0.6003861003861004,bajra
3,Andhra Pradesh, ADILABAD,2001,Rabi,628.0,293.0,0.46656050955414013,bajra
4,Andhra Pradesh, ADILABAD,2002,Rabi,960.0,455.0,0.4739583333333333,bajra
5,Andhra Pradesh, ADILABAD,2003,Rabi,1820.0,1112.0,0.610989010989011,bajra
6,Andhra Pradesh, ADILABAD,2004,Rabi,1230.0,389.0,0.31626016260162604,bajra
7,Andhra Pradesh, ADILABAD,2005,Rabi,779.0,494.0,0.6341463414634146,bajra
8,Andhra Pradesh, ADILABAD,2006,Rabi,1035.0,365.0,0.3526570048309179,bajra
9,Andhra Pradesh, ADILABAD,2007,Rabi,1000.0,1000.0,1.0,bajra
10,Andhra Pradesh, ADILABAD,2008,Rabi,350.0,222.0,0.6342857142857142,bajra
11,Andhra Pradesh, ADILABAD,2009,Rabi,831.0,402.0,0.48375451263537905,bajra
12,Andhra Pradesh, ADILABAD,2010,Rabi,1555.0,1127.0,0.7247588424437299,bajra
13,Andhra Pradesh, ADILABAD,2011,Rabi,524.0,328.0,0.6259541984732825,bajra
17,Andhra Pradesh, ANANTAPUR,1999,Rabi,99.0,54.0,0.5454545454545454,bajra
19,Andhra Pradesh, ANANTAPUR,2000,Rabi,317.0,185.0,0.583596214511041,bajra
21,Andhra Pradesh, ANANTAPUR,2001,Rabi,27.0,9.0,0.3333333333333333,bajra
23,Andhra Pradesh, ANANTAPUR,2002,Rabi,129.0,39.0,0.3023255813953488,bajra
25,Andhra Pradesh, ANANTAPUR,2003,Rabi,113.0,19.0,0.168141592920354,bajra
27,Andhra Pradesh, ANANTAPUR,2004,Rabi,62.0,24.0,0.3870967741935484,bajra
29,Andhra Pradesh, ANANTAPUR,2005,Rabi,66.0,125.0,1.893939393939394,bajra
31,Andhra Pradesh, ANANTAPUR,2006,Rabi,141.0,43.0,0.3049645390070922,bajra
34,Andhra Pradesh, ANANTAPUR,2008,Rabi,26.0,35.0,1.3461538461538463,bajra
36,Andhra Pradesh, ANANTAPUR,2009,Rabi,45.0,83.0,1.8444444444444446,bajra
38,Andhra Pradesh, ANANTAPUR,2010,Rabi,5.0,4.0,0.8,bajra
40,Andhra Pradesh, ANANTAPUR,2011,Rabi,116.0,147.0,1.2672413793103448,bajra
43,Andhra Pradesh, ANANTAPUR,2013,Rabi,17.0,16.0,0.9411764705882353,bajra
45,Andhra Pradesh, ANANTAPUR,2014,Rabi,47.0,28.0,0.5957446808510638,bajra
47,Andhra Pradesh, ANANTAPUR,2015,Rabi,33.0,34.0,1.0303030303030303,bajra
49,Andhra Pradesh, ANANTAPUR,2016,Rabi,6.0,3.0,0.5,bajra
51,Andhra Pradesh, ANANTAPUR,2017,Rabi,27.0,36.0,1.3333333333333333,bajra
53,Andhra Pradesh, ANANTAPUR,2018,Rabi,26.0,30.0,1.1538461538461537,bajra
55,Andhra Pradesh, ANANTAPUR,2019,Rabi,29.0,44.0,1.5172413793103448,bajra
59,Andhra Pradesh, CHITTOOR,1999,Rabi,68.0,76.0,1.1176470588235294,bajra
61,Andhra Pradesh, CHITTOOR,2000,Rabi,393.0,514.0,1.3078880407124682,bajra
63,Andhra Pradesh, CHITTOOR,2001,Rabi,258.0,313.0,1.2131782945736433,bajra
65,Andhra Pradesh, CHITTOOR,2002,Rabi,42.0,21.0,0.5,bajra
67,Andhra Pradesh, CHITTOOR,2003,Rabi,36.0,60.0,1.6666666666666667,bajra
69,Andhra Pradesh, CHITTOOR,2004,Rabi,57.0,75.0,1.3157894736842106,bajra
71,Andhra Pradesh, CHITTOOR,2005,Rabi,58.0,69.0,1.1896551724137931,bajra
73,Andhra Pradesh, CHITTOOR,2006,Rabi,30.0,19.0,0.6333333333333333,bajra
76,Andhra Pradesh, CHITTOOR,2008,Rabi,9.0,17.0,1.8888888888888888,bajra
78,Andhra Pradesh, CHITTOOR,2009,Rabi,17.0,20.0,1.1764705882352942,bajra
