,state,district,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
0,andaman and nicobar,,Maize,239.0,879.36,3.809886919977471
1,andaman and nicobar,nicobars,Maize,9.7,18.22,9.166666666666668
2,andaman and nicobar,north and middle andaman,Maize,96.5,456.0,4.725388601036269
3,andaman and nicobar,south andamans,Maize,73.0,253.0,3.4657534246575343
4,andhra pradesh,adilabad,Maize,15049.0,54372.0,4.938932846419152
5,andhra pradesh,adilabad,bajra,1820.0,1127.0,1.0
6,andhra pradesh,adilabad,jowar,96100.0,63196.0,0.9759563905383044
7,andhra pradesh,adilabad,ragi,13.0,17.0,1.3076923076923077
8,andhra pradesh,adilabad,rice,27644.0,79891.0,3.100006456194719
9,andhra pradesh,adilabad,wheat,7180.0,8350.0,1.3461084905660377
10,andhra pradesh,anantapur,Maize,8952.0,57970.0,9.117052631578948
11,andhra pradesh,anantapur,bajra,317.0,185.0,1.893939393939394
12,andhra pradesh,anantapur,jowar,24944.0,30576.0,1.4932432432432432
13,andhra pradesh,anantapur,ragi,1695.0,3421.0,2.5880195599022007
14,andhra pradesh,anantapur,rice,38119.0,108906.0,3.1346033075151767
15,andhra pradesh,anantapur,wheat,520.0,333.0,1.3333333333333333
16,andhra pradesh,chittoor,Maize,1303.0,9713.0,9.116883116883116
17,andhra pradesh,chittoor,bajra,393.0,514.0,4.0
18,andhra pradesh,chittoor,jowar,130.0,155.0,1.7272727272727273
19,andhra pradesh,chittoor,ragi,1776.0,2700.0,2.259216589861752
20,andhra pradesh,chittoor,rice,78677.0,301962.0,3.8669976482884767
21,andhra pradesh,chittoor,wheat,7.0,7.0,1.4
22,andhra pradesh,east godavari,Maize,12156.0,108400.0,9.993054433855598
23,andhra pradesh,east godavari,bajra,24.0,11.0,1.0
24,andhra pradesh,east godavari,jowar,1776.0,1172.0,4.583333333333333
25,andhra pradesh,east godavari,ragi,115.0,190.0,1.8928571428571428
26,andhra pradesh,east godavari,rice,172888.0,900954.0,5.60099716516636
27,andhra pradesh,guntur,Maize,95547.0,950884.0,11.292996016632744
28,andhra pradesh,guntur,bajra,200.0,268.0,2.0
29,andhra pradesh,guntur,jowar,40280.0,240149.0,6.975920125293657
30,andhra pradesh,guntur,ragi,1175.0,1406.0,1.875
31,andhra pradesh,guntur,rice,112342.0,383423.0,4.622997374484274
32,andhra pradesh,guntur,wheat,43.0,56.0,1.302325581395349
33,andhra pradesh,hyderabad,rice,100.0,200.0,2.4166666666666665
34,andhra pradesh,kadapa,Maize,4364.0,33761.0,13.751934826883913
35,andhra pradesh,kadapa,bajra,3979.0,8595.0,2.7088122605363987
36,andhra pradesh,kadapa,jowar,19038.0,38133.0,2.002994011976048
37,andhra pradesh,kadapa,ragi,948.0,1814.0,2.259259259259259
38,andhra pradesh,kadapa,rice,37550.0,98231.0,3.3639892781218226
39,andhra pradesh,kadapa,wheat,274.0,195.0,2.0
40,andhra pradesh,karimnagar,Maize,65000.0,377000.0,5.8
41,andhra pradesh,karimnagar,bajra,2696.0,1955.0,1.0
42,andhra pradesh,karimnagar,jowar,6200.0,5200.0,1.297071129707113
43,andhra pradesh,karimnagar,rice,221971.0,828396.0,3.7320010271612056
44,andhra pradesh,karimnagar,wheat,200.0,108.0,1.3125
45,andhra pradesh,khammam,Maize,21774.0,167080.0,7.771010547805376
46,andhra pradesh,khammam,bajra,91.0,55.0,1.0
47,andhra pradesh,khammam,jowar,22400.0,16400.0,1.3560076930863447
48,andhra pradesh,khammam,ragi,4.0,7.0,1.75
49,andhra pradesh,khammam,rice,54625.0,197087.0,3.608
50,andhra pradesh,krishna,Maize,25554.0,205365.0,9.387049420975371
51,andhra pradesh,krishna,bajra,2.0,2.0,1.0
52,andhra pradesh,krishna,jowar,2584.0,9031.0,4.959493670886076
53,andhra pradesh,krishna,ragi,5.0,9.0,2.0
54,andhra pradesh,krishna,rice,134500.0,491200.0,5.633809958422066
55,andhra pradesh,kurnool,Maize,14029.0,97796.0,9.116915871014232
56,andhra pradesh,kurnool,bajra,1241.0,1870.0,2.2804878048780486
57,andhra pradesh,kurnool,jowar,113800.0,141292.0,2.420993757442356
58,andhra pradesh,kurnool,ragi,6.0,10.0,1.6666666666666667
59,andhra pradesh,kurnool,rice,44772.0,157911.0,3.9159993800692257
60,andhra pradesh,kurnool,wheat,1264.0,876.0,2.3125
61,andhra pradesh,mahbubnagar,Maize,4976.0,23935.0,5.666666666666667
62,andhra pradesh,mahbubnagar,bajra,594.0,364.0,1.0
63,andhra pradesh,mahbubnagar,jowar,61000.0,35237.0,1.0
64,andhra pradesh,mahbubnagar,ragi,1182.0,2047.0,2.0
65,andhra pradesh,mahbubnagar,rice,74700.0,185537.0,2.8259994768716927
66,andhra pradesh,mahbubnagar,wheat,315.0,200.0,1.4285714285714286
67,andhra pradesh,medak,Maize,18000.0,93000.0,5.166666666666667
68,andhra pradesh,medak,bajra,9.0,5.0,0.5555555555555556
69,andhra pradesh,medak,jowar,55600.0,44844.0,1.2339949518127582
70,andhra pradesh,medak,ragi,1.0,2.0,2.0
71,andhra pradesh,medak,rice,62644.0,229026.0,3.655992593065577
72,andhra pradesh,medak,wheat,4052.0,7820.0,2.7400140154169588
73,andhra pradesh,nalgonda,Maize,2000.0,7000.0,5.351351351351352
74,andhra pradesh,nalgonda,bajra,82.0,16.0,0.6
75,andhra pradesh,nalgonda,jowar,18700.0,10423.0,0.7255985267034991
76,andhra pradesh,nalgonda,ragi,8.0,14.0,2.0
77,andhra pradesh,nalgonda,rice,199166.0,681148.0,3.4320018312922054
78,andhra pradesh,nizamabad,Maize,39000.0,161000.0,6.819996161965074
79,andhra pradesh,nizamabad,bajra,9000.0,6000.0,2.0
80,andhra pradesh,nizamabad,jowar,24800.0,43147.0,1.900937081659973
81,andhra pradesh,nizamabad,ragi,8.0,14.0,1.75
82,andhra pradesh,nizamabad,rice,110314.0,416744.0,3.9730013156138577
83,andhra pradesh,nizamabad,wheat,2610.0,2179.0,2.0
84,andhra pradesh,prakasam,Maize,20101.0,161351.0,8.389008234872897
85,andhra pradesh,prakasam,bajra,1807.0,2714.0,2.532863849765258
86,andhra pradesh,prakasam,jowar,20714.0,39000.0,2.339046045839356
87,andhra pradesh,prakasam,ragi,5951.0,12241.0,2.191039729501268
88,andhra pradesh,prakasam,rice,107903.0,385888.0,3.959003774334525
89,andhra pradesh,prakasam,wheat,73.0,67.0,0.9178082191780822
90,andhra pradesh,rangareddi,Maize,2331.0,11212.0,5.350473612990528
91,andhra pradesh,rangareddi,bajra,39.0,23.0,1.0
92,andhra pradesh,rangareddi,jowar,23400.0,20223.0,2.1560545764639
93,andhra pradesh,rangareddi,ragi,358.0,620.0,3.0
94,andhra pradesh,rangareddi,rice,29800.0,77000.0,2.786983669548511
95,andhra pradesh,rangareddi,wheat,2156.0,1529.0,1.3215339233038348
96,andhra pradesh,spsr nellore,Maize,1631.0,12157.0,9.116370808678502
97,andhra pradesh,spsr nellore,bajra,79.0,193.0,3.74468085106383
98,andhra pradesh,spsr nellore,jowar,3000.0,12000.0,4.714285714285714
99,andhra pradesh,spsr nellore,ragi,788.0,1640.0,2.25
100,andhra pradesh,spsr nellore,rice,257837.0,1179003.0,4.698997757494689
101,andhra pradesh,srikakulam,Maize,24924.0,188077.0,11.0
102,andhra pradesh,srikakulam,jowar,400.0,200.0,4.666666666666667
103,andhra pradesh,srikakulam,ragi,3910.0,6209.0,2.0139240506329115
104,andhra pradesh,srikakulam,rice,9520.0,30457.0,3.75
105,andhra pradesh,srikakulam,wheat,5.0,3.0,0.6
106,andhra pradesh,visakhapatanam,Maize,1474.0,12486.0,11.0
107,andhra pradesh,visakhapatanam,jowar,363.0,374.0,5.0
108,andhra pradesh,visakhapatanam,ragi,2100.0,4400.0,3.049107142857143
109,andhra pradesh,visakhapatanam,rice,7262.0,18873.0,3.710526315789474
110,andhra pradesh,vizianagaram,Maize,19606.0,167827.0,8.559981638273998
111,andhra pradesh,vizianagaram,bajra,5.0,5.0,1.0
112,andhra pradesh,vizianagaram,jowar,200.0,300.0,4.714285714285714
113,andhra pradesh,vizianagaram,ragi,2600.0,5700.0,2.562962962962963
114,andhra pradesh,vizianagaram,rice,7507.0,23452.0,3.6944444444444446
115,andhra pradesh,warangal,Maize,41000.0,228000.0,5.59300052627622
116,andhra pradesh,warangal,bajra,2000.0,1000.0,0.8
117,andhra pradesh,warangal,jowar,25400.0,19200.0,0.9068797776233496
118,andhra pradesh,warangal,rice,98782.0,341094.0,3.535211267605634
119,andhra pradesh,warangal,wheat,55.0,42.0,1.3
120,andhra pradesh,west godavari,Maize,57247.0,487934.0,9.23800793719265
121,andhra pradesh,west godavari,jowar,1823.0,2220.0,4.72
122,andhra pradesh,west godavari,ragi,10.0,18.0,1.8
123,andhra pradesh,west godavari,rice,200369.0,931515.0,5.394663525254012
124,arunachal pradesh,anjaw,wheat,34.0,73.0,2.147058823529412
125,arunachal pradesh,changlang,wheat,375.0,862.0,2.300268096514745
126,arunachal pradesh,dibang valley,wheat,196.0,350.0,2.6717557251908395
127,arunachal pradesh,east kameng,wheat,470.0,795.0,4.2631578947368425
128,arunachal pradesh,east siang,wheat,538.0,1181.0,3.466019417475728
129,arunachal pradesh,kurung kumey,wheat,15.0,16.0,1.0666666666666669
130,arunachal pradesh,lohit,wheat,558.0,1136.0,2.125560538116592
131,arunachal pradesh,lower dibang valley,wheat,394.0,795.0,2.018324607329843
132,arunachal pradesh,lower siang,wheat,40.0,106.0,2.65
133,arunachal pradesh,lower subansiri,wheat,65.0,78.0,2.0
134,arunachal pradesh,namsai,wheat,337.0,706.0,2.0955223880597016
135,arunachal pradesh,pakke kessang,wheat,45.0,106.0,2.355555555555556
136,arunachal pradesh,papum pare,wheat,301.0,742.0,2.5734767025089607
137,arunachal pradesh,tawang,wheat,2290.0,3330.0,1.7490942028985508
138,arunachal pradesh,tirap,wheat,108.0,357.0,3.3679245283018866
139,arunachal pradesh,upper siang,wheat,300.0,510.0,1.7
140,arunachal pradesh,upper subansiri,wheat,300.0,300.0,2.0
141,arunachal pradesh,west kameng,wheat,811.0,1374.0,1.694204685573366
142,arunachal pradesh,west siang,wheat,90.0,130.0,1.4651162790697674
143,assam,baksa,rice,12737.0,25691.0,2.4457028647568286
144,assam,baksa,wheat,2853.0,3320.0,2.1392857142857142
