,state,district,Year,Season,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),N_applied(kg/ha),P_applied(kg/ha),K_applied(kg/ha),Manure (kg/ha),calorie_per_100g,MSP_RsperQntl,CostofCultivation_rs_ha,CWR_y,CWU green_y,CWU blue_y,CWR m3/ha,CWU green m3/ha,CWU blue m3/ha
0,andaman and nicobar,,2009,Rabi,maize,163.0,405.0,2.4846625766871164,,,,,342,840.0,,,,,,,
1,andaman and nicobar,nicobars,2010,Rabi,maize,3.84,18.22,4.744791666666667,,,,,342,880.0,,,,,,,
2,andaman and nicobar,nicobars,2011,Rabi,maize,4.0,2.7,0.675,,,,,342,980.0,,,,,,,
3,andaman and nicobar,nicobars,2013,Rabi,maize,9.7,5.1,0.5257731958762887,,,,,342,1310.0,,,,,,,
4,andaman and nicobar,nicobars,2014,Rabi,maize,0.6,5.5,9.166666666666668,,,,,342,1310.0,,,,,,,
5,andaman and nicobar,nicobars,2015,Rabi,maize,0.5,0.5,1.0,,,,,342,1325.0,,,,,,,
6,andaman and nicobar,north and middle andaman,2010,Rabi,maize,86.7,96.4,1.1118800461361016,,,,,342,880.0,,,,,,,
7,andaman and nicobar,north and middle andaman,2011,Rabi,maize,91.0,136.5,1.5,,,,,342,980.0,,,,,,,
8,andaman and nicobar,north and middle andaman,2012,Rabi,maize,73.5,103.2,1.4040816326530612,,,,,342,1175.0,,,,,,,
9,andaman and nicobar,north and middle andaman,2013,Rabi,maize,75.4,176.1,2.335543766578249,,,,,342,1310.0,,,,,,,
10,andaman and nicobar,north and middle andaman,2014,Rabi,maize,96.5,456.0,4.725388601036269,,,,,342,1310.0,,,,,,,
11,andaman and nicobar,north and middle andaman,2015,Rabi,maize,65.0,240.0,3.692307692307693,,,,,342,1325.0,,,,,,,
12,andaman and nicobar,north and middle andaman,2016,Rabi,maize,49.5,116.8,2.35959595959596,,,,,342,1365.0,,,,,,,
13,andaman and nicobar,north and middle andaman,2017,Rabi,maize,30.62,17.58,0.574134552580013,,,,,342,1425.0,,,,,,,
14,andaman and nicobar,north and middle andaman,2018,Rabi,maize,12.23,26.46,2.1635322976287816,,,,,342,,,,,,,,
15,andaman and nicobar,north and middle andaman,2019,Rabi,maize,15.37,44.05,2.8659726740403384,,,,,342,,,,,,,,
16,andaman and nicobar,south andamans,2010,Rabi,maize,73.0,253.0,3.4657534246575343,,,,,342,880.0,,,,,,,
17,andaman and nicobar,south andamans,2011,Rabi,maize,67.5,201.0,2.977777777777778,,,,,342,980.0,,,,,,,
18,andaman and nicobar,south andamans,2012,Rabi,maize,42.0,112.0,2.6666666666666665,,,,,342,1175.0,,,,,,,
19,andaman and nicobar,south andamans,2013,Rabi,maize,45.0,111.5,2.477777777777778,,,,,342,1310.0,,,,,,,
20,andaman and nicobar,south andamans,2014,Rabi,maize,70.0,141.5,2.021428571428572,,,,,342,1310.0,,,,,,,
21,andaman and nicobar,south andamans,2015,Rabi,maize,55.0,111.5,2.027272727272728,,,,,342,1325.0,,,,,,,
22,andaman and nicobar,south andamans,2016,Rabi,maize,54.0,99.52,1.842962962962963,,,,,342,1365.0,,,,,,,
23,andaman and nicobar,south andamans,2017,Rabi,maize,13.0,20.0,1.5384615384615383,,,,,342,1425.0,,,,,,,
24,andaman and nicobar,south andamans,2018,Rabi,maize,20.2,22.5,1.113861386138614,,,,,342,,,,,,,,
25,andaman and nicobar,south andamans,2019,Rabi,maize,5.22,12.95,2.4808429118773945,,,,,342,,,,,,,,
26,andhra pradesh,adilabad,2009,Rabi,maize,4133.0,15937.0,3.856036777159448,123.6481394854559,74.45378266895804,27.133445126542085,402.8602190207725,342,840.0,,17893488.0,5763240.0,12130248.0,4640.383127564787,1494.6019275898855,3145.7811999749015
27,andhra pradesh,adilabad,2009,Rabi,bajra,831.0,402.0,0.483754512635379,,,,,361,840.0,,3427116.0,2995608.0,85008.0,7084.411432835822,6192.413552238807,175.72549253731344
28,andhra pradesh,adilabad,2009,Rabi,jowar,29286.0,19592.0,0.6689885952332172,37.789183384669606,27.11765027129956,4.834741083171806,24.22907488986784,349,840.0,,3048825.0,853830.0,153435.0,4557.36468711719,1276.2997846059616,229.35368568803594
29,andhra pradesh,adilabad,2009,Rabi,rice,10240.0,23235.0,2.26904296875,123.14269227496366,60.688918935264894,46.065053746736005,2713.1706958492946,345,1000.0,,26872696.0,1891305.0,24981391.0,11843.185153432321,833.5254228534538,11009.659730578867
30,andhra pradesh,adilabad,2009,Rabi,wheat,3392.0,4566.0,1.3461084905660377,,,,,346,1100.0,,2779625.0,391852.0,1840863.0,2064.9338589575123,291.09986508979415,1367.5443048620236
31,andhra pradesh,adilabad,2010,Rabi,maize,6725.0,22462.0,3.340074349442379,123.16418499690876,85.20426061133692,36.01024421516639,713.032680424864,342,880.0,,17893488.0,5763240.0,12130248.0,5357.2124833051375,1725.482548303802,3631.7299350013354
32,andhra pradesh,adilabad,2010,Rabi,bajra,1555.0,1127.0,0.7247588424437299,,,,,361,880.0,,3427116.0,2995608.0,85008.0,4728.629440993789,4133.247950310559,117.29142857142857
33,andhra pradesh,adilabad,2010,Rabi,jowar,14536.0,9100.0,0.6260319207484866,110.06460734140845,62.74898634253522,8.113262910845071,21.12676056338028,349,880.0,,3048825.0,853830.0,153435.0,4870.079142857143,1363.8761406593405,245.09133626373625
34,andhra pradesh,adilabad,2010,Rabi,rice,27644.0,79891.0,2.889994212125597,123.05100005359697,65.49602041709748,37.25898495867568,998.0793912561096,345,1000.0,,26872696.0,1891305.0,24981391.0,9298.529349038065,654.4321064950996,8644.097242542965
35,andhra pradesh,adilabad,2010,Rabi,wheat,4046.0,5199.0,1.2849728126544735,,,,,346,1170.0,,2779625.0,391852.0,1840863.0,2163.1780630890557,304.9496426235815,1432.6085204847086
36,andhra pradesh,adilabad,2011,Rabi,maize,4929.0,24344.0,4.938932846419152,124.80425174515386,67.96600459938007,35.38075580045178,889.1850283868655,342,980.0,,17893488.0,5763240.0,12130248.0,3622.9462024318104,1166.8998504765034,2456.0463519553073
37,andhra pradesh,adilabad,2011,Rabi,bajra,524.0,328.0,0.6259541984732825,,,,,361,980.0,,3427116.0,2995608.0,85008.0,5475.026780487804,4785.66643902439,135.80546341463412
38,andhra pradesh,adilabad,2011,Rabi,jowar,10273.0,10026.0,0.9759563905383044,116.17478061685637,24.10262614531165,0.3695638146883468,34.14634146341464,349,990.0,,3048825.0,853830.0,153435.0,3123.9356897067623,874.8649102333931,157.21501645721125
39,andhra pradesh,adilabad,2011,Rabi,rice,15489.0,48016.0,3.100006456194719,113.89238840004464,66.63500484682085,28.827028610631945,2524.98204551736,345,1095.0,,26872696.0,1891305.0,24981391.0,8668.593559313562,610.097116482006,8058.496442831556
40,andhra pradesh,adilabad,2011,Rabi,wheat,3275.0,4330.0,1.3221374045801526,,,,,346,1285.0,,2779625.0,391852.0,1840863.0,2102.3722575057736,296.3776674364896,1392.338643187067
41,andhra pradesh,adilabad,2012,Rabi,maize,9000.0,30000.0,3.333333333333333,120.86633603581856,62.340499587172296,40.1991986022097,1251.8851511950616,342,1175.0,34990.18,17893488.0,5763240.0,12130248.0,5368.0464,1728.9720000000002,3639.0744000000004
42,andhra pradesh,adilabad,2012,Rabi,jowar,11000.0,10000.0,0.9090909090909092,60.69295647869988,38.3918345609842,3.472850228128797,4801.028028345079,349,1510.0,21895.8,3048825.0,853830.0,153435.0,3353.7075,939.213,168.7785
43,andhra pradesh,adilabad,2012,Rabi,rice,15000.0,42000.0,2.8,106.29173459881989,52.98277636945728,35.59149063651472,1920.92231844638,345,1265.0,42669.85,26872696.0,1891305.0,24981391.0,9597.391428571429,675.4660714285715,8921.925357142858
44,andhra pradesh,adilabad,2012,Rabi,wheat,4000.0,4000.0,1.0,,,,,346,1350.0,,2779625.0,391852.0,1840863.0,2779.625,391.852,1840.863
45,andhra pradesh,,2009,Rabi,maize,4615.0,33736.0,7.310075839653304,146.846683124883,72.21974686384092,4.931636362237346,1004.5398372968948,342,840.0,,17893488.0,5763240.0,12130248.0,2447.7841806971783,788.3967453165758,1659.3874353806025
46,andhra pradesh,anantapur,2009,Rabi,bajra,45.0,83.0,1.8444444444444448,,,,,361,840.0,,3427116.0,2995608.0,85008.0,1858.0749397590357,1624.1248192771081,46.088674698795174
47,andhra pradesh,anantapur,2009,Rabi,jowar,17721.0,14283.0,0.8059928897917725,0.0,0.0,0.0,0.0,349,840.0,,3048825.0,853830.0,153435.0,3782.6946597353494,1059.351776937618,190.3676843100189
48,andhra pradesh,anantapur,2009,Rabi,ragi,1122.0,2458.0,2.190730837789661,59.479166665,28.02083333,8.854166665,0.0,328,840.0,,3427116.0,2995608.0,85008.0,1564.3710951993492,1367.4012107404394,38.803489015459725
49,andhra pradesh,anantapur,2009,Rabi,rice,19428.0,46899.0,2.4139901173563927,152.9835273728182,80.76227752277272,52.34085303486364,3432.564627298182,345,1000.0,,26872696.0,1891305.0,24981391.0,11132.065457429797,783.4766954519287,10348.588761977868
50,andhra pradesh,anantapur,2009,Rabi,wheat,179.0,97.0,0.5418994413407822,,,,,346,1100.0,,2779625.0,391852.0,1840863.0,5129.4110824742265,723.1083298969072,3397.056463917526
51,andhra pradesh,anantapur,2010,Rabi,maize,4750.0,43306.0,9.117052631578948,71.42857143,41.66666667,16.66666667,0.0,342,880.0,,17893488.0,5763240.0,12130248.0,1962.6395418648683,632.1385027478871,1330.5010391169812
52,andhra pradesh,anantapur,2010,Rabi,bajra,5.0,4.0,0.8,,,,,361,880.0,,3427116.0,2995608.0,85008.0,4283.895,3744.51,106.26
53,andhra pradesh,,2010,Rabi,jowar,13274.0,8296.0,0.6249811661895435,130.47482638958334,74.89843750020832,8.893229166666666,0.0,349,880.0,,3048825.0,853830.0,153435.0,4878.26700216972,1366.169168273867,245.50339802314366
54,andhra pradesh,anantapur,2010,Rabi,ragi,556.0,831.0,1.4946043165467626,71.7032967032967,37.91208790879121,0.0,0.0,328,880.0,,3427116.0,2995608.0,85008.0,2292.9921732851985,2004.2816462093863,56.87659205776173
55,andhra pradesh,anantapur,2010,Rabi,rice,24828.0,69394.0,2.794989527952312,154.7114268664315,80.90814319653528,39.70131151889004,1558.0912863091287,345,1000.0,,26872696.0,1891305.0,24981391.0,9614.596309306282,676.6769539153241,8937.919355390957
56,andhra pradesh,anantapur,2010,Rabi,wheat,131.0,171.0,1.3053435114503815,,,,,346,1170.0,,2779625.0,391852.0,1840863.0,2129.420321637427,300.19071345029244,1410.2517719298246
