,target,source,avg_trade_qtl
0,Andhra Pradesh,Andhra Pradesh,14815.666666666666
1,Andaman & Nicobar Islands,Andhra Pradesh,0.0
2,Arunachal Pradesh,Andhra Pradesh,0.0
3,Assam,Andhra Pradesh,41390.833333333336
4,Bihar,Andhra Pradesh,25014.166666666668
5,Chattisgarh,Andhra Pradesh,2215.0
6,Chandigarh,Andhra Pradesh,0.0
7,Daman & Diu,Andhra Pradesh,0.0
8,Delhi,Andhra Pradesh,0.0
9,Dadra & Nagar Haveli,Andhra Pradesh,0.0
10,Goa,Andhra Pradesh,0.0
11,Gujarat,Andhra Pradesh,217.49166666666667
12,Himachal Pradesh,Andhra Pradesh,0.0
13,Haryana,Andhra Pradesh,0.0
14,Jharkhand,Andhra Pradesh,0.0
15,Jammu & Kashmir,Andhra Pradesh,0.0
16,Kerala,Andhra Pradesh,8842.5
17,Karnataka,Andhra Pradesh,37955.833333333336
18,Lakshadeep,Andhra Pradesh,0.0
19,Maharashtra,Andhra Pradesh,0.0
20,Meghalaya,Andhra Pradesh,0.0
21,Manipur,Andhra Pradesh,0.0
22,Madhya Pradesh,Andhra Pradesh,3189.75
23,Mizoram,Andhra Pradesh,0.0
24,Nagaland,Andhra Pradesh,8842.5
25,Odisha,Andhra Pradesh,113160.83333333333
26,Punjab,Andhra Pradesh,0.0
27,Puducherry,Andhra Pradesh,0.0
28,Rajasthan,Andhra Pradesh,1328.5583333333334
29,Sikkim,Andhra Pradesh,0.0
30,Telangana,Andhra Pradesh,0.0
31,Tamil Nadu,Andhra Pradesh,2220.0
32,Tripura,Andhra Pradesh,2205.0
33,Uttarakhand,Andhra Pradesh,0.0
34,Uttar Pradesh,Andhra Pradesh,441.5
35,West Bengal,Andhra Pradesh,32945.833333333336
36,Andhra Pradesh,Andaman & Nicobar Islands,0.0
37,Andaman & Nicobar Islands,Andaman & Nicobar Islands,0.0
38,Arunachal Pradesh,Andaman & Nicobar Islands,0.0
39,Assam,Andaman & Nicobar Islands,0.0
40,Bihar,Andaman & Nicobar Islands,0.0
41,Chattisgarh,Andaman & Nicobar Islands,0.0
42,Chandigarh,Andaman & Nicobar Islands,0.0
43,Daman & Diu,Andaman & Nicobar Islands,0.0
