State,District,state_key,district_key,map_state,map_district,matched
andaman and nicobar,nicobars,andaman and nicobar,nicobars,andaman and nicobar,nicobars,True
andaman and nicobar,north and middle andaman,andaman and nicobar,north and middle andaman,andaman and nicobar,north and middle andaman,True
andaman and nicobar,south andamans,andaman and nicobar,south andamans,andaman and nicobar,south andaman,True
andhra pradesh,anantapur,andhra pradesh,anantapur,andhra pradesh,anantapur,True
andhra pradesh,chittoor,andhra pradesh,chittoor,andhra pradesh,chittoor,True
andhra pradesh,east godavari,andhra pradesh,east godavari,andhra pradesh,east godavari,True
andhra pradesh,guntur,andhra pradesh,guntur,andhra pradesh,guntur,True
andhra pradesh,kadapa,andhra pradesh,kadapa,andhra pradesh,y s r,True
andhra pradesh,krishna,andhra pradesh,krishna,andhra pradesh,krishna,True
andhra pradesh,kurnool,andhra pradesh,kurnool,andhra pradesh,kurnool,True
andhra pradesh,nellore,andhra pradesh,nellore,andhra pradesh,s p s nellore,True
andhra pradesh,prakasam,andhra pradesh,prakasam,andhra pradesh,prakasam,True
andhra pradesh,spsr nellore,andhra pradesh,spsr nellore,andhra pradesh,s p s nellore,True
andhra pradesh,srikakulam,andhra pradesh,srikakulam,andhra pradesh,srikakulam,True
andhra pradesh,visakhapatanam,andhra pradesh,visakhapatanam,andhra pradesh,visakhapatnam,True
andhra pradesh,visakhapatnam,andhra pradesh,visakhapatnam,andhra pradesh,visakhapatnam,True
andhra pradesh,vizianagaram,andhra pradesh,vizianagaram,andhra pradesh,vizianagaram,True
andhra pradesh,west godavari,andhra pradesh,west godavari,andhra pradesh,west godavari,True
arunachal pradesh,anjaw,arunachal pradesh,anjaw,arunachal pradesh,anjaw,True
arunachal pradesh,changlang,arunachal pradesh,changlang,arunachal pradesh,changlang,True
arunachal pradesh,dibang valley,arunachal pradesh,dibang valley,arunachal pradesh,upper dibang valley,True
arunachal pradesh,east kameng,arunachal pradesh,east kameng,arunachal pradesh,east kameng,True
arunachal pradesh,east siang,arunachal pradesh,east siang,arunachal pradesh,east siang,True
arunachal pradesh,kra daadi,arunachal pradesh,kra daadi,arunachal pradesh,kra daadi,True
arunachal pradesh,kurung kumey,arunachal pradesh,kurung kumey,arunachal pradesh,kurung kumey,True
arunachal pradesh,lohit,arunachal pradesh,lohit,arunachal pradesh,lohit,True
arunachal pradesh,longding,arunachal pradesh,longding,arunachal pradesh,longding,True
arunachal pradesh,lower dibang valley,arunachal pradesh,lower dibang valley,arunachal pradesh,lower dibang valley,True
arunachal pradesh,lower subansiri,arunachal pradesh,lower subansiri,arunachal pradesh,lower subansiri,True
arunachal pradesh,namsai,arunachal pradesh,namsai,arunachal pradesh,namsai,True
arunachal pradesh,papum pare,arunachal pradesh,papum pare,arunachal pradesh,papum pare,True
arunachal pradesh,siang,arunachal pradesh,siang,arunachal pradesh,siang,True
arunachal pradesh,tawang,arunachal pradesh,tawang,arunachal pradesh,tawang,True
arunachal pradesh,tirap,arunachal pradesh,tirap,arunachal pradesh,tirap,True
arunachal pradesh,upper siang,arunachal pradesh,upper siang,arunachal pradesh,upper siang,True
arunachal pradesh,upper subansiri,arunachal pradesh,upper subansiri,arunachal pradesh,upper subansiri,True
arunachal pradesh,west kameng,arunachal pradesh,west kameng,arunachal pradesh,west kameng,True
arunachal pradesh,west siang,arunachal pradesh,west siang,arunachal pradesh,west siang,True
assam,baksa,assam,baksa,assam,baksa,True
assam,barpeta,assam,barpeta,assam,barpeta,True
assam,bongaigaon,assam,bongaigaon,assam,bongaigaon,True
assam,cachar,assam,cachar,assam,cachar,True
assam,chirang,assam,chirang,assam,chirang,True
assam,darrang,assam,darrang,assam,darrang,True
assam,dhemaji,assam,dhemaji,assam,dhemaji,True
assam,dhubri,assam,dhubri,assam,dhubri,True
assam,dibrugarh,assam,dibrugarh,assam,dibrugarh,True
assam,dima hasao,assam,dima hasao,assam,dima hasao,True
assam,goalpara,assam,goalpara,assam,goalpara,True
assam,golaghat,assam,golaghat,assam,golaghat,True
assam,hailakandi,assam,hailakandi,assam,hailakandi,True
assam,jorhat,assam,jorhat,assam,jorhat,True
assam,kamrup,assam,kamrup,assam,kamrup,True
assam,kamrup metro,assam,kamrup metro,assam,kamrup metropolitan,True
assam,karbi anglong,assam,karbi anglong,assam,karbi anglong,True
assam,karimganj,assam,karimganj,assam,karimganj,True
assam,kokrajhar,assam,kokrajhar,assam,kokrajhar,True
assam,lakhimpur,assam,lakhimpur,assam,lakhimpur,True
assam,marigaon,assam,marigaon,assam,morigaon,True
assam,morigaon,assam,morigaon,assam,morigaon,True
assam,nagaon,assam,nagaon,assam,nagaon,True
assam,nalbari,assam,nalbari,assam,nalbari,True
assam,sivasagar,assam,sivasagar,assam,sivasagar,True
assam,sonitpur,assam,sonitpur,assam,sonitpur,True
assam,tinsukia,assam,tinsukia,assam,tinsukia,True
assam,udalguri,assam,udalguri,assam,udalguri,True
bihar,araria,bihar,araria,bihar,araria,True
bihar,arwal,bihar,arwal,bihar,arwal,True
bihar,aurangabad,bihar,aurangabad,bihar,aurangabad,True
bihar,banka,bihar,banka,bihar,banka,True
bihar,begusarai,bihar,begusarai,bihar,begusarai,True
bihar,bhagalpur,bihar,bhagalpur,bihar,bhagalpur,True
bihar,bhojpur,bihar,bhojpur,bihar,bhojpur,True
bihar,buxar,bihar,buxar,bihar,buxar,True
bihar,darbhanga,bihar,darbhanga,bihar,darbhanga,True
bihar,gaya,bihar,gaya,bihar,gaya,True
bihar,gopalganj,bihar,gopalganj,bihar,gopalganj,True
bihar,jamui,bihar,jamui,bihar,jamui,True
bihar,jehanabad,bihar,jehanabad,bihar,jehanabad,True
bihar,kaimur,bihar,kaimur,bihar,kaimur bhabhua,True
bihar,kaimur (bhabua),bihar,kaimur bhabua,bihar,kaimur bhabhua,True
bihar,katihar,bihar,katihar,bihar,katihar,True
