id,district,dt_code,st_nm,st_code,year,state_key,district_key,map_state,map_district,nitrogen_surplus_kg,calorie_kcal,water_m3,nitrogen_surplus_ggn,calorie_bkcal,water_bcm
,Aizawal,261,Mizoram,15,2011_c,mizoram,aizawal,mizoram,aizawal,476238.98172889004,24841659999.25428,28788686.452370543,0.47623898172889007,24.84165999925428,0.028788686452370545
,Champhai,262,Mizoram,15,2011_c,mizoram,champhai,mizoram,champhai,1009063.9266793634,54806395990.73532,63410649.37398682,1.0090639266793633,54.80639599073532,0.06341064937398681
,Kolasib,263,Mizoram,15,2011_c,mizoram,kolasib,mizoram,kolasib,687418.4360907241,42874519996.73438,42515654.58520125,0.6874184360907241,42.874519996734385,0.04251565458520125
,Lawngtlai,264,Mizoram,15,2011_c,mizoram,lawngtlai,mizoram,lawngtlai,658169.1356346722,39652705999.094,40730733.590439245,0.6581691356346723,39.652705999094,0.040730733590439244
,Lunglei,265,Mizoram,15,2011_c,mizoram,lunglei,mizoram,lunglei,446161.42150809476,20574662005.21567,25841754.881381243,0.44616142150809474,20.57466200521567,0.025841754881381244
,Mamit,266,Mizoram,15,2011_c,mizoram,mamit,mizoram,mamit,454677.07598668314,18702560000.904484,25348472.790688936,0.4546770759866831,18.702560000904484,0.025348472790688935
,Saiha,267,Mizoram,15,2011_c,mizoram,saiha,mizoram,saiha,182077.6537516323,10217688001.5196,10988845.282807052,0.1820776537516323,10.2176880015196,0.010988845282807053
,Serchhip,268,Mizoram,15,2011_c,mizoram,serchhip,mizoram,serchhip,612246.7056971353,32914526001.267365,34914393.48746792,0.6122467056971354,32.91452600126736,0.03491439348746792
,Khawzawl,996,Mizoram,15,2019,mizoram,khawzawl,,,,,,,,
,Hnahthial,994,Mizoram,15,2019,mizoram,hnahthial,,,,,,,,
,Thiruvallur,602,Tamil Nadu,33,2011_c,tamil nadu,thiruvallur,tamil nadu,thiruvallur,7384680.248976441,1480254070045.2375,811413034.1342498,7.384680248976441,1480.2540700452375,0.8114130341342498
,Chennai,603,Tamil Nadu,33,2018,tamil nadu,chennai,,,,,,,,
,Krishnagiri,631,Tamil Nadu,33,2011_c,tamil nadu,krishnagiri,tamil nadu,krishnagiri,4232946.923934488,1055669920017.0168,247107053.6337575,4.232946923934487,1055.669920017017,0.2471070536337575
,Tiruvannamalai,606,Tamil Nadu,33,2011_c,tamil nadu,tiruvannamalai,tamil nadu,tiruvannamalai,22681767.819967933,2670615080053.4443,1198005693.3989391,22.681767819967934,2670.615080053444,1.1980056933989391
,Dharmapuri,630,Tamil Nadu,33,2011_c,tamil nadu,dharmapuri,tamil nadu,dharmapuri,6169379.65709951,896565449949.974,243707367.76237687,6.169379657099509,896.565449949974,0.24370736776237686
