Alpha,Objective Nitrogen,Objective Water,nitrogen_mt,water_bcm
0.0,3508269786.068414,123983728396.56276,3.508269786068414,123.98372839656275
0.01,3508269786.068414,123983728396.56276,3.508269786068414,123.98372839656275
0.02,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.03,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.04,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.05,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.06,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.07,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.08,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.09,3518279208.7599916,123983535261.57674,3.5182792087599917,123.98353526157673
0.1,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.11,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.12,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.13,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.14,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.15,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.16,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.17,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.18,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.19,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.2,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.21,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.22,3518959632.5154667,123983464115.95256,3.518959632515467,123.98346411595256
0.23,3518498326.901739,123983596196.40802,3.518498326901739,123.98359619640802
0.24,3516760583.4759493,123984140568.19994,3.5167605834759494,123.98414056819993
0.25,3516760583.4759493,123984140568.19994,3.5167605834759494,123.98414056819993
0.26,3516760583.4759493,123984140568.19994,3.5167605834759494,123.98414056819993
0.27,3516760583.4759493,123984140568.19994,3.5167605834759494,123.98414056819993
0.28,3516760583.4759493,123984140568.19994,3.5167605834759494,123.98414056819993
0.29,3516760583.4759493,123984140568.19994,3.5167605834759494,123.98414056819993
0.3,3516760583.4759493,123984140568.19994,3.5167605834759494,123.98414056819993
0.31,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.32,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.33,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.34,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.35,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.36,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.37,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.38,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.39,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.4,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.41,3510217209.7438416,123986979569.07753,3.5102172097438418,123.98697956907753
0.42,3502878631.1902113,123992191299.44286,3.502878631190211,123.99219129944285
0.43,3502878631.1902113,123992191299.44286,3.502878631190211,123.99219129944285
0.44,3502878631.1902113,123992191299.44286,3.502878631190211,123.99219129944285
0.45,3502480494.934742,123992507117.40108,3.502480494934742,123.99250711740108
0.46,3502480494.934742,123992507117.40108,3.502480494934742,123.99250711740108
0.47,3499850852.1454444,123994755222.78528,3.4998508521454443,123.99475522278527
0.48,3499850852.1454444,123994755222.78528,3.4998508521454443,123.99475522278527
0.49,3498952569.9692264,123995598890.85313,3.4989525699692265,123.99559889085313
0.5,3498952569.9692264,123995598890.85313,3.4989525699692265,123.99559889085313
0.51,3498952569.9692264,123995598890.85313,3.4989525699692265,123.99559889085313
0.52,3498860646.9240313,123995695204.23386,3.4988606469240313,123.99569520423385
0.53,3498860646.9240313,123995695204.23386,3.4988606469240313,123.99569520423385
0.54,3498860646.9240313,123995695204.23386,3.4988606469240313,123.99569520423385
0.55,3498709705.9251404,123995874281.9004,3.4987097059251404,123.99587428190041
0.56,3498709705.9251404,123995874281.9004,3.4987097059251404,123.99587428190041
0.57,3498575359.8980947,124036905654.69417,3.4985753598980946,124.03690565469417
0.58,3498575359.8980947,124036905654.69417,3.4985753598980946,124.03690565469417
0.59,3498575359.8980947,124036905654.69417,3.4985753598980946,124.03690565469417
0.6,3498558711.3391695,124036930381.60481,3.4985587113391694,124.03693038160482
0.61,3498558711.3391695,124036930381.60481,3.4985587113391694,124.03693038160482
0.62,3498558711.3391695,124036930381.60481,3.4985587113391694,124.03693038160482
0.63,3498558711.3391695,124036930381.60481,3.4985587113391694,124.03693038160482
0.64,3498558711.3391695,124036930381.60481,3.4985587113391694,124.03693038160482
0.65,3498558711.3391695,124036930381.60481,3.4985587113391694,124.03693038160482
0.66,3496700965.5685563,124040441671.97025,3.4967009655685564,124.04044167197024
