Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode
0.0,5069863787.49471,298058320283.7518,5.06986378749471,298.05832028375175,Optimal,1,True,2459,3210,profit
0.01,5068974490.46667,298058684068.21484,5.06897449046667,298.05868406821486,Optimal,1,True,2459,3210,profit
0.02,5068148523.931304,298059531393.798,5.0681485239313036,298.05953139379795,Optimal,1,True,2459,3210,profit
0.03,5067814076.565982,298060090547.33136,5.067814076565982,298.06009054733136,Optimal,1,True,2459,3210,profit
0.04,5066215343.582635,298064129071.27026,5.066215343582635,298.06412907127026,Optimal,1,True,2459,3210,profit
0.05,5065675365.351824,298065945156.08704,5.065675365351824,298.065945156087,Optimal,1,True,2459,3210,profit
0.06,5065415266.991792,298066942466.72766,5.065415266991792,298.06694246672765,Optimal,1,True,2459,3210,profit
0.07,5065385073.807404,298067087254.89996,5.065385073807404,298.06708725489995,Optimal,1,True,2459,3210,profit
0.08,5065329061.706094,298067376980.0359,5.065329061706094,298.0673769800359,Optimal,1,True,2459,3210,profit
0.09,5064321532.731523,298073702503.8377,5.0643215327315225,298.0737025038377,Optimal,1,True,2459,3210,profit
0.1,5063248568.92829,298081180869.8753,5.06324856892829,298.0811808698753,Optimal,1,True,2459,3210,profit
0.11,5056638002.606386,298132202738.92456,5.056638002606387,298.13220273892455,Optimal,1,True,2459,3210,profit
0.12,5054979687.380804,298146479343.3019,5.054979687380804,298.1464793433019,Optimal,1,True,2459,3210,profit
0.13,5054757448.295028,298148611196.707,5.054757448295028,298.14861119670695,Optimal,1,True,2459,3210,profit
0.14,5052721157.261622,298170622985.1171,5.052721157261622,298.1706229851171,Optimal,1,True,2459,3210,profit
0.15,5052356426.607022,298174877118.57764,5.052356426607022,298.1748771185776,Optimal,1,True,2459,3210,profit
0.16,5050086868.805762,298203158651.9186,5.050086868805762,298.20315865191856,Optimal,1,True,2459,3210,profit
0.17,5048867520.082115,298219511485.77966,5.048867520082116,298.21951148577966,Optimal,1,True,2459,3210,profit
0.18,5045023366.100302,298274527623.60583,5.045023366100302,298.2745276236058,Optimal,1,True,2459,3210,profit
0.19,5039815083.684677,298355055307.58923,5.039815083684677,298.3550553075892,Optimal,1,True,2459,3210,profit
0.2,5039573046.668764,298359151624.3427,5.039573046668764,298.3591516243427,Optimal,1,True,2459,3210,profit
0.21,5032220597.755198,298487947507.67114,5.032220597755198,298.48794750767115,Optimal,1,True,2459,3210,profit
0.22,5031735477.970642,298497009554.968,5.031735477970642,298.49700955496803,Optimal,1,True,2459,3210,profit
0.23,5027274520.678317,298583246579.2019,5.027274520678317,298.5832465792019,Optimal,1,True,2459,3210,profit
0.24,5020336485.039998,298728596058.5352,5.020336485039998,298.72859605853523,Optimal,1,True,2459,3210,profit
0.25,5018646657.51595,298765825142.4853,5.0186466575159505,298.7658251424853,Optimal,1,True,2459,3210,profit
0.26,5018452773.734531,298770423612.7763,5.0184527737345315,298.7704236127763,Optimal,1,True,2459,3210,profit
0.27,5018390312.289293,298771971658.40356,5.018390312289293,298.7719716584036,Optimal,1,True,2459,3210,profit
0.28,5013177614.850083,298907416080.0949,5.0131776148500835,298.9074160800949,Optimal,1,True,2459,3210,profit
0.29,5012061741.1705475,298937827580.6291,5.012061741170547,298.93782758062906,Optimal,1,True,2459,3210,profit
0.3,5006320929.9587,299101287585.1761,5.0063209299587,299.10128758517607,Optimal,1,True,2459,3210,profit
0.31,5005824322.018027,299116361803.94037,5.005824322018027,299.1163618039404,Optimal,1,True,2459,3210,profit
0.32,5005027726.300549,299141091417.892,5.005027726300549,299.141091417892,Optimal,1,True,2459,3210,profit
0.33,5004981525.418781,299142602485.9425,5.004981525418781,299.1426024859425,Optimal,1,True,2459,3210,profit
0.34,5004204348.685454,299169748247.7856,5.004204348685454,299.1697482477856,Optimal,1,True,2459,3210,profit
0.35,5004170649.077733,299170962983.2188,5.004170649077733,299.1709629832188,Optimal,1,True,2459,3210,profit
0.36,5001926138.260693,299255742976.3927,5.001926138260693,299.2557429763927,Optimal,1,True,2459,3210,profit
0.37,5001202147.187579,299284384958.71,5.001202147187579,299.28438495871,Optimal,1,True,2459,3210,profit
0.38,5000161213.798947,299327143078.8418,5.000161213798948,299.3271430788418,Optimal,1,True,2459,3210,profit
0.39,4996373364.531511,299486818319.3746,4.996373364531511,299.48681831937455,Optimal,1,True,2459,3210,profit
0.4,4994796505.784826,299557070946.81104,4.9947965057848265,299.55707094681105,Optimal,1,True,2459,3210,profit
0.41,4994012407.422823,299593216749.9799,4.994012407422823,299.59321674997994,Optimal,1,True,2459,3210,profit
0.42,4993204463.391929,299632077151.5992,4.993204463391929,299.63207715159916,Optimal,1,True,2459,3210,profit
0.43,4991827527.33749,299702064148.3844,4.99182752733749,299.7020641483844,Optimal,1,True,2459,3210,profit
0.44,4990557898.259246,299768142501.1252,4.990557898259246,299.76814250112517,Optimal,1,True,2459,3210,profit
0.45,4989167764.187268,299843605104.40826,4.989167764187268,299.84360510440825,Optimal,1,True,2459,3210,profit
