Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode
0.0,2924567491.1246963,99865318336.61646,2.924567491124696,99.86531833661645,Optimal,1,True,1788,2505,profit
0.01,2924202744.2911468,99865360097.89749,2.9242027442911467,99.8653600978975,Optimal,1,True,1788,2505,profit
0.02,2924202744.2911468,99865360097.89749,2.9242027442911467,99.8653600978975,Optimal,1,True,1788,2505,profit
0.03,2923344987.7867246,99866095875.98293,2.9233449877867246,99.86609587598292,Optimal,1,True,1788,2505,profit
0.04,2923314385.1287627,99866136499.86009,2.9233143851287626,99.86613649986009,Optimal,1,True,1788,2505,profit
0.05,2923307498.4610505,99866147961.89168,2.9233074984610505,99.86614796189168,Optimal,1,True,1788,2505,profit
0.06,2922938759.7246995,99866849955.86192,2.9229387597246994,99.86684995586192,Optimal,1,True,1788,2505,profit
0.07,2922922206.5296555,99866890082.39241,2.9229222065296554,99.86689008239242,Optimal,1,True,1788,2505,profit
0.08,2922620577.228174,99867814441.81941,2.9226205772281744,99.8678144418194,Optimal,1,True,1788,2505,profit
0.09,2922619374.050011,99867818278.50925,2.922619374050011,99.86781827850925,Optimal,1,True,1788,2505,profit
0.1,2922008038.3429604,99870061451.34737,2.9220080383429603,99.87006145134737,Optimal,1,True,1788,2505,profit
0.11,2921996693.3616114,99870108441.98476,2.9219966933616113,99.87010844198475,Optimal,1,True,1788,2505,profit
0.12,2921996693.3616114,99870108441.98476,2.9219966933616113,99.87010844198475,Optimal,1,True,1788,2505,profit
0.13,2921996693.3616114,99870108441.98476,2.9219966933616113,99.87010844198475,Optimal,1,True,1788,2505,profit
0.14,2921755955.7018948,99871482257.019,2.9217559557018946,99.871482257019,Optimal,1,True,1788,2505,profit
0.15,2921106793.4496207,99875300999.17052,2.9211067934496207,99.87530099917052,Optimal,1,True,1788,2505,profit
0.16,2921070284.254761,99875541361.43388,2.9210702842547613,99.87554136143389,Optimal,1,True,1788,2505,profit
0.17,2920753795.7077303,99877803584.41374,2.9207537957077303,99.87780358441374,Optimal,1,True,1788,2505,profit
0.18,2920704112.751008,99878178378.30289,2.920704112751008,99.87817837830289,Optimal,1,True,1788,2505,profit
0.19,2919833469.1368566,99885185505.68024,2.9198334691368566,99.88518550568024,Optimal,1,True,1788,2505,profit
