Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.0,5164130171.22084,312530549716.00134,5.16413017122084,312.53054971600136,Optimal,1,True,2459,3235,profit,normalized,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,normalized,8109057855.651541,413726408183.7477,8.10905785565154,413.7264081837477,True,Optimal|Optimal,profit,normalized,97.872412969086,88.4813328471432
0.01,5163361998.537795,312530629607.80817,5.163361998537795,312.5306296078082,Optimal,1,True,2459,3235,profit,normalized,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,normalized,8108076210.403435,413726527439.9344,8.108076210403436,413.7265274399344,True,Optimal|Optimal,profit,normalized,97.86056498491547,88.48135835179106
0.02,5162507864.129275,312531319445.6459,5.162507864129275,312.53131944564586,Optimal,1,True,2459,3235,profit,normalized,2944712876.2803817,101195898676.59111,2.9447128762803816,101.19589867659111,Optimal,1,True,1788,2529,profit,normalized,8107220740.409657,413727218122.237,8.107220740409657,413.727218122237,True,Optimal|Optimal,profit,normalized,97.85023987514265,88.48150606411858
0.03,5162281132.072348,312531639464.1879,5.162281132072348,312.53163946418795,Optimal,1,True,2459,3235,profit,normalized,2943913718.398182,101196577854.43944,2.943913718398182,101.19657785443944,Optimal,1,True,1788,2529,profit,normalized,8106194850.47053,413728217318.6274,8.10619485047053,413.7282173186274,True,Optimal|Optimal,profit,normalized,97.83785787891443,88.48171975661353
0.04,5155374653.908774,312549961964.3707,5.155374653908774,312.5499619643707,Optimal,1,True,2459,3235,profit,normalized,2943912080.919367,101196579869.93352,2.943912080919367,101.19657986993352,Optimal,1,True,1788,2529,profit,normalized,8099286734.828141,413746541834.30426,8.09928673482814,413.74654183430425,True,Optimal|Optimal,profit,normalized,97.75448025860076,88.48563871740213
0.05,5154703901.710812,312552075958.1918,5.154703901710811,312.5520759581918,Optimal,1,True,2459,3235,profit,normalized,2943675375.034375,101196956113.13503,2.9436753750343754,101.19695611313503,Optimal,1,True,1788,2529,profit,normalized,8098379276.745187,413749032071.3268,8.098379276745186,413.7490320713268,True,Optimal|Optimal,profit,normalized,97.74352767769334,88.48617129034524
0.06,5153037959.633372,312558765928.994,5.153037959633372,312.55876592899403,Optimal,1,True,2459,3235,profit,normalized,2941844777.5599117,101200589565.55685,2.9418447775599117,101.20058956555685,Optimal,1,True,1788,2529,profit,normalized,8094882737.193284,413759355494.5509,8.094882737193284,413.7593554945509,True,Optimal|Optimal,profit,normalized,97.70132613355858,88.48837910262976
0.07,5151376969.514838,312566081820.47986,5.151376969514838,312.56608182047984,Optimal,1,True,2459,3235,profit,normalized,2941844777.5599117,101200589565.55685,2.9418447775599117,101.20058956555685,Optimal,1,True,1788,2529,profit,normalized,8093221747.07475,413766671386.03674,8.09322174707475,413.76667138603676,True,Optimal|Optimal,profit,normalized,97.68127878481442,88.48994371106863
0.08,5150007860.156703,312573988750.3043,5.150007860156703,312.5739887503043,Optimal,1,True,2459,3235,profit,normalized,2941589647.0611877,101201339607.16312,2.9415896470611878,101.20133960716312,Optimal,1,True,1788,2529,profit,normalized,8091597507.217891,413775328357.4674,8.091597507217891,413.7753283574674,True,Optimal|Optimal,profit,normalized,97.66167499398433,88.49179512870951
0.09,5149839401.245372,312575072084.5603,5.149839401245372,312.5750720845603,Optimal,1,True,2459,3235,profit,normalized,2939791829.8513336,101207299793.305,2.9397918298513335,101.207299793305,Optimal,1,True,1788,2529,profit,normalized,8089631231.096705,413782371877.8653,8.089631231096705,413.7823718778653,True,Optimal|Optimal,profit,normalized,97.63794299059138,88.49330148668041
