Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,5164130171.22084,312530549716.00134,5.16413017122084,312.53054971600136,Optimal,1,True,2459,3235,profit,normalized
0.01,5163361998.537795,312530629607.80817,5.163361998537795,312.5306296078082,Optimal,1,True,2459,3235,profit,normalized
0.02,5162507864.129275,312531319445.6459,5.162507864129275,312.53131944564586,Optimal,1,True,2459,3235,profit,normalized
0.03,5162281132.072348,312531639464.1879,5.162281132072348,312.53163946418795,Optimal,1,True,2459,3235,profit,normalized
0.04,5155374653.908774,312549961964.3707,5.155374653908774,312.5499619643707,Optimal,1,True,2459,3235,profit,normalized
0.05,5154703901.710812,312552075958.1918,5.154703901710811,312.5520759581918,Optimal,1,True,2459,3235,profit,normalized
0.06,5153037959.633372,312558765928.994,5.153037959633372,312.55876592899403,Optimal,1,True,2459,3235,profit,normalized
0.07,5151376969.514838,312566081820.47986,5.151376969514838,312.56608182047984,Optimal,1,True,2459,3235,profit,normalized
0.08,5150007860.156703,312573988750.3043,5.150007860156703,312.5739887503043,Optimal,1,True,2459,3235,profit,normalized
0.09,5149839401.245372,312575072084.5603,5.149839401245372,312.5750720845603,Optimal,1,True,2459,3235,profit,normalized
0.1,5149342628.907018,312578672255.94806,5.149342628907018,312.57867225594805,Optimal,1,True,2459,3235,profit,normalized
0.11,5145927725.195584,312605266171.59204,5.145927725195584,312.60526617159206,Optimal,1,True,2459,3235,profit,normalized
0.12,5144961649.151832,312614096959.28674,5.144961649151831,312.61409695928677,Optimal,1,True,2459,3235,profit,normalized
0.13,5143637806.035813,312627294702.80804,5.143637806035813,312.62729470280806,Optimal,1,True,2459,3235,profit,normalized
0.14,5139880822.013154,312667353704.2929,5.139880822013154,312.6673537042929,Optimal,1,True,2459,3235,profit,normalized
0.15,5139785181.972749,312668450649.6559,5.139785181972749,312.6684506496559,Optimal,1,True,2459,3235,profit,normalized
0.16,5138532108.092967,312684113546.4036,5.138532108092967,312.68411354640364,Optimal,1,True,2459,3235,profit,normalized
0.17,5138418230.271115,312685659531.42145,5.138418230271116,312.68565953142144,Optimal,1,True,2459,3235,profit,normalized
0.18,5138111526.535681,312690025390.8071,5.138111526535681,312.69002539080714,Optimal,1,True,2459,3235,profit,normalized
0.19,5137981850.238337,312692073057.0611,5.1379818502383365,312.6920730570611,Optimal,1,True,2459,3235,profit,normalized
0.2,5137918725.393196,312693115287.94196,5.137918725393196,312.69311528794196,Optimal,1,True,2459,3235,profit,normalized
0.21,5135647812.405359,312733773560.32935,5.1356478124053595,312.7337735603293,Optimal,1,True,2459,3235,profit,normalized
0.22,5135265118.643075,312741039298.4376,5.135265118643075,312.7410392984376,Optimal,1,True,2459,3235,profit,normalized
0.23,5135265118.643075,312741039298.4376,5.135265118643075,312.7410392984376,Optimal,1,True,2459,3235,profit,normalized
0.24,5134397005.987243,312759352932.6999,5.134397005987243,312.75935293269987,Optimal,1,True,2459,3235,profit,normalized
0.25,5134111645.245252,312765569976.57074,5.134111645245252,312.76556997657076,Optimal,1,True,2459,3235,profit,normalized
0.26,5132790358.941707,312796857900.3629,5.1327903589417065,312.7968579003629,Optimal,1,True,2459,3235,profit,normalized
0.27,5132340063.197516,312808091706.3828,5.132340063197517,312.8080917063828,Optimal,1,True,2459,3235,profit,normalized
0.28,5132237552.0149765,312810768068.82416,5.132237552014977,312.81076806882413,Optimal,1,True,2459,3235,profit,normalized
0.29,5130151206.014883,312868040932.9935,5.130151206014883,312.86804093299355,Optimal,1,True,2459,3235,profit,normalized
0.3,5130080492.322774,312870076007.45044,5.130080492322774,312.87007600745045,Optimal,1,True,2459,3235,profit,normalized
0.31,5129973680.481925,312873298212.39667,5.129973680481925,312.87329821239666,Optimal,1,True,2459,3235,profit,normalized
0.32,5129764819.363105,312879964213.7926,5.129764819363105,312.8799642137926,Optimal,1,True,2459,3235,profit,normalized
0.33,5129614547.656723,312884878507.9121,5.129614547656723,312.8848785079121,Optimal,1,True,2459,3235,profit,normalized
0.34,5128714490.30324,312916053914.8437,5.12871449030324,312.9160539148437,Optimal,1,True,2459,3235,profit,normalized
0.35,5127107298.983881,312973240270.4947,5.127107298983881,312.97324027049467,Optimal,1,True,2459,3235,profit,normalized
0.36,5125845879.715679,313020788662.636,5.125845879715679,313.020788662636,Optimal,1,True,2459,3235,profit,normalized
0.37,5125699263.987741,313026596149.96844,5.125699263987742,313.02659614996844,Optimal,1,True,2459,3235,profit,normalized
0.38,5125673923.908095,313027623080.35754,5.125673923908096,313.02762308035756,Optimal,1,True,2459,3235,profit,normalized
0.39,5125501838.867655,313035072357.96246,5.125501838867655,313.03507235796246,Optimal,1,True,2459,3235,profit,normalized
0.4,5123267958.418935,313133794196.1577,5.123267958418935,313.13379419615774,Optimal,1,True,2459,3235,profit,normalized
0.41,5122370427.107025,313175364029.70776,5.122370427107025,313.17536402970774,Optimal,1,True,2459,3235,profit,normalized
