Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,normalized
0.01,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,normalized
0.02,2944712876.2803817,101195898676.59111,2.9447128762803816,101.19589867659111,Optimal,1,True,1788,2529,profit,normalized
0.03,2943913718.398182,101196577854.43944,2.943913718398182,101.19657785443944,Optimal,1,True,1788,2529,profit,normalized
0.04,2943912080.919367,101196579869.93352,2.943912080919367,101.19657986993352,Optimal,1,True,1788,2529,profit,normalized
0.05,2943675375.034375,101196956113.13503,2.9436753750343754,101.19695611313503,Optimal,1,True,1788,2529,profit,normalized
0.06,2941844777.5599117,101200589565.55685,2.9418447775599117,101.20058956555685,Optimal,1,True,1788,2529,profit,normalized
0.07,2941844777.5599117,101200589565.55685,2.9418447775599117,101.20058956555685,Optimal,1,True,1788,2529,profit,normalized
0.08,2941589647.0611877,101201339607.16312,2.9415896470611878,101.20133960716312,Optimal,1,True,1788,2529,profit,normalized
0.09,2939791829.8513336,101207299793.305,2.9397918298513335,101.207299793305,Optimal,1,True,1788,2529,profit,normalized
0.1,2939550223.006977,101208186443.26497,2.939550223006977,101.20818644326496,Optimal,1,True,1788,2529,profit,normalized
0.11,2939341997.136198,101209027444.566,2.9393419971361983,101.20902744456599,Optimal,1,True,1788,2529,profit,normalized
0.12,2939330824.2047462,101209079092.14613,2.9393308242047462,101.20907909214614,Optimal,1,True,1788,2529,profit,normalized
0.13,2939320097.279229,101209134395.36009,2.939320097279229,101.2091343953601,Optimal,1,True,1788,2529,profit,normalized
0.14,2939320097.279229,101209134395.36009,2.939320097279229,101.2091343953601,Optimal,1,True,1788,2529,profit,normalized
0.15,2939316811.3046265,101209154545.74652,2.9393168113046264,101.20915454574651,Optimal,1,True,1788,2529,profit,normalized
0.16,2939286127.124284,101209357592.70389,2.9392861271242836,101.20935759270388,Optimal,1,True,1788,2529,profit,normalized
0.17,2939286126.6988335,101209357595.75494,2.9392861266988333,101.20935759575494,Optimal,1,True,1788,2529,profit,normalized
0.18,2937432453.690113,101223363581.61624,2.937432453690113,101.22336358161624,Optimal,1,True,1788,2529,profit,normalized
0.19,2937348962.668148,101224039116.95499,2.937348962668148,101.22403911695498,Optimal,1,True,1788,2529,profit,normalized
0.2,2937343549.074403,101224086328.57904,2.9373435490744026,101.22408632857903,Optimal,1,True,1788,2529,profit,normalized
0.21,2936840971.09604,101228744313.05489,2.9368409710960397,101.22874431305489,Optimal,1,True,1788,2529,profit,normalized
0.22,2936840971.09604,101228744313.05489,2.9368409710960397,101.22874431305489,Optimal,1,True,1788,2529,profit,normalized
0.23,2933452795.2435656,101263405866.54543,2.9334527952435656,101.26340586654543,Optimal,1,True,1788,2529,profit,normalized
0.24,2932187815.390701,101277157035.05652,2.9321878153907006,101.27715703505652,Optimal,1,True,1788,2529,profit,normalized
0.25,2932178783.8980803,101277263555.55261,2.93217878389808,101.27726355555261,Optimal,1,True,1788,2529,profit,normalized
0.26,2932045689.657271,101278900290.94955,2.932045689657271,101.27890029094955,Optimal,1,True,1788,2529,profit,normalized
0.27,2932022659.7767615,101279197177.66623,2.9320226597767616,101.27919717766623,Optimal,1,True,1788,2529,profit,normalized
0.28,2931202590.6748004,101290169836.05269,2.9312025906748005,101.29016983605268,Optimal,1,True,1788,2529,profit,normalized
0.29,2931168375.102963,101290661030.28975,2.931168375102963,101.29066103028975,Optimal,1,True,1788,2529,profit,normalized
0.3,2931092705.980532,101291795242.39558,2.9310927059805323,101.29179524239558,Optimal,1,True,1788,2529,profit,normalized
0.31,2930607756.3839593,101299406838.5106,2.930607756383959,101.2994068385106,Optimal,1,True,1788,2529,profit,normalized
0.32,2930526822.4151845,101300738894.3363,2.9305268224151844,101.3007388943363,Optimal,1,True,1788,2529,profit,normalized
0.33,2930489739.803826,101301366642.10735,2.930489739803826,101.30136664210734,Optimal,1,True,1788,2529,profit,normalized
0.34,2930489739.803826,101301366642.10735,2.930489739803826,101.30136664210734,Optimal,1,True,1788,2529,profit,normalized
0.35,2930278405.6492944,101305313269.46803,2.9302784056492945,101.30531326946803,Optimal,1,True,1788,2529,profit,normalized
0.36,2930275957.0453076,101305361043.0601,2.930275957045308,101.3053610430601,Optimal,1,True,1788,2529,profit,normalized
0.37,2929807190.194983,101314895249.89983,2.929807190194983,101.31489524989982,Optimal,1,True,1788,2529,profit,normalized
0.38,2929794869.7910876,101315158633.90965,2.929794869791088,101.31515863390965,Optimal,1,True,1788,2529,profit,normalized
0.39,2929679138.1469836,101317729794.19154,2.9296791381469838,101.31772979419155,Optimal,1,True,1788,2529,profit,normalized
0.4,2929601306.0029454,101319533392.93819,2.9296013060029455,101.31953339293818,Optimal,1,True,1788,2529,profit,normalized
0.41,2928695219.0390234,101341649478.37209,2.928695219039023,101.34164947837209,Optimal,1,True,1788,2529,profit,normalized
0.42,2928480197.6011624,101347146530.41782,2.9284801976011625,101.34714653041782,Optimal,1,True,1788,2529,profit,normalized
0.43,2928459489.524302,101347690715.06052,2.928459489524302,101.34769071506052,Optimal,1,True,1788,2529,profit,normalized
0.44,2928149728.936579,101356263766.30849,2.9281497289365794,101.35626376630849,Optimal,1,True,1788,2529,profit,normalized
0.45,2928111918.646466,101357338597.1508,2.928111918646466,101.3573385971508,Optimal,1,True,1788,2529,profit,normalized
