Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode
0.0,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8109057855.651543,413726408183.7477,8.109057855651542,413.7264081837477,True,Optimal|Optimal,profit,raw
0.01,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8109057855.651543,413726408183.7477,8.109057855651542,413.7264081837477,True,Optimal|Optimal,profit,raw
0.02,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8109057855.651543,413726408183.7477,8.109057855651542,413.7264081837477,True,Optimal|Optimal,profit,raw
0.03,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8109057855.651543,413726408183.7477,8.109057855651542,413.7264081837477,True,Optimal|Optimal,profit,raw
0.04,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8109057855.651543,413726408183.7477,8.109057855651542,413.7264081837477,True,Optimal|Optimal,profit,raw
0.05,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8109057855.651543,413726408183.7477,8.109057855651542,413.7264081837477,True,Optimal|Optimal,profit,raw
0.06,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8109057855.651543,413726408183.7477,8.109057855651542,413.7264081837477,True,Optimal|Optimal,profit,raw
0.07,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8108495743.612442,413726447355.7645,8.108495743612442,413.72644735576455,True,Optimal|Optimal,profit,raw
0.08,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8108495743.612442,413726447355.7645,8.108495743612442,413.72644735576455,True,Optimal|Optimal,profit,raw
0.09,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw,8108495743.612442,413726447355.7645,8.108495743612442,413.72644735576455,True,Optimal|Optimal,profit,raw
0.1,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw,8108374288.332741,413726460076.34033,8.10837428833274,413.72646007634035,True,Optimal|Optimal,profit,raw
