Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw
0.01,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw
0.02,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw
0.03,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw
0.04,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw
0.05,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw
0.06,5164130171.220841,312530549716.0014,5.164130171220841,312.5305497160014,Optimal,1,True,2459,3235,profit,raw
0.07,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.08,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.09,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.1,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.11,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.12,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.13,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.14,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.15,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.16,5163568059.181741,312530588888.01825,5.163568059181741,312.53058888801826,Optimal,1,True,2459,3235,profit,raw
0.17,5163366254.601926,312530628547.56287,5.163366254601926,312.53062854756286,Optimal,1,True,2459,3235,profit,raw
0.18,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.19,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.2,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.21,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.22,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.23,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.24,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.25,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.26,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.27,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.28,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.29,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.3,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.31,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.32,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.33,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.34,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw
0.35,5163361998.537797,312530629607.80817,5.1633619985377965,312.5306296078082,Optimal,1,True,2459,3235,profit,raw
0.36,5163361998.537797,312530629607.80817,5.1633619985377965,312.5306296078082,Optimal,1,True,2459,3235,profit,raw
0.37,5163361998.537797,312530629607.80817,5.1633619985377965,312.5306296078082,Optimal,1,True,2459,3235,profit,raw
