Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.01,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.02,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.03,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.04,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.05,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.06,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.07,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.08,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.09,2944927684.430701,101195858467.7463,2.944927684430701,101.1958584677463,Optimal,1,True,1788,2529,profit,raw
0.1,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.11,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.12,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.13,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.14,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.15,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.16,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.17,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.18,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.19,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.2,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.21,2944806229.1509995,101195871188.32205,2.9448062291509998,101.19587118832206,Optimal,1,True,1788,2529,profit,raw
0.22,2944759046.247558,101195884448.17511,2.944759046247558,101.19588444817511,Optimal,1,True,1788,2529,profit,raw
0.23,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw
0.24,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw
0.25,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw
0.26,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw
0.27,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw
0.28,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw
