Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.0,4489402736.699576,184021453532.249,4.489402736699576,184.02145353224898,Optimal,1,True,2459,776,profit,normalized,3029651825.8704653,83015362874.78177,3.029651825870465,83.01536287478177,Optimal,1,True,1788,741,profit,normalized,7519054562.570042,267036816407.03076,7.519054562570042,267.03681640703076,True,Optimal|Optimal,profit,normalized,90.75135809668198,57.109657415095974
0.01,4477602819.611892,184027534872.9921,4.477602819611891,184.0275348729921,Optimal,1,True,2459,776,profit,normalized,3028799460.428965,83015452146.97485,3.028799460428965,83.01545214697485,Optimal,1,True,1788,741,profit,normalized,7506402280.040857,267042987019.96695,7.506402280040858,267.042987019967,True,Optimal|Optimal,profit,normalized,90.59865115553778,57.110977089272616
0.02,4472773799.184459,184031078937.24838,4.472773799184459,184.0310789372484,Optimal,1,True,2459,776,profit,normalized,3028799460.428965,83015452146.97485,3.028799460428965,83.01545214697485,Optimal,1,True,1788,741,profit,normalized,7501573259.613424,267046531084.22324,7.501573259613425,267.04653108422326,True,Optimal|Optimal,profit,normalized,90.5403672106057,57.111735038300985
0.03,4442469389.040303,184079643580.2344,4.442469389040303,184.0796435802344,Optimal,1,True,2459,776,profit,normalized,3017651484.0253243,83023921577.28342,3.017651484025324,83.02392157728342,Optimal,1,True,1788,741,profit,normalized,7460120873.065628,267103565157.51782,7.460120873065628,267.10356515751783,True,Optimal|Optimal,profit,normalized,90.04005691969655,57.12393259379414
0.04,4442444483.442129,184079708602.24008,4.442444483442129,184.0797086022401,Optimal,1,True,2459,776,profit,normalized,3017651484.0253243,83023921577.28342,3.017651484025324,83.02392157728342,Optimal,1,True,1788,741,profit,normalized,7460095967.467453,267103630179.5235,7.460095967467453,267.1036301795235,True,Optimal|Optimal,profit,normalized,90.03975632115193,57.12394649968367
0.05,4438231013.951137,184093800166.1641,4.438231013951136,184.0938001661641,Optimal,1,True,2459,776,profit,normalized,3015124703.0118084,83028092736.56775,3.0151247030118085,83.02809273656774,Optimal,1,True,1788,741,profit,normalized,7453355716.962945,267121892902.73184,7.453355716962945,267.1218929027318,True,Optimal|Optimal,profit,normalized,89.95840475200107,57.1278522452656
0.06,4430514986.797066,184125011594.35202,4.430514986797066,184.12501159435203,Optimal,1,True,2459,776,profit,normalized,3004600663.7030134,83049726603.33875,3.0046006637030134,83.04972660333874,Optimal,1,True,1788,741,profit,normalized,7435115650.500079,267174738197.69077,7.435115650500079,267.1747381976908,True,Optimal|Optimal,profit,normalized,89.73825595676304,57.139153970367445
0.07,4422345979.57189,184162858880.18753,4.42234597957189,184.16285888018754,Optimal,1,True,2459,776,profit,normalized,3001802682.9394937,83056450841.25308,3.0018026829394935,83.05645084125308,Optimal,1,True,1788,741,profit,normalized,7424148662.511383,267219309721.4406,7.424148662511383,267.2193097214406,True,Optimal|Optimal,profit,normalized,89.60588970700091,57.14868623069796
0.08,4416286556.0034895,184197218361.50058,4.41628655600349,184.19721836150057,Optimal,1,True,2459,776,profit,normalized,2997409957.186204,83069338430.98871,2.997409957186204,83.06933843098871,Optimal,1,True,1788,741,profit,normalized,7413696513.189693,267266556792.4893,7.413696513189693,267.26655679248927,True,Optimal|Optimal,profit,normalized,89.47973731136669,57.15879069523495
0.09,4407693295.606592,184252402661.4783,4.407693295606593,184.2524026614783,Optimal,1,True,2459,776,profit,normalized,2975538385.755167,83141120449.17126,2.975538385755167,83.14112044917127,Optimal,1,True,1788,741,profit,normalized,7383231681.361759,267393523110.64957,7.383231681361759,267.39352311064954,True,Optimal|Optimal,profit,normalized,89.11204150073446,57.1859442654091
