Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,4489402736.699576,184021453532.249,4.489402736699576,184.02145353224898,Optimal,1,True,2459,776,profit,normalized
0.01,4477602819.611892,184027534872.9921,4.477602819611891,184.0275348729921,Optimal,1,True,2459,776,profit,normalized
0.02,4472773799.184459,184031078937.24838,4.472773799184459,184.0310789372484,Optimal,1,True,2459,776,profit,normalized
0.03,4442469389.040303,184079643580.2344,4.442469389040303,184.0796435802344,Optimal,1,True,2459,776,profit,normalized
0.04,4442444483.442129,184079708602.24008,4.442444483442129,184.0797086022401,Optimal,1,True,2459,776,profit,normalized
0.05,4438231013.951137,184093800166.1641,4.438231013951136,184.0938001661641,Optimal,1,True,2459,776,profit,normalized
0.06,4430514986.797066,184125011594.35202,4.430514986797066,184.12501159435203,Optimal,1,True,2459,776,profit,normalized
0.07,4422345979.57189,184162858880.18753,4.42234597957189,184.16285888018754,Optimal,1,True,2459,776,profit,normalized
0.08,4416286556.0034895,184197218361.50058,4.41628655600349,184.19721836150057,Optimal,1,True,2459,776,profit,normalized
0.09,4407693295.606592,184252402661.4783,4.407693295606593,184.2524026614783,Optimal,1,True,2459,776,profit,normalized
0.1,4376324371.160191,184480358248.56094,4.376324371160191,184.48035824856095,Optimal,1,True,2459,776,profit,normalized
0.11,4365329928.523486,184565675610.24283,4.365329928523487,184.56567561024283,Optimal,1,True,2459,776,profit,normalized
0.12,4351518061.499246,184683614933.12082,4.351518061499245,184.68361493312082,Optimal,1,True,2459,776,profit,normalized
0.13,4347524394.812722,184721689524.4056,4.347524394812722,184.7216895244056,Optimal,1,True,2459,776,profit,normalized
0.14,4339408489.29694,184806899581.4974,4.33940848929694,184.80689958149742,Optimal,1,True,2459,776,profit,normalized
0.15,4333065478.721525,184881021216.78677,4.333065478721525,184.88102121678676,Optimal,1,True,2459,776,profit,normalized
0.16,4326897485.890933,184957431926.5242,4.326897485890933,184.9574319265242,Optimal,1,True,2459,776,profit,normalized
0.17,4321989948.961362,185022024554.95956,4.321989948961362,185.02202455495956,Optimal,1,True,2459,776,profit,normalized
0.18,4320166499.620588,185048634930.6863,4.320166499620588,185.04863493068632,Optimal,1,True,2459,776,profit,normalized
0.19,4313894391.197826,185147310329.34262,4.3138943911978265,185.14731032934262,Optimal,1,True,2459,776,profit,normalized
0.2,4311237984.09047,185191072385.4216,4.311237984090471,185.1910723854216,Optimal,1,True,2459,776,profit,normalized
0.21,4309004992.348107,185229425328.42056,4.3090049923481075,185.22942532842058,Optimal,1,True,2459,776,profit,normalized
0.22,4293295306.319763,185522923481.02164,4.293295306319763,185.52292348102165,Optimal,1,True,2459,776,profit,normalized
0.23,4284602673.2484446,185698100783.10526,4.284602673248444,185.69810078310525,Optimal,1,True,2459,776,profit,normalized
0.24,4276981646.1936445,185857611494.2711,4.2769816461936445,185.85761149427108,Optimal,1,True,2459,776,profit,normalized
0.25,4274616432.3547497,185909473603.0527,4.274616432354749,185.9094736030527,Optimal,1,True,2459,776,profit,normalized
0.26,4269284978.5431843,186033510969.4086,4.269284978543184,186.0335109694086,Optimal,1,True,2459,776,profit,normalized
0.27,4266208748.6608906,186107355722.1019,4.26620874866089,186.1073557221019,Optimal,1,True,2459,776,profit,normalized
0.28,4262193553.2649183,186211086003.60062,4.262193553264918,186.21108600360063,Optimal,1,True,2459,776,profit,normalized
0.29,4258743980.0606394,186305450919.35614,4.25874398006064,186.30545091935613,Optimal,1,True,2459,776,profit,normalized
0.3,4254826686.7183332,186416533551.1676,4.254826686718333,186.4165335511676,Optimal,1,True,2459,776,profit,normalized
0.31,4218604027.2907987,187518404696.60654,4.218604027290799,187.51840469660652,Optimal,1,True,2459,776,profit,normalized
0.32,4214236479.0900598,187654763066.77,4.21423647909006,187.65476306677,Optimal,1,True,2459,776,profit,normalized
0.33,4204378382.351147,187972621854.4017,4.204378382351147,187.9726218544017,Optimal,1,True,2459,776,profit,normalized
0.34,4189203352.048963,188498645527.3497,4.189203352048963,188.4986455273497,Optimal,1,True,2459,776,profit,normalized
0.35,4186328869.1828837,188602488798.19138,4.1863288691828835,188.6024887981914,Optimal,1,True,2459,776,profit,normalized
0.36,4171010059.6633105,189181190249.93875,4.171010059663311,189.18119024993874,Optimal,1,True,2459,776,profit,normalized
0.37,4162664953.471682,189508949714.61014,4.162664953471682,189.50894971461014,Optimal,1,True,2459,776,profit,normalized
0.38,4158948261.317428,189661304729.62775,4.158948261317428,189.66130472962774,Optimal,1,True,2459,776,profit,normalized
0.39,4141328833.830093,190414053201.13452,4.141328833830093,190.41405320113452,Optimal,1,True,2459,776,profit,normalized
0.4,4134243403.737248,190732829277.83975,4.134243403737248,190.73282927783976,Optimal,1,True,2459,776,profit,normalized
0.41,4112299663.500775,191739027746.62045,4.1122996635007745,191.73902774662045,Optimal,1,True,2459,776,profit,normalized
