Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,3029651825.8704653,83015362874.78177,3.029651825870465,83.01536287478177,Optimal,1,True,1788,741,profit,normalized
0.01,3028799460.428965,83015452146.97485,3.028799460428965,83.01545214697485,Optimal,1,True,1788,741,profit,normalized
0.02,3028799460.428965,83015452146.97485,3.028799460428965,83.01545214697485,Optimal,1,True,1788,741,profit,normalized
0.03,3017651484.0253243,83023921577.28342,3.017651484025324,83.02392157728342,Optimal,1,True,1788,741,profit,normalized
0.04,3017651484.0253243,83023921577.28342,3.017651484025324,83.02392157728342,Optimal,1,True,1788,741,profit,normalized
0.05,3015124703.0118084,83028092736.56775,3.0151247030118085,83.02809273656774,Optimal,1,True,1788,741,profit,normalized
0.06,3004600663.7030134,83049726603.33875,3.0046006637030134,83.04972660333874,Optimal,1,True,1788,741,profit,normalized
0.07,3001802682.9394937,83056450841.25308,3.0018026829394935,83.05645084125308,Optimal,1,True,1788,741,profit,normalized
0.08,2997409957.186204,83069338430.98871,2.997409957186204,83.06933843098871,Optimal,1,True,1788,741,profit,normalized
0.09,2975538385.755167,83141120449.17126,2.975538385755167,83.14112044917127,Optimal,1,True,1788,741,profit,normalized
0.1,2962849227.7496634,83191083459.87086,2.9628492277496634,83.19108345987087,Optimal,1,True,1788,741,profit,normalized
0.11,2961638038.882536,83196057609.4889,2.961638038882536,83.1960576094889,Optimal,1,True,1788,741,profit,normalized
0.12,2961638038.882536,83196057609.4889,2.961638038882536,83.1960576094889,Optimal,1,True,1788,741,profit,normalized
0.13,2958347373.1035843,83212376532.76144,2.9583473731035843,83.21237653276144,Optimal,1,True,1788,741,profit,normalized
0.14,2952319685.54448,83246601409.89589,2.95231968554448,83.24660140989589,Optimal,1,True,1788,741,profit,normalized
0.15,2950684119.277645,83256782282.80081,2.950684119277645,83.25678228280081,Optimal,1,True,1788,741,profit,normalized
0.16,2950684119.277645,83256782282.80081,2.950684119277645,83.25678228280081,Optimal,1,True,1788,741,profit,normalized
0.17,2950669501.2599664,83256884403.59636,2.9506695012599664,83.25688440359636,Optimal,1,True,1788,741,profit,normalized
0.18,2943986543.8829913,83307944374.89197,2.9439865438829913,83.30794437489197,Optimal,1,True,1788,741,profit,normalized
0.19,2939220150.195016,83346961297.36111,2.9392201501950157,83.34696129736112,Optimal,1,True,1788,741,profit,normalized
0.2,2914832356.6480923,83556915440.02882,2.9148323566480925,83.55691544002882,Optimal,1,True,1788,741,profit,normalized
0.21,2907648814.5164495,83622920198.62454,2.9076488145164494,83.62292019862454,Optimal,1,True,1788,741,profit,normalized
0.22,2907647921.7278614,83622928749.45793,2.9076479217278615,83.62292874945793,Optimal,1,True,1788,741,profit,normalized
0.23,2882925306.963854,83879903005.89352,2.8829253069638536,83.87990300589352,Optimal,1,True,1788,741,profit,normalized
0.24,2828557845.001912,84485183719.40909,2.828557845001912,84.4851837194091,Optimal,1,True,1788,741,profit,normalized
0.25,2826093289.7063575,84513985395.61528,2.8260932897063573,84.51398539561528,Optimal,1,True,1788,741,profit,normalized
0.26,2825713122.29579,84518758865.26892,2.8257131222957903,84.51875886526892,Optimal,1,True,1788,741,profit,normalized
0.27,2824631870.358966,84533024766.47357,2.824631870358966,84.53302476647357,Optimal,1,True,1788,741,profit,normalized
0.28,2824625048.835945,84533117925.50949,2.8246250488359452,84.53311792550949,Optimal,1,True,1788,741,profit,normalized
0.29,2824625048.835945,84533117925.50949,2.8246250488359452,84.53311792550949,Optimal,1,True,1788,741,profit,normalized
0.3,2824625048.835945,84533117925.50949,2.8246250488359452,84.53311792550949,Optimal,1,True,1788,741,profit,normalized
0.31,2809672461.0026608,84766689571.85703,2.809672461002661,84.76668957185703,Optimal,1,True,1788,741,profit,normalized
0.32,2807985433.682697,84794812256.24107,2.807985433682697,84.79481225624107,Optimal,1,True,1788,741,profit,normalized
0.33,2807780729.148108,84798342928.1859,2.807780729148108,84.7983429281859,Optimal,1,True,1788,741,profit,normalized
0.34,2807204476.869007,84808673782.24678,2.807204476869007,84.80867378224679,Optimal,1,True,1788,741,profit,normalized
0.35,2804436844.0598836,84860358827.6341,2.8044368440598837,84.86035882763409,Optimal,1,True,1788,741,profit,normalized
