state,crop,Year,district,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
ANDAMAN AND NICOBAR,maize,2017, NORTH AND MIDDLE ANDAMAN SOUTH ANDAMANS,RabiRabi,43.620000000000005,37.58,2.112596091041551
ANDAMAN AND NICOBAR,rice,2017, NICOBARS NORTH AND MIDDLE ANDAMAN SOUTH ANDAMANS,KharifKharifKharif,5340.55,11230.140000000001,4.720546319242681
Andhra Pradesh,maize,2017, ANANTAPUR CHITTOOR EAST GODAVARI GUNTUR KADAPA KRISHNA KURNOOL PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM WEST GODAVARI ANANTAPUR CHITTOOR EAST GODAVARI GUNTUR KADAPA KRISHNA KURNOOL PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM WEST GODAVARI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,336540.0,2325904.0,155.9588821230608
Andhra Pradesh,bajra,2017, ANANTAPUR CHITTOOR EAST GODAVARI GUNTUR KADAPA KURNOOL PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM ANANTAPUR GUNTUR KADAPA KURNOOL PRAKASAM SPSR NELLORE,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabi,48357.0,93168.0,31.408138733794893
Andhra Pradesh,jowar,2017, ANANTAPUR CHITTOOR EAST GODAVARI GUNTUR KADAPA KRISHNA KURNOOL PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM WEST GODAVARI ANANTAPUR CHITTOOR EAST GODAVARI GUNTUR KADAPA KRISHNA KURNOOL PRAKASAM SPSR NELLORE VIZIANAGARAM WEST GODAVARI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,139669.0,332694.0,43.025953168873386
Andhra Pradesh,ragi,2017, ANANTAPUR CHITTOOR EAST GODAVARI KADAPA PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM ANANTAPUR CHITTOOR GUNTUR KADAPA PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM,KharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabi,34450.0,43989.0,28.583741312042502
Andhra Pradesh,rice,2017, ANANTAPUR CHITTOOR EAST GODAVARI GUNTUR KADAPA KRISHNA KURNOOL PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM WEST GODAVARI ANANTAPUR CHITTOOR EAST GODAVARI GUNTUR KADAPA KRISHNA KURNOOL PRAKASAM SPSR NELLORE SRIKAKULAM VISAKHAPATANAM VIZIANAGARAM WEST GODAVARI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,2218186.0,8461342.0,92.80101884105733
Andhra Pradesh,wheat,2017, VIZIANAGARAM WEST GODAVARI ANANTAPUR KADAPA KURNOOL,KharifKharifRabiRabiRabi,49.0,35.0,3.851785714285714
Arunachal Pradesh,maize,2017, ANJAW CHANGLANG DIBANG VALLEY EAST KAMENG EAST SIANG KRA DAADI KURUNG KUMEY LOHIT LONGDING LOWER DIBANG VALLEY LOWER SUBANSIRI NAMSAI PAPUM PARE SIANG TAWANG TIRAP UPPER SIANG UPPER SUBANSIRI WEST KAMENG WEST SIANG,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,50797.0,77216.0,32.55566993363566
Arunachal Pradesh,rice,2017, ANJAW CHANGLANG DIBANG VALLEY EAST KAMENG EAST SIANG KRA DAADI KURUNG KUMEY LOHIT LONGDING LOWER DIBANG VALLEY LOWER SUBANSIRI NAMSAI PAPUM PARE SIANG TAWANG TIRAP UPPER SIANG UPPER SUBANSIRI WEST KAMENG WEST SIANG,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,132000.0,233333.26,33.83223868819769
Arunachal Pradesh,wheat,2017, CHANGLANG EAST KAMENG EAST SIANG LOHIT LOWER DIBANG VALLEY NAMSAI PAPUM PARE TAWANG TIRAP WEST KAMENG,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,3930.0,7742.0,21.02224826572897
Assam,maize,2017, BAKSA BARPETA BONGAIGAON CACHAR CHIRANG DARRANG DHEMAJI DHUBRI DIBRUGARH DIMA HASAO GOALPARA GOLAGHAT HAILAKANDI JORHAT KAMRUP KAMRUP METRO KARBI ANGLONG KARIMGANJ KOKRAJHAR LAKHIMPUR MARIGAON NAGAON NALBARI SIVASAGAR SONITPUR TINSUKIA UDALGURI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,31537.0,98783.0,80.69922092957239
Assam,rice,2017, BAKSA BARPETA BONGAIGAON CACHAR CHIRANG DARRANG DHEMAJI DHUBRI DIBRUGARH DIMA HASAO GOALPARA GOLAGHAT HAILAKANDI JORHAT KAMRUP KAMRUP METRO KARBI ANGLONG KARIMGANJ KOKRAJHAR LAKHIMPUR MARIGAON NAGAON NALBARI SIVASAGAR SONITPUR TINSUKIA UDALGURI BAKSA BAKSA BARPETA BARPETA BONGAIGAON BONGAIGAON CACHAR CACHAR CHIRANG CHIRANG DARRANG DARRANG DHEMAJI DHEMAJI DHUBRI DHUBRI DIBRUGARH DIBRUGARH DIMA HASAO GOALPARA GOALPARA GOLAGHAT GOLAGHAT HAILAKANDI HAILAKANDI JORHAT JORHAT KAMRUP KAMRUP KAMRUP METRO KAMRUP METRO KARBI ANGLONG KARBI ANGLONG KARIMGANJ KARIMGANJ KOKRAJHAR KOKRAJHAR LAKHIMPUR LAKHIMPUR MARIGAON MARIGAON NAGAON NAGAON NALBARI NALBARI SIVASAGAR SIVASAGAR SONITPUR SONITPUR TINSUKIA TINSUKIA UDALGURI UDALGURI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,2433711.0,5283713.0,164.36130232207773
Assam,wheat,2017, BAKSA BARPETA BONGAIGAON CACHAR CHIRANG DARRANG DHEMAJI DHUBRI DIBRUGARH GOALPARA GOLAGHAT JORHAT KAMRUP KAMRUP METRO KARBI ANGLONG KARIMGANJ KOKRAJHAR LAKHIMPUR MARIGAON NAGAON NALBARI SIVASAGAR SONITPUR TINSUKIA UDALGURI,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,17786.0,24658.0,33.457217706039586
Bihar,maize,2017, ARARIA ARWAL AURANGABAD BANKA BEGUSARAI BHAGALPUR BHOJPUR BUXAR DARBHANGA GAYA GOPALGANJ JAMUI JEHANABAD KAIMUR (BHABUA) KATIHAR KHAGARIA KISHANGANJ LAKHISARAI MADHEPURA MADHUBANI MUNGER MUZAFFARPUR NALANDA NAWADA PASHCHIM CHAMPARAN PATNA PURBI CHAMPARAN PURNIA ROHTAS SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI ARARIA ARWAL BANKA BEGUSARAI BHAGALPUR BHOJPUR BUXAR DARBHANGA GAYA GOPALGANJ JAMUI JEHANABAD KATIHAR KHAGARIA KISHANGANJ MADHEPURA MADHUBANI MUNGER MUZAFFARPUR NALANDA NAWADA PASHCHIM CHAMPARAN PATNA PURBI CHAMPARAN PURNIA SAHARSA SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,677446.0,3120772.0,261.5975712353823
Bihar,bajra,2017, BHAGALPUR BHOJPUR BUXAR PATNA SIWAN,KharifKharifKharifKharifKharif,4379.0,4966.0,5.646998580289477
Bihar,jowar,2017, BEGUSARAI BHAGALPUR BHOJPUR BUXAR PATNA,KharifKharifKharifKharifKharif,1358.0,1448.0,5.433255211477051
Bihar,ragi,2017, ARWAL AURANGABAD BEGUSARAI BHOJPUR DARBHANGA GAYA GOPALGANJ JEHANABAD KHAGARIA KISHANGANJ MADHEPURA MADHUBANI MUZAFFARPUR NALANDA NAWADA PASHCHIM CHAMPARAN SAHARSA SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,4211.0,4184.0,26.86997960851383
