Target,Source,year,quantity
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,2019,0.0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,2020,0.0
ANDAMAN & NICOBAR ISLANDS,ANDHRA PRADESH,2019,0.0
ANDAMAN & NICOBAR ISLANDS,ANDHRA PRADESH,2020,0.0
ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,2019,0.0
ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,2020,0.0
ANDAMAN & NICOBAR ISLANDS,ASSAM,2019,0.0
ANDAMAN & NICOBAR ISLANDS,ASSAM,2020,0.0
ANDAMAN & NICOBAR ISLANDS,BIHAR,2019,0.0
ANDAMAN & NICOBAR ISLANDS,BIHAR,2020,0.0
ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,2019,0.0
ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,2020,0.0
ANDAMAN & NICOBAR ISLANDS,CHATTISGARH,2019,0.0
ANDAMAN & NICOBAR ISLANDS,CHATTISGARH,2020,0.0
ANDAMAN & NICOBAR ISLANDS,DADRA & NAGAR HAVELI,2019,0.0
ANDAMAN & NICOBAR ISLANDS,DADRA & NAGAR HAVELI,2020,0.0
ANDAMAN & NICOBAR ISLANDS,DAMAN & DIU,2019,0.0
ANDAMAN & NICOBAR ISLANDS,DAMAN & DIU,2020,0.0
ANDAMAN & NICOBAR ISLANDS,DELHI,2019,0.0
ANDAMAN & NICOBAR ISLANDS,DELHI,2020,0.0
ANDAMAN & NICOBAR ISLANDS,GOA,2019,0.0
ANDAMAN & NICOBAR ISLANDS,GOA,2020,0.0
ANDAMAN & NICOBAR ISLANDS,GUJARAT,2019,0.0
ANDAMAN & NICOBAR ISLANDS,GUJARAT,2020,0.0
ANDAMAN & NICOBAR ISLANDS,HARYANA,2019,0.0
ANDAMAN & NICOBAR ISLANDS,HARYANA,2020,0.0
ANDAMAN & NICOBAR ISLANDS,HIMACHAL PRADESH,2019,0.0
ANDAMAN & NICOBAR ISLANDS,HIMACHAL PRADESH,2020,0.0
ANDAMAN & NICOBAR ISLANDS,JAMMU & KASHMIR,2019,0.0
ANDAMAN & NICOBAR ISLANDS,JAMMU & KASHMIR,2020,0.0
ANDAMAN & NICOBAR ISLANDS,JHARKHAND,2019,0.0
ANDAMAN & NICOBAR ISLANDS,JHARKHAND,2020,0.0
ANDAMAN & NICOBAR ISLANDS,KARNATAKA,2019,0.0
ANDAMAN & NICOBAR ISLANDS,KARNATAKA,2020,0.0
ANDAMAN & NICOBAR ISLANDS,KERALA,2019,0.0
ANDAMAN & NICOBAR ISLANDS,KERALA,2020,0.0
ANDAMAN & NICOBAR ISLANDS,LAKSHADEEP,2019,0.0
ANDAMAN & NICOBAR ISLANDS,LAKSHADEEP,2020,0.0
ANDAMAN & NICOBAR ISLANDS,MADHYA PRADESH,2019,0.0
ANDAMAN & NICOBAR ISLANDS,MADHYA PRADESH,2020,0.0
ANDAMAN & NICOBAR ISLANDS,MAHARASHTRA,2019,0.0
ANDAMAN & NICOBAR ISLANDS,MAHARASHTRA,2020,0.0
ANDAMAN & NICOBAR ISLANDS,MANIPUR,2019,0.0
ANDAMAN & NICOBAR ISLANDS,MANIPUR,2020,0.0
ANDAMAN & NICOBAR ISLANDS,MEGHALAYA,2019,0.0
ANDAMAN & NICOBAR ISLANDS,MEGHALAYA,2020,0.0
ANDAMAN & NICOBAR ISLANDS,MIZORAM,2019,0.0
