Target,Source,quantity
ANDHRA PRADESH,ANDHRA PRADESH,0.0
ANDHRA PRADESH,ARUNACHAL PRADESH,0.0
ANDHRA PRADESH,ASSAM,0.0
ANDHRA PRADESH,BIHAR,0.0
ANDHRA PRADESH,CHANDIGARH,0.0
ANDHRA PRADESH,CHATTISGARH,0.0
ANDHRA PRADESH,DELHI,0.0
ANDHRA PRADESH,GOA,0.0
ANDHRA PRADESH,GUJARAT,0.0
ANDHRA PRADESH,HARYANA,0.0
ANDHRA PRADESH,HIMACHAL PRADESH,0.0
ANDHRA PRADESH,JAMMU & KASHMIR,0.0
ANDHRA PRADESH,JHARKHAND,0.0
ANDHRA PRADESH,KARNATAKA,0.0
ANDHRA PRADESH,KERALA,0.0
ANDHRA PRADESH,MADHYA PRADESH,0.0
ANDHRA PRADESH,MAHARASHTRA,0.0
ANDHRA PRADESH,MANIPUR,0.0
ANDHRA PRADESH,MEGHALAYA,0.0
ANDHRA PRADESH,MIZORAM,0.0
ANDHRA PRADESH,NAGALAND,0.0
ANDHRA PRADESH,ODISHA,0.0
ANDHRA PRADESH,PUDUCHERRY,0.0
ANDHRA PRADESH,PUNJAB,0.0
ANDHRA PRADESH,RAJASHTHAN,3780.0
ANDHRA PRADESH,TAMIL NADU,0.0
ANDHRA PRADESH,TRIPURA,0.0
ANDHRA PRADESH,UTTAR PRADESH,0.0
ANDHRA PRADESH,UTTARAKHAND,0.0
ANDHRA PRADESH,WEST BENGAL,0.0
ARUNACHAL PRADESH,ANDHRA PRADESH,0.0
ARUNACHAL PRADESH,ARUNACHAL PRADESH,0.0
ARUNACHAL PRADESH,ASSAM,0.0
ARUNACHAL PRADESH,BIHAR,0.0
ARUNACHAL PRADESH,CHANDIGARH,0.0
ARUNACHAL PRADESH,CHATTISGARH,0.0
ARUNACHAL PRADESH,DAMAN & DIU,0.0
ARUNACHAL PRADESH,DELHI,0.0
ARUNACHAL PRADESH,GOA,0.0
ARUNACHAL PRADESH,GUJARAT,0.0
ARUNACHAL PRADESH,HARYANA,0.0
ARUNACHAL PRADESH,HIMACHAL PRADESH,0.0
ARUNACHAL PRADESH,JAMMU & KASHMIR,0.0
ARUNACHAL PRADESH,JHARKHAND,0.0
ARUNACHAL PRADESH,KARNATAKA,0.0
ARUNACHAL PRADESH,KERALA,0.0
ARUNACHAL PRADESH,MADHYA PRADESH,0.0
ARUNACHAL PRADESH,MAHARASHTRA,0.0
ARUNACHAL PRADESH,MANIPUR,0.0
ARUNACHAL PRADESH,MEGHALAYA,0.0
ARUNACHAL PRADESH,MIZORAM,0.0
ARUNACHAL PRADESH,NAGALAND,0.0
ARUNACHAL PRADESH,ODISHA,0.0
ARUNACHAL PRADESH,PUDUCHERRY,0.0
ARUNACHAL PRADESH,PUNJAB,0.0
ARUNACHAL PRADESH,RAJASHTHAN,0.0
ARUNACHAL PRADESH,TAMIL NADU,0.0
