target,source,avg_trade_qt_2017
Andhra Pradesh,Andhra Pradesh,3693217.0416666665
Andaman & Nicobar Islands,Andhra Pradesh,0.0
Arunachal Pradesh,Andhra Pradesh,1575.0
Assam,Andhra Pradesh,392279.3333333333
Bihar,Andhra Pradesh,171476.66666666666
Chattisgarh,Andhra Pradesh,25802.825
Chandigarh,Andhra Pradesh,0.0
Daman & Diu,Andhra Pradesh,0.0
Delhi,Andhra Pradesh,13054.166666666666
Dadra & Nagar Haveli,Andhra Pradesh,0.0
Goa,Andhra Pradesh,0.0
Gujarat,Andhra Pradesh,29285.0
Himachal Pradesh,Andhra Pradesh,0.0
Haryana,Andhra Pradesh,221.0
Jharkhand,Andhra Pradesh,79084.83333333333
Jammu & Kashmir,Andhra Pradesh,1051.6666666666667
Kerala,Andhra Pradesh,8956280.666666666
Karnataka,Andhra Pradesh,4529505.416666667
Lakshadeep,Andhra Pradesh,0.0
Maharashtra,Andhra Pradesh,115347.05833333332
Meghalaya,Andhra Pradesh,0.0
Manipur,Andhra Pradesh,1430.0
Madhya Pradesh,Andhra Pradesh,0.0
Mizoram,Andhra Pradesh,4245.0
Nagaland,Andhra Pradesh,22265.916666666668
Odisha,Andhra Pradesh,0.0
Punjab,Andhra Pradesh,31953.25
Puducherry,Andhra Pradesh,0.0
Rajasthan,Andhra Pradesh,0.0
Sikkim,Andhra Pradesh,0.0
Telangana,Andhra Pradesh,0.0
Tamil Nadu,Andhra Pradesh,17109056.416666668
Tripura,Andhra Pradesh,8031.666666666667
Uttarakhand,Andhra Pradesh,0.0
Uttar Pradesh,Andhra Pradesh,4417.5
West Bengal,Andhra Pradesh,494786.0833333333
Andhra Pradesh,Andaman & Nicobar Islands,0.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,0.0
Arunachal Pradesh,Andaman & Nicobar Islands,0.0
Assam,Andaman & Nicobar Islands,0.0
Bihar,Andaman & Nicobar Islands,0.0
Chattisgarh,Andaman & Nicobar Islands,0.0
Chandigarh,Andaman & Nicobar Islands,0.0
Daman & Diu,Andaman & Nicobar Islands,0.0
Delhi,Andaman & Nicobar Islands,0.0
Dadra & Nagar Haveli,Andaman & Nicobar Islands,0.0
Goa,Andaman & Nicobar Islands,0.0
Gujarat,Andaman & Nicobar Islands,0.0
Himachal Pradesh,Andaman & Nicobar Islands,0.0
Haryana,Andaman & Nicobar Islands,0.0
Jharkhand,Andaman & Nicobar Islands,0.0
Jammu & Kashmir,Andaman & Nicobar Islands,0.0
Kerala,Andaman & Nicobar Islands,0.0
Karnataka,Andaman & Nicobar Islands,0.0
Lakshadeep,Andaman & Nicobar Islands,0.0
Maharashtra,Andaman & Nicobar Islands,0.0
Meghalaya,Andaman & Nicobar Islands,0.0
Manipur,Andaman & Nicobar Islands,0.0
Madhya Pradesh,Andaman & Nicobar Islands,0.0
Mizoram,Andaman & Nicobar Islands,0.0
Nagaland,Andaman & Nicobar Islands,0.0
Odisha,Andaman & Nicobar Islands,0.0
Punjab,Andaman & Nicobar Islands,0.0
Puducherry,Andaman & Nicobar Islands,0.0
Rajasthan,Andaman & Nicobar Islands,0.0
Sikkim,Andaman & Nicobar Islands,0.0
Telangana,Andaman & Nicobar Islands,0.0
Tamil Nadu,Andaman & Nicobar Islands,0.0
Tripura,Andaman & Nicobar Islands,0.0
Uttarakhand,Andaman & Nicobar Islands,0.0
Uttar Pradesh,Andaman & Nicobar Islands,0.0
West Bengal,Andaman & Nicobar Islands,0.0
Andhra Pradesh,Arunachal Pradesh,0.0
Andaman & Nicobar Islands,Arunachal Pradesh,0.0
Arunachal Pradesh,Arunachal Pradesh,0.0
Assam,Arunachal Pradesh,0.0
Bihar,Arunachal Pradesh,0.0
Chattisgarh,Arunachal Pradesh,0.0
Chandigarh,Arunachal Pradesh,0.0
Daman & Diu,Arunachal Pradesh,0.0
Delhi,Arunachal Pradesh,0.0
Dadra & Nagar Haveli,Arunachal Pradesh,0.0
Goa,Arunachal Pradesh,0.0
Gujarat,Arunachal Pradesh,0.0
Himachal Pradesh,Arunachal Pradesh,0.0
Haryana,Arunachal Pradesh,260.8333333333333
Jharkhand,Arunachal Pradesh,0.0
Jammu & Kashmir,Arunachal Pradesh,0.0
Kerala,Arunachal Pradesh,0.0
Karnataka,Arunachal Pradesh,0.0
Lakshadeep,Arunachal Pradesh,0.0
Maharashtra,Arunachal Pradesh,0.0
Meghalaya,Arunachal Pradesh,0.0
Manipur,Arunachal Pradesh,0.0
Madhya Pradesh,Arunachal Pradesh,0.0
Mizoram,Arunachal Pradesh,0.0
Nagaland,Arunachal Pradesh,0.0
Odisha,Arunachal Pradesh,0.0
Punjab,Arunachal Pradesh,805.75
Puducherry,Arunachal Pradesh,0.0
Rajasthan,Arunachal Pradesh,0.0
Sikkim,Arunachal Pradesh,0.0
Telangana,Arunachal Pradesh,0.0
Tamil Nadu,Arunachal Pradesh,0.0
Tripura,Arunachal Pradesh,0.0
Uttarakhand,Arunachal Pradesh,0.0
Uttar Pradesh,Arunachal Pradesh,0.0
West Bengal,Arunachal Pradesh,0.0
Andhra Pradesh,Assam,2194.741666666667
Andaman & Nicobar Islands,Assam,0.0
Arunachal Pradesh,Assam,0.0
Assam,Assam,0.0
Bihar,Assam,1297.4833333333331
Chattisgarh,Assam,653.625
Chandigarh,Assam,220.25
Daman & Diu,Assam,0.0
Delhi,Assam,2297.233333333333
Dadra & Nagar Haveli,Assam,0.0
Goa,Assam,0.0
Gujarat,Assam,0.0
Himachal Pradesh,Assam,0.0
Haryana,Assam,36075.166666666664
Jharkhand,Assam,0.0
Jammu & Kashmir,Assam,0.0
Kerala,Assam,0.0
Karnataka,Assam,208.54166666666663
Lakshadeep,Assam,0.0
Maharashtra,Assam,1082.4
Meghalaya,Assam,0.0
Manipur,Assam,253659.08333333337
Madhya Pradesh,Assam,0.0
Mizoram,Assam,25825.833333333332
Nagaland,Assam,44417.5
Odisha,Assam,0.0
Punjab,Assam,127460.625
Puducherry,Assam,0.0
Rajasthan,Assam,0.0
Sikkim,Assam,0.0
Telangana,Assam,441.25
Tamil Nadu,Assam,0.0
Tripura,Assam,1005419.5
Uttarakhand,Assam,884.25
Uttar Pradesh,Assam,6499.416666666667
West Bengal,Assam,2151.0
Andhra Pradesh,Bihar,5130.333333333333
Andaman & Nicobar Islands,Bihar,0.0
Arunachal Pradesh,Bihar,0.0
Assam,Bihar,15238.166666666666
Bihar,Bihar,387473.31666666665
Chattisgarh,Bihar,221.5
Chandigarh,Bihar,2163.3333333333335
Daman & Diu,Bihar,0.0
Delhi,Bihar,0.0
Dadra & Nagar Haveli,Bihar,0.0
Goa,Bihar,0.0
Gujarat,Bihar,0.0
Himachal Pradesh,Bihar,0.0
Haryana,Bihar,57167.583333333336
Jharkhand,Bihar,0.0
Jammu & Kashmir,Bihar,0.0
Kerala,Bihar,0.0
Karnataka,Bihar,0.0
Lakshadeep,Bihar,0.0
Maharashtra,Bihar,0.0
Meghalaya,Bihar,0.0
Manipur,Bihar,0.0
Madhya Pradesh,Bihar,0.0
Mizoram,Bihar,0.0
Nagaland,Bihar,0.0
Odisha,Bihar,0.0
Punjab,Bihar,163455.38333333333
Puducherry,Bihar,0.0
Rajasthan,Bihar,0.0
Sikkim,Bihar,0.0
Telangana,Bihar,0.0
Tamil Nadu,Bihar,240.75
Tripura,Bihar,8514.166666666666
Uttarakhand,Bihar,442.0
Uttar Pradesh,Bihar,3549.5
West Bengal,Bihar,12099.433333333334
Andhra Pradesh,Chattisgarh,6424855.916666667
Andaman & Nicobar Islands,Chattisgarh,0.0
Arunachal Pradesh,Chattisgarh,0.0
Assam,Chattisgarh,338101.1666666667
Bihar,Chattisgarh,3644678.3333333335
Chattisgarh,Chattisgarh,0.0
Chandigarh,Chattisgarh,4442.5
Daman & Diu,Chattisgarh,0.0
Delhi,Chattisgarh,8820.5
Dadra & Nagar Haveli,Chattisgarh,0.0
Goa,Chattisgarh,86374.33333333333
Gujarat,Chattisgarh,156901.66666666666
Himachal Pradesh,Chattisgarh,8634.166666666666
Haryana,Chattisgarh,16254.916666666666
Jharkhand,Chattisgarh,5897456.5
Jammu & Kashmir,Chattisgarh,21708.333333333332
Kerala,Chattisgarh,630839.5
Karnataka,Chattisgarh,1146844.4166666667
Lakshadeep,Chattisgarh,0.0
Maharashtra,Chattisgarh,3363066.8333333335
Meghalaya,Chattisgarh,0.0
Manipur,Chattisgarh,2154.1666666666665
Madhya Pradesh,Chattisgarh,243047.08333333337
Mizoram,Chattisgarh,2200.0
Nagaland,Chattisgarh,24085.666666666668
Odisha,Chattisgarh,24580.0
Punjab,Chattisgarh,54640.666666666664
Puducherry,Chattisgarh,0.0
