Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,4611956488.436239,210028514262.77283,4.611956488436239,210.02851426277283,Optimal,1,True,2459,776,profit,normalized
0.01,4607729734.653545,210028680142.21826,4.607729734653545,210.02868014221826,Optimal,1,True,2459,776,profit,normalized
0.02,4607534739.92419,210028916927.4071,4.60753473992419,210.0289169274071,Optimal,1,True,2459,776,profit,normalized
0.03,4599131275.128032,210042562320.38074,4.599131275128031,210.04256232038074,Optimal,1,True,2459,776,profit,normalized
0.04,4589013035.021599,210066031120.1938,4.5890130350215985,210.0660311201938,Optimal,1,True,2459,776,profit,normalized
0.05,4543749601.568097,210211758747.80518,4.543749601568097,210.21175874780516,Optimal,1,True,2459,776,profit,normalized
0.06,4536498425.378084,210240631851.2132,4.536498425378084,210.2406318512132,Optimal,1,True,2459,776,profit,normalized
0.07,4535315818.717382,210246338109.51886,4.5353158187173825,210.24633810951886,Optimal,1,True,2459,776,profit,normalized
0.08,4527414075.2391615,210288640076.36536,4.527414075239162,210.28864007636537,Optimal,1,True,2459,776,profit,normalized
0.09,4513214791.529176,210376732652.98767,4.513214791529176,210.37673265298767,Optimal,1,True,2459,776,profit,normalized
0.1,4487911827.767296,210554168287.28107,4.487911827767296,210.55416828728107,Optimal,1,True,2459,776,profit,normalized
0.11,4484976138.3095255,210578032306.36322,4.484976138309525,210.5780323063632,Optimal,1,True,2459,776,profit,normalized
0.12,4482979268.116251,210595240869.9574,4.482979268116251,210.5952408699574,Optimal,1,True,2459,776,profit,normalized
0.13,4472028455.769871,210700706985.68457,4.472028455769871,210.70070698568458,Optimal,1,True,2459,776,profit,normalized
0.14,4468585123.725572,210736896883.08252,4.468585123725572,210.73689688308252,Optimal,1,True,2459,776,profit,normalized
0.15,4460504816.631174,210833189074.81213,4.4605048166311745,210.83318907481214,Optimal,1,True,2459,776,profit,normalized
0.16,4441967677.160839,211058516955.4582,4.441967677160839,211.0585169554582,Optimal,1,True,2459,776,profit,normalized
0.17,4440566726.995948,211077260102.13922,4.4405667269959475,211.07726010213923,Optimal,1,True,2459,776,profit,normalized
0.18,4422405813.146549,211342743087.0138,4.42240581314655,211.3427430870138,Optimal,1,True,2459,776,profit,normalized
0.19,4380573201.227485,211994354843.5921,4.3805732012274845,211.9943548435921,Optimal,1,True,2459,776,profit,normalized
0.2,4374187764.7114105,212101451842.9463,4.374187764711411,212.1014518429463,Optimal,1,True,2459,776,profit,normalized
0.21,4364652502.082247,212269833627.10602,4.364652502082246,212.269833627106,Optimal,1,True,2459,776,profit,normalized
0.22,4355626156.380877,212435892174.30865,4.355626156380876,212.43589217430866,Optimal,1,True,2459,776,profit,normalized
0.23,4354993408.823476,212448192918.36603,4.354993408823476,212.44819291836603,Optimal,1,True,2459,776,profit,normalized
0.24,4320381613.5119705,213170758543.49487,4.32038161351197,213.17075854349488,Optimal,1,True,2459,776,profit,normalized
0.25,4311709809.98411,213360176216.06055,4.31170980998411,213.36017621606055,Optimal,1,True,2459,776,profit,normalized
0.26,4311285279.840248,213369971067.66864,4.311285279840248,213.36997106766864,Optimal,1,True,2459,776,profit,normalized
0.27,4311214578.581924,213371722900.6856,4.311214578581924,213.3717229006856,Optimal,1,True,2459,776,profit,normalized
0.28,4292733287.642605,213842999470.05524,4.292733287642605,213.84299947005525,Optimal,1,True,2459,776,profit,normalized
0.29,4284625896.849495,214064237427.5462,4.284625896849495,214.0642374275462,Optimal,1,True,2459,776,profit,normalized
0.3,4284469017.4199724,214068754052.50732,4.284469017419973,214.06875405250733,Optimal,1,True,2459,776,profit,normalized
0.31,4275644443.1906834,214333793576.19263,4.275644443190683,214.33379357619262,Optimal,1,True,2459,776,profit,normalized
0.32,4273420604.728469,214403861761.4933,4.273420604728469,214.4038617614933,Optimal,1,True,2459,776,profit,normalized
0.33,4272996665.685706,214417494519.9204,4.272996665685707,214.4174945199204,Optimal,1,True,2459,776,profit,normalized
0.34,4272890889.114896,214421163200.60522,4.272890889114896,214.42116320060524,Optimal,1,True,2459,776,profit,normalized
0.35,4267279519.959238,214621833057.84998,4.267279519959238,214.62183305784998,Optimal,1,True,2459,776,profit,normalized
0.36,4265501131.988676,214688070623.4433,4.265501131988676,214.6880706234433,Optimal,1,True,2459,776,profit,normalized
0.37,4257242151.3347416,215011056506.65674,4.257242151334742,215.01105650665673,Optimal,1,True,2459,776,profit,normalized
0.38,4244504120.752926,215529073634.33423,4.244504120752926,215.52907363433422,Optimal,1,True,2459,776,profit,normalized
0.39,4242463182.3560486,215616768284.8742,4.242463182356048,215.6167682848742,Optimal,1,True,2459,776,profit,normalized
0.4,4238945895.5828786,215774321426.237,4.238945895582878,215.774321426237,Optimal,1,True,2459,776,profit,normalized
0.41,4237638411.0217757,215835466801.35822,4.237638411021775,215.83546680135822,Optimal,1,True,2459,776,profit,normalized
0.42,4237638411.0217757,215835466801.35822,4.237638411021775,215.83546680135822,Optimal,1,True,2459,776,profit,normalized
0.43,4234926281.433457,215970083107.61438,4.234926281433457,215.97008310761439,Optimal,1,True,2459,776,profit,normalized
0.44,4227703042.8238697,216353622971.86578,4.22770304282387,216.35362297186578,Optimal,1,True,2459,776,profit,normalized
0.45,4219278736.4953613,216813135640.38538,4.219278736495362,216.81313564038538,Optimal,1,True,2459,776,profit,normalized
0.46,4215391595.5952973,217031359099.02466,4.215391595595297,217.03135909902466,Optimal,1,True,2459,776,profit,normalized
0.47,4207421480.892339,217505608197.16724,4.207421480892339,217.50560819716725,Optimal,1,True,2459,776,profit,normalized
0.48,4205910719.772013,217597435412.76642,4.205910719772013,217.59743541276643,Optimal,1,True,2459,776,profit,normalized
0.49,4205910719.772013,217597435412.76642,4.205910719772013,217.59743541276643,Optimal,1,True,2459,776,profit,normalized
0.5,4205903287.9159207,217597941821.78925,4.205903287915921,217.59794182178925,Optimal,1,True,2459,776,profit,normalized
0.51,4205903287.9159207,217597941821.78925,4.205903287915921,217.59794182178925,Optimal,1,True,2459,776,profit,normalized
0.52,4205903287.9159207,217597941821.78925,4.205903287915921,217.59794182178925,Optimal,1,True,2459,776,profit,normalized
0.53,4200096199.344856,218035797275.3072,4.200096199344856,218.0357972753072,Optimal,1,True,2459,776,profit,normalized
0.54,4193326174.3516393,218563302808.73865,4.19332617435164,218.56330280873865,Optimal,1,True,2459,776,profit,normalized
0.55,4191738682.1243854,218691352175.89917,4.191738682124385,218.69135217589917,Optimal,1,True,2459,776,profit,normalized
0.56,4191436745.2311845,218716910097.4336,4.191436745231185,218.71691009743358,Optimal,1,True,2459,776,profit,normalized
0.57,4191258773.578548,218732869614.31702,4.191258773578548,218.73286961431702,Optimal,1,True,2459,776,profit,normalized
0.58,4189092500.527038,218933455706.4818,4.189092500527038,218.93345570648182,Optimal,1,True,2459,776,profit,normalized
0.59,4183173010.4304023,219509705922.30768,4.183173010430402,219.5097059223077,Optimal,1,True,2459,776,profit,normalized
0.6,4171162952.1143813,220702775461.85486,4.171162952114381,220.70277546185486,Optimal,1,True,2459,776,profit,normalized
0.61,4168278118.577515,221004607332.84094,4.168278118577515,221.00460733284095,Optimal,1,True,2459,776,profit,normalized
0.62,4167192736.414269,221122569469.50934,4.167192736414269,221.12256946950933,Optimal,1,True,2459,776,profit,normalized
0.63,4167056713.4710755,221138066044.12518,4.167056713471076,221.1380660441252,Optimal,1,True,2459,776,profit,normalized
0.64,4164894623.2576766,221394043854.91522,4.164894623257677,221.39404385491522,Optimal,1,True,2459,776,profit,normalized
0.65,4164749944.9811187,221412211581.74078,4.164749944981119,221.4122115817408,Optimal,1,True,2459,776,profit,normalized
0.66,4163834511.352692,221532450539.61847,4.163834511352692,221.53245053961848,Optimal,1,True,2459,776,profit,normalized
0.67,4162764122.3322206,221677650948.2884,4.162764122332221,221.6776509482884,Optimal,1,True,2459,776,profit,normalized
0.68,4162764122.3322206,221677650948.2884,4.162764122332221,221.6776509482884,Optimal,1,True,2459,776,profit,normalized
