scenario,metric,original_total,optimized_total,pct_reduction,display_pct_change
Nitrogen based,Nitrogen Emission,287739236.80885214,236520874.46049374,17.80027045195203,17.80027045195203
Water based,Nitrogen Emission,287739236.80885214,266472591.3701014,7.390943854097443,7.390943854097443
Nitrogen based,Nitrogen Leach,2391590187.444786,1918103354.188839,19.797991969595266,19.797991969595266
Water based,Nitrogen Leach,2391590187.444786,2153093650.447927,9.972299528945326,9.972299528945326
Nitrogen based,Greenhouse Gas emission,398546513.153932,300218963.56543046,24.671536782589822,24.671536782589822
Water based,Greenhouse Gas emission,398546513.153932,274531141.2648212,31.116913031732363,31.116913031732363
Nitrogen based,Profit,1215665645847.929,1259737472608.6963,-3.6253246862156048,3.6253246862156048
Water based,Profit,1215665645847.929,1257143973252.3582,-3.4119848287312577,3.4119848287312577
Nitrogen based,Calorie,955924593799921.0,1005461175546894.5,-5.182059554515627,5.182059554515627
Water based,Calorie,955924593799921.0,1036626930543101.2,-8.442332927368074,8.442332927368074
Nitrogen based,Phosphorus application,4580861940.3896265,4195422972.5525417,8.414114480042619,8.414114480042619
Water based,Phosphorus application,4580861940.3896265,4496340505.705383,1.8450989308150643,1.8450989308150643
Nitrogen based,Nitrogen application,12891996042.564434,11643599484.364756,9.683500941808786,9.683500941808786
Water based,Nitrogen application,12891996042.564434,12646371625.423859,1.9052473824039167,1.9052473824039167
Nitrogen based,Phosphorus Surplus,3589737437.875405,3122255625.6518555,13.022729943731752,13.022729943731752
Water based,Phosphorus Surplus,3589737437.875405,3385774117.981908,5.681845077065391,5.681845077065391
Nitrogen based,Nitrogen Surplus,8285335580.939312,6825365173.74713,17.621137887895475,17.621137887895475
Water based,Nitrogen Surplus,8285335580.939312,7665127984.499823,7.485606230196606,7.485606230196606
Nitrogen based,Water Demand,467586094005.25684,348227098001.31995,25.526635101897405,25.526635101897405
Water based,Water Demand,467586094005.25684,300666524096.0582,35.69814672617745,35.69814672617745
