season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
rabi,wheat,0.0,100.0,2997829060.776767,2714998382.8659534,9.434516517680603,30731432.5,28401319.152357418,92.41781733525573,7.582182664744255,Optimal,False,state,8
rabi,wheat,0.1,90.0,2997829060.776767,2715008615.3163276,9.434175189000193,30731432.5,28401765.352357417,92.41926926887452,7.5807307311254775,Optimal,False,state,8
rabi,wheat,0.2,80.0,2997829060.776767,2715018854.2390985,9.433833644416982,30731432.5,28402211.55235742,92.42072120249331,7.579278797506689,Optimal,False,state,8
rabi,wheat,0.3,70.0,2997829060.776767,2715131429.174988,9.430078429105937,30731432.5,28413463.83809571,92.45733611049764,7.542663889502354,Optimal,False,state,8
rabi,wheat,0.4,60.0,2997829060.776767,2715324763.444062,9.423629286571293,30731432.5,28433243.83809571,92.52170017813425,7.478299821865741,Optimal,False,state,8
rabi,wheat,0.5,50.0,2997829060.776767,2715753871.409686,9.40931532947353,30731432.5,28530200.58809571,92.83719718596166,7.162802814038331,Optimal,False,state,8
rabi,wheat,0.6,40.0,2997829060.776767,2716576207.24263,9.38188428466503,30731432.5,28663753.73809571,93.27177878250781,6.7282212174921945,Optimal,False,state,8
rabi,wheat,0.7,30.000000000000004,2997829060.776767,2719728878.296227,9.276719147171164,30731432.5,29001010.834199443,94.36921248041217,5.630787519587824,Optimal,False,state,8
rabi,wheat,0.8,19.999999999999996,2997829060.776767,2726265503.686265,9.05867384647132,30731432.5,29453441.784199443,95.84142159399644,4.158578406003551,Optimal,False,state,8
rabi,wheat,0.9,9.999999999999998,2997829060.776767,2740312749.8462234,8.590093221119767,30731432.5,29905874.734199442,97.31363721557543,2.6863627844245728,Optimal,False,state,8
rabi,wheat,1.0,0.0,2997829060.776767,2778614852.233347,7.312431899856868,30731432.5,31196318.732059106,101.51273856843187,-1.5127385684318693,Optimal,False,state,8
