season,State,baseline_calories,relaxed_calorie_target,optimized_calories,calorie_gap,calorie_gap_vs_relaxed_target,baseline_income,relaxed_income_target,optimized_income,income_gap,income_gap_vs_relaxed_target
kharif,andaman and nicobar,39979298401.69207,39979298361.71277,39979298401.69207,0.0,39.97930145263672,209457879.67300758,209457879.4635497,209457879.67300758,0.0,0.2094578742980957
kharif,andhra pradesh,19797443372526.32,19797443352728.875,19797443352728.88,-19797.44140625,0.00390625,36323217252.278076,36323217215.95486,36323217215.95486,-36.323219299316406,0.0
kharif,arunachal pradesh,1094745125554.6079,1094745124459.8628,1173806788722.4968,79061663167.88892,79061664262.63403,4386249952.973758,4386249948.587508,4386249948.587508,-4.386249542236328,0.0
kharif,assam,14916404330122.54,14916404315206.135,15034204245646.812,117799915524.27344,117799930440.67773,14204404350.916046,14204404336.711641,14204404336.711643,-14.204402923583984,1.9073486328125e-06
kharif,bihar,30371581779048.496,30371581748676.914,30371581748676.902,-30371.59375,-0.01171875,69201194297.46034,69201194228.25916,75888739440.46233,6687545143.001984,6687545212.203171
kharif,chandigarh,195800000.0,195799999.8042,195800000.0,0.0,0.19580000638961792,419834.08778706595,419834.08736723184,419834.08778706595,0.0,0.0004198341048322618
kharif,chhattisgarh,21412861919044.387,21412861897631.523,28937132285597.72,7524270366553.332,7524270387966.195,23037289784.68078,23037289761.64349,23037289761.643494,-23.03728485107422,3.814697265625e-06
kharif,dadra and nagar haveli,107506719987.49779,107506719879.99107,107506719879.99106,-107.50672912597656,-1.52587890625e-05,110172193.74238569,110172193.63221349,110172193.6322135,-0.11017218232154846,1.4901161193847656e-08
kharif,gujarat,9058469019610.598,9058469010552.129,9058469010552.133,-9058.46484375,0.00390625,32720819132.56747,32720819099.846653,32720819099.84665,-32.720821380615234,-3.814697265625e-06
kharif,haryana,20293045999693.883,20293045979400.836,20293045979400.832,-20293.05078125,-0.00390625,46952199347.4436,46952199300.4914,46952199300.4914,-46.95220184326172,0.0
kharif,himachal pradesh,2847003100009.545,2847003097162.542,2847003097162.542,-2847.0029296875,0.0,3233755112.9430375,3233755109.7092824,6069880635.58882,2836125522.645783,2836125525.879538
kharif,jammu and kashmir,4257155551611.9146,4257155547354.759,4257155547354.759,-4257.15576171875,0.0,5935129174.134371,5935129168.199242,5935129168.199243,-5.935128211975098,9.5367431640625e-07
kharif,jharkhand,14218054110053.516,14218054095835.46,14218054095835.46,-14218.0546875,0.0,37320661197.053505,37320661159.73284,37320661159.73284,-37.32066345214844,0.0
kharif,karnataka,31716232099454.82,31716232067738.59,31716232067738.59,-31716.23046875,0.0,-21810171320.221523,-21810171342.031696,-12598927755.484426,9211243564.737097,9211243586.54727
kharif,kerala,1309535320089.5908,1309535318780.0554,1309535319241.1914,-848.3994140625,461.135986328125,3697472060.6047645,3697472056.9072924,3697472056.9072924,-3.697472095489502,0.0
kharif,madhya pradesh,38148961481583.43,38148961443434.47,38148961443434.46,-38148.96875,-0.0078125,46880737001.7139,46880736954.83316,46880736954.83316,-46.8807373046875,0.0
kharif,maharashtra,21404558520399.91,21404558498995.35,21404558498995.355,-21404.5546875,0.00390625,-1587135198.271747,-1587135199.8588824,5994122941.579122,7581258139.850868,7581258141.438004
kharif,manipur,2320612000035.539,2320611997714.9272,2515467274161.3687,194855274125.8296,194855276446.4414,9960041278.286287,9960041268.326246,9960041268.326246,-9.960041046142578,0.0
