State,Crop,original_area_ha,optimized_area_ha,state_abbrev,crop_order
andaman and nicobar,maize,43.620000000000005,43.620000000000005,,2
andaman and nicobar,rice,5340.55,5340.55,,4
andhra pradesh,bajra,48357.0,178624.7999269148,AP,0
andhra pradesh,jowar,139669.0,0.0,AP,1
andhra pradesh,maize,336540.0,288527.14296780765,AP,2
andhra pradesh,ragi,34450.0,64115.208711057654,AP,3
andhra pradesh,rice,2218186.0,2245972.8483942198,AP,4
andhra pradesh,wheat,38.0,0.0,AP,5
arunachal pradesh,maize,50797.0,54557.23816358806,,2
arunachal pradesh,rice,132000.0,128239.76183641194,,4
arunachal pradesh,wheat,3930.0,3930.0,,5
assam,maize,31537.0,23592.303033376826,AS,2
assam,rice,2433711.0,2445577.435481627,AS,4
assam,wheat,17786.0,13864.261484996128,AS,5
bihar,bajra,4379.0,254329.95899096873,BR,0
bihar,jowar,1358.0,0.0,BR,1
bihar,maize,742863.0,978437.8280154592,BR,2
bihar,ragi,4211.0,0.0,BR,3
bihar,rice,3306983.0,3909129.212993572,BR,4
bihar,wheat,2129560.0,1047457.0,BR,5
chandigarh,maize,0.0,0.0,,2
chandigarh,rice,10.0,10.0,,4
chandigarh,wheat,546.0,546.0,,5
chhattisgarh,bajra,61.0,0.0,CH,0
chhattisgarh,jowar,0.0,0.0,CH,1
chhattisgarh,maize,119617.0,162088.9661520533,CH,2
chhattisgarh,ragi,7274.0,0.0,CH,3
chhattisgarh,rice,3976626.0,3941489.0338479467,CH,4
chhattisgarh,wheat,102195.0,102195.0,CH,5
dadra and nagar haveli,jowar,451.0,541.8412263212164,,1
dadra and nagar haveli,maize,108.0,0.0,,2
dadra and nagar haveli,ragi,1135.0,1129.744127853763,,3
dadra and nagar haveli,rice,14226.0,14248.41464580683,,4
dadra and nagar haveli,wheat,0.0,1.8191826711699832e-08,,5
gujarat,bajra,397152.0,1723463.1517688069,GJ,0
gujarat,jowar,91198.0,451821.65124609484,GJ,1
gujarat,maize,399984.0,1944.9713639976069,GJ,2
gujarat,ragi,11880.0,0.0,GJ,3
gujarat,rice,855290.0,577960.2256211007,GJ,4
gujarat,wheat,1058778.0,59092.0,GJ,5
haryana,bajra,510000.0,548033.2833410382,HR,0
haryana,jowar,47500.0,0.0,HR,1
haryana,maize,6600.0,0.0,HR,2
haryana,rice,1422100.0,1438166.7166589617,HR,4
haryana,wheat,2647900.0,2647900.0,HR,5
himachal pradesh,bajra,79.0,0.0,HP,0
himachal pradesh,maize,280811.0,152497.09561474592,HP,2
himachal pradesh,ragi,1817.0,0.0,HP,3
himachal pradesh,rice,71613.0,201822.90438525408,HP,4
himachal pradesh,wheat,342675.0,342675.0,HP,5
jammu and kashmir,bajra,12615.0,123765.95160886447,JK,0
jammu and kashmir,jowar,63.0,0.0,JK,1
jammu and kashmir,maize,302516.0,127693.04839113553,JK,2
jammu and kashmir,ragi,8724.0,8736.28572823074,JK,3
jammu and kashmir,rice,273582.0,337388.0,JK,4
jammu and kashmir,wheat,299336.0,299252.7142717693,JK,5
jharkhand,bajra,614.0,11293.478948683474,JH,0
jharkhand,jowar,3329.0,62677.0,JH,1
jharkhand,maize,294698.0,8679.48977820582,JH,2
jharkhand,ragi,19013.0,36229.238799728235,JH,3
jharkhand,rice,1735411.0,1932732.2822515883,JH,4
jharkhand,wheat,220963.0,222416.5102217942,JH,5
karnataka,bajra,231550.0,72861.0,KA,0
karnataka,jowar,1088098.0,2855303.7963755694,KA,1
karnataka,maize,1307008.0,1530749.7360004464,KA,2
karnataka,ragi,777835.0,20565.0,KA,3
karnataka,rice,992925.0,13144.46762398448,KA,4
karnataka,wheat,193338.0,98130.0,KA,5
kerala,jowar,0.0,0.0002344118819902,KL,1
kerala,ragi,0.0,0.0,KL,3
kerala,rice,189086.0,189085.99976558812,KL,4
madhya pradesh,bajra,309940.0,168202.95007077773,MP,0
madhya pradesh,jowar,270040.0,1575131.7055124664,MP,1
madhya pradesh,maize,1352160.0,629966.2320727672,MP,2
madhya pradesh,ragi,0.0,0.0,MP,3
madhya pradesh,rice,2035140.0,1584157.0499292223,MP,4
madhya pradesh,wheat,5802980.0,5812802.062414766,MP,5
maharashtra,bajra,787833.0,0.0,MH,0
maharashtra,jowar,3464153.0,5138161.696442401,MH,1
maharashtra,maize,1063507.0,1485427.3430666798,MH,2
maharashtra,ragi,92817.0,532736.4604909191,MH,3
maharashtra,rice,1450943.0,348970.0,MH,4
maharashtra,wheat,1137731.5,491689.0,MH,5
manipur,maize,26930.0,26950.538878507432,,2
manipur,rice,236710.0,236801.71345610966,,4
manipur,wheat,2250.0,2137.7476653829126,,5
meghalaya,maize,18152.0,17166.189660915374,,2
meghalaya,rice,111141.0,112262.81033908462,,4
meghalaya,wheat,460.0,324.0,,5
mizoram,maize,5979.2,3667.900896489401,MZ,2
mizoram,rice,36114.2,38425.4991035106,MZ,4
nagaland,bajra,700.0,0.0,NL,0
nagaland,jowar,270.0,0.0,NL,1
nagaland,maize,69010.0,310.0,NL,2
nagaland,ragi,340.0,26681.51945975045,NL,3
nagaland,rice,212000.0,255398.48054024955,NL,4
nagaland,wheat,3410.0,3340.0,NL,5
odisha,bajra,0.0,0.0,OD,0
odisha,jowar,0.0,0.0,OD,1
odisha,maize,46942.0,192556.29386715282,OD,2
odisha,ragi,42592.0,0.0,OD,3
odisha,rice,3766390.0,3662179.278098273,OD,4
odisha,wheat,73.0,1261.4280345740476,OD,5
puducherry,bajra,14.0,35.84585196142325,,0
puducherry,jowar,5.0,44.001979320784315,,1
puducherry,ragi,45.0,15.170411234755273,,3
puducherry,rice,17371.0,17339.981757483038,,4
punjab,bajra,1000.0,0.0,PN,0
punjab,maize,114000.0,77192.22398392239,PN,2
punjab,rice,3065000.0,3102807.7760160775,PN,4
punjab,wheat,3512000.0,3512000.0,PN,5
rajasthan,bajra,4264301.0,4387472.814788157,RJ,0
rajasthan,jowar,509129.0,947335.3548061074,RJ,1
rajasthan,maize,870123.0,355658.64519389265,RJ,2
rajasthan,rice,190641.0,143727.18521184303,RJ,4
rajasthan,wheat,3050258.0,3050258.0,RJ,5
sikkim,maize,38458.0,39199.910736050224,,2
sikkim,rice,9501.0,8759.089263949774,,4
sikkim,wheat,172.0,172.0,,5
tamil nadu,bajra,63029.0,1445719.1630475712,TN,0
tamil nadu,jowar,385646.0,48920.99208101457,TN,1
