State,Crop,original_area_ha,optimized_area_ha,state_abbrev,crop_order,state_order
west bengal,bajra,30.0,0.0,WB,0,0
west bengal,jowar,6.0,0.0,WB,1,0
west bengal,maize,245228.0,150928.84025191606,WB,2,0
west bengal,ragi,3379.0,12904.261499530568,WB,3,0
west bengal,rice,5537431.0,5577016.312225907,WB,4,0
west bengal,wheat,117360.0,162584.58602264596,WB,5,0
uttar pradesh,bajra,925397.0,1981329.697295548,UP,0,1
uttar pradesh,jowar,169145.0,21101.0,UP,1,1
uttar pradesh,maize,724343.0,795840.0815912224,UP,2,1
uttar pradesh,rice,5923632.0,5893178.209318327,UP,4,1
uttar pradesh,wheat,9752941.0,8804009.011794902,UP,5,1
tamil nadu,bajra,63029.0,1445719.1630475712,TN,0,2
tamil nadu,jowar,385646.0,48920.99208101457,TN,1,2
tamil nadu,maize,324518.0,1024383.8448714144,TN,2,2
tamil nadu,ragi,86513.0,0.0,TN,3,2
tamil nadu,rice,1828865.0,169547.0,TN,4,2
rajasthan,bajra,4264301.0,4387472.814788157,RJ,0,3
rajasthan,jowar,509129.0,947335.3548061074,RJ,1,3
rajasthan,maize,870123.0,355658.64519389265,RJ,2,3
rajasthan,rice,190641.0,143727.18521184303,RJ,4,3
rajasthan,wheat,3050258.0,3050258.0,RJ,5,3
punjab,bajra,1000.0,0.0,PN,0,4
punjab,maize,114000.0,77192.22398392239,PN,2,4
punjab,rice,3065000.0,3102807.7760160775,PN,4,4
punjab,wheat,3512000.0,3512000.0,PN,5,4
odisha,bajra,0.0,0.0,OD,0,5
odisha,jowar,0.0,0.0,OD,1,5
odisha,maize,46942.0,192556.29386715282,OD,2,5
odisha,ragi,42592.0,0.0,OD,3,5
odisha,rice,3766390.0,3662179.278098273,OD,4,5
odisha,wheat,73.0,1261.4280345740476,OD,5,5
madhya pradesh,bajra,309940.0,168202.95007077773,MP,0,6
madhya pradesh,jowar,270040.0,1575131.7055124664,MP,1,6
madhya pradesh,maize,1352160.0,629966.2320727672,MP,2,6
madhya pradesh,ragi,0.0,0.0,MP,3,6
madhya pradesh,rice,2035140.0,1584157.0499292223,MP,4,6
madhya pradesh,wheat,5802980.0,5812802.062414766,MP,5,6
maharashtra,bajra,787833.0,0.0,MH,0,7
maharashtra,jowar,3464153.0,5138161.696442401,MH,1,7
maharashtra,maize,1063507.0,1485427.3430666798,MH,2,7
maharashtra,ragi,92817.0,532736.4604909191,MH,3,7
maharashtra,rice,1450943.0,348970.0,MH,4,7
maharashtra,wheat,1137731.5,491689.0,MH,5,7
karnataka,bajra,231550.0,72861.0,KA,0,8
karnataka,jowar,1088098.0,2855303.7963755694,KA,1,8
karnataka,maize,1307008.0,1530749.7360004464,KA,2,8
karnataka,ragi,777835.0,20565.0,KA,3,8
karnataka,rice,992925.0,13144.46762398448,KA,4,8
karnataka,wheat,193338.0,98130.0,KA,5,8
haryana,bajra,510000.0,548033.2833410382,HR,0,9
haryana,jowar,47500.0,0.0,HR,1,9
haryana,maize,6600.0,0.0,HR,2,9
haryana,rice,1422100.0,1438166.7166589617,HR,4,9
haryana,wheat,2647900.0,2647900.0,HR,5,9
gujarat,bajra,397152.0,1723463.1517688069,GJ,0,10
gujarat,jowar,91198.0,451821.65124609484,GJ,1,10
gujarat,maize,399984.0,1944.9713639976069,GJ,2,10
gujarat,ragi,11880.0,0.0,GJ,3,10
gujarat,rice,855290.0,577960.2256211007,GJ,4,10
gujarat,wheat,1058778.0,59092.0,GJ,5,10
chhattisgarh,bajra,61.0,0.0,CH,0,11
chhattisgarh,jowar,0.0,0.0,CH,1,11
chhattisgarh,maize,119617.0,162088.9661520533,CH,2,11
chhattisgarh,ragi,7274.0,0.0,CH,3,11
chhattisgarh,rice,3976626.0,3941489.0338479467,CH,4,11
chhattisgarh,wheat,102195.0,102195.0,CH,5,11
bihar,bajra,4379.0,254329.95899096873,BR,0,12
bihar,jowar,1358.0,0.0,BR,1,12
bihar,maize,742863.0,978437.8280154592,BR,2,12
bihar,ragi,4211.0,0.0,BR,3,12
bihar,rice,3306983.0,3909129.212993572,BR,4,12
bihar,wheat,2129560.0,1047457.0,BR,5,12
assam,maize,31537.0,23592.303033376826,AS,2,13
assam,rice,2433711.0,2445577.435481627,AS,4,13
assam,wheat,17786.0,13864.261484996128,AS,5,13
andhra pradesh,bajra,48357.0,178624.7999269148,AP,0,14
andhra pradesh,jowar,139669.0,0.0,AP,1,14
andhra pradesh,maize,336540.0,288527.14296780765,AP,2,14
andhra pradesh,ragi,34450.0,64115.208711057654,AP,3,14
andhra pradesh,rice,2218186.0,2245972.8483942198,AP,4,14
andhra pradesh,wheat,38.0,0.0,AP,5,14
