source_state,target_state,quantity_kcal,State,original_alt_trade_kcal,trade_alt_needed_clipped,scale_factor,optimized_trade_kcal
andhra pradesh,arunachal pradesh,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,assam,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,bihar,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,chandigarh,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,chhattisgarh,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,delhi,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,goa,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,gujarat,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,haryana,4327732500.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,himachal pradesh,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,jammu and kashmir,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,jharkhand,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,karnataka,50043240000.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,kerala,8652150000.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,madhya pradesh,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,maharashtra,4395690000.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,manipur,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,meghalaya,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,mizoram,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,nagaland,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,odisha,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,puducherry,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,punjab,8214570000.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,rajasthan,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,tamil nadu,270065370000.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,tripura,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,uttar pradesh,8691930000.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,uttarakhand,0.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
andhra pradesh,west bengal,43544182500.0,andhra pradesh,397934865000.0,0.0,0.0,0.0
