from,to,value
BR,AP,392242342307.93695
BR,AS,402493841614.49677
BR,CH,181928978801.63034
BR,GJ,78692316648.13098
BR,HR,221757515937.08267
BR,KA,1639145990642.6401
BR,KL,221666357736.50565
BR,MH,297418822416.02704
BR,PN,602373389413.0895
BR,TN,3275283760666.2383
BR,TE,116135547535.15073
BR,UR,2495835566632.2456
BR,WB,173952636251.13922
CH,AS,9792413234.017138
CH,TN,4898980671.7490835
CH,WB,24465313441.51326
GJ,AS,1409766490716.6846
GJ,HR,9746549108540.65
HR,KA,7201953183.829758
HR,PN,35734534919.9829
KA,AP,1478901841034.2214
KA,AS,200331493084.82993
KA,BR,87763627721.53409
KA,HR,176984334976.6689
KA,KL,450339232594.28107
KA,MH,522447726722.2442
KA,OD,435497352693.8826
KA,PN,174239603762.21167
KA,RJ,87323115304.39897
KA,TN,6487419590034.702
KA,UR,259258500269.2885
KA,WB,539898795554.9045
MP,AP,11088152700.201874
MP,AS,7392101800.134582
MP,BR,137004168794.4741
MP,CH,59945462873.86189
MP,GJ,23323355679.734974
MP,HR,217555005565.49472
MP,KA,28078560286.004665
MP,KL,5840727284.410737
MP,PN,665670845920.7885
MP,TN,360280098814.06604
MP,TE,69225143581.9381
MP,UP,5814358312.472088
MP,UR,744792930855.7358
MP,WB,134044251694.36076
MH,AP,265450008465.951
MH,AS,82514840602.74806
MH,BR,334391586336.8778
MH,HR,551345620495.7935
MH,KA,1152745569228.7969
MH,KL,82421339366.93759
MH,PN,523669254695.8916
MH,TN,2889577775026.357
MH,TE,1372504640462.027
MH,UR,1734759595070.4277
MH,WB,353010883711.1076
OD,AS,218787346341.93637
OD,TN,668436863523.7665
OD,WB,3472719525612.54
TN,KL,31298180336494.484
TE,TN,2020789080311.2441
UP,AS,591168564477.3245
UP,BR,46705488168.420074
UP,HR,569081868056.9019
UP,KA,57335630420.45627
UP,MH,669788478865.6658
UP,TN,4310076026513.052
UP,TE,1788549407963.6475
UP,WB,612577706415.1715
