from,to,value
AP,AS,146000369866.47055
AP,BR,63820993433.59786
AP,CH,9603416936.570232
AP,GJ,10899429228.67784
AP,HR,82252820.88228795
AP,JK,391414253.2181275
AP,JH,29434165749.648243
AP,KA,1685812659377.5403
AP,KL,3333390721478.8765
AP,MH,42930411440.68093
AP,NL,8287033734.67549
AP,PN,11892511080.800758
AP,TN,6367729198665.352
AP,UP,1644125955.8710725
AP,WB,184151814875.40933
AS,AP,789452410.0733956
AS,BR,655276597.3290831
AS,CH,235110053.89437172
AS,HR,14934407417.894676
AS,KA,75012801.66643272
AS,MP,196766224.984637
AS,MH,389341170.1438408
AS,NL,20008791079.57253
AS,PN,48750417215.28785
AS,TE,158718395.53397056
AS,UP,4637723018.359964
AS,WB,1097851300.3091524
BR,AP,2094188161.1887522
BR,AS,10702231023.428837
BR,CH,90415699.63679592
BR,HR,32725963801.421642
BR,KA,329107104.65673953
BR,MP,1728961069.5301747
BR,NL,358400066.80215067
BR,PN,84246467249.98653
BR,RJ,136232522.56750676
BR,TN,1172515264.5435617
BR,TE,347465827.4759833
BR,UP,1822968755.7842867
BR,WB,6372556159.046541
CH,AP,2283813629269.0244
CH,AS,120183248079.07944
CH,BR,1295556843597.9343
CH,GJ,55773105177.16156
CH,HR,5848980071.680753
CH,JK,7716560212.155481
CH,JH,2096341413319.8184
CH,KA,407663446994.9788
CH,KL,224241580926.95853
CH,MP,86751993990.07776
CH,MH,1195453714407.051
CH,NL,8561619827.250959
CH,OD,8737338196.458277
CH,PN,19422863464.06067
CH,RJ,453218315.72352743
CH,TN,1538319693711.0498
CH,UP,2359993674.0976095
CH,WB,451304845767.80994
GJ,AP,257745679.94797924
GJ,AS,48666146.59406624
GJ,BR,12490970.944493348
GJ,HR,2138160012.901968
GJ,JK,161357266.55297568
GJ,KA,578247359.8402936
GJ,KL,94055497.19398233
GJ,MP,632528575.2858915
GJ,MH,395062642.18085116
GJ,PN,13471097697.001703
GJ,RJ,84005301.58847453
GJ,TN,306716601.8177133
GJ,TE,48824999.161990084
GJ,UP,1729371151.537437
GJ,WB,147254483.34252682
HR,AP,171691044000.0
HR,AS,1282619711084.0369
HR,BR,2260441710834.409
HR,CH,121395717333.33333
HR,GJ,1475959168281.0176
HR,JK,85164494225.36551
HR,JH,150314820387.46423
HR,KA,1611281729979.2566
HR,KL,332775286555.87897
HR,MP,139570461451.115
HR,MH,3155462038333.786
HR,NL,106595895318.07628
HR,OD,500080203321.37225
HR,PN,6975056666.666667
HR,RJ,1116802893319.8984
HR,TN,699319576956.9393
HR,TE,2799790000.0
HR,UP,3759540888850.582
HR,WB,2265680812269.6445
JK,HR,752641156.4548438
JK,PN,20907693898.211494
JK,UP,214142232.14479774
JH,AP,21375368373.031548
JH,BR,1589550628.3704972
JH,CH,17427821531.50216
JH,HR,1913232796.554068
JH,OD,29030564692.29422
JH,PN,5140548559.515168
JH,UP,213888500.52875626
JH,WB,713498335.097181
KA,AP,505536850.23893654
KA,AS,10696564.883040352
KA,BR,22679647.321236175
KA,GJ,179042645.6702114
KA,HR,782429265.2906775
KA,KL,4681984991.219814
KA,MP,3191923472.744988
KA,MH,31063130.92043523
KA,OD,23744026.31528861
KA,PN,1156472705.6595192
KA,RJ,836247000.5061641
KA,TN,685033349.8647385
KA,TE,25277996.919597708
KA,UP,2425097401.761775
KA,WB,22399144.89584532
KL,AP,4583126194.347524
KL,CH,1091495998.6538324
KL,HR,1434116331.564604
KL,KA,785869999.0307682
KL,PN,2737817996.6233854
KL,TN,253872796353.55945
KL,TE,20709226041.125496
MP,AP,938384675976.1273
MP,AS,92598075869.97592
MP,BR,357300654605.45416
MP,CH,184273937403.3256
MP,GJ,844728551356.0452
MP,HR,63551174470.32738
MP,JK,76754347017.62299
MP,JH,69306358936.25272
MP,KA,1155535954491.5537
MP,KL,554383141040.8689
MP,MH,4229631305502.5234
MP,NL,8667399054.735516
MP,OD,382993734376.2397
MP,PN,13961471981.957926
MP,RJ,22266492239.03291
MP,TN,1709819418168.215
MP,TE,66837338773.034035
MP,UP,1231462212903.2556
MP,WB,605001913455.1503
MH,AP,84173079333.41743
MH,AS,14318240349.761976
MH,CH,385692116.87511545
MH,GJ,6040366040.966293
MH,HR,20395618105.242588
MH,JK,341189180.31260216
MH,JH,2182651859.7207017
MH,KA,4708550236.995256
MH,KL,11967286624.871578
MH,MP,5882775322.300658
MH,NL,137582359.94780248
MH,PN,28497548109.614338
MH,RJ,898971186.0125191
MH,TN,14923427622.059162
MH,TE,393672976.83199286
MH,UP,1236866431.827198
MH,WB,3846119066.9249635
NL,AP,473182098.81435555
NL,AS,17999254245.657642
NL,BR,115567395973.50433
NL,HR,2806925174.521795
NL,JH,170612752412.7545
NL,KA,5412663206.281431
NL,OD,57155476506.47383
NL,PN,4939652811.174843
NL,RJ,80768611906.50746
NL,TN,33954241831.056553
NL,TE,190988782.53226084
NL,UP,3408436424.9367175
NL,WB,55775565711.56614
OD,AP,29127379370.72655
OD,AS,3337880982.8665004
OD,BR,322034858974.6283
OD,GJ,28489180402.129444
OD,HR,165583446681.10504
OD,JK,1537790906.747761
OD,JH,1501559694425.25
OD,KA,54015078696.19528
OD,KL,7549900200.658281
OD,MP,130568764844.6549
OD,MH,54823987116.964676
OD,PN,228673608157.23868
OD,RJ,92123591255.19284
OD,TN,1274456192864.8638
OD,UP,921867219070.245
OD,WB,1715365909450.4822
PN,AP,262847350445.13852
PN,AS,3980308688484.282
PN,BR,5659756598762.762
PN,CH,112918691666.66667
PN,GJ,3462914673148.971
PN,HR,12411466832.44001
PN,JK,1206006751438.1462
PN,JH,296775984778.67303
PN,KA,4524760745102.489
PN,KL,707764185958.6719
PN,MP,334731745590.67163
PN,MH,5289689766794.322
PN,NL,408537311478.18225
PN,OD,702417432769.707
PN,RJ,588594066371.0597
PN,TN,1137096841660.0054
PN,TE,4296285000.0
PN,UP,5549799815236.683
PN,WB,4769140515104.812
RJ,AP,80976801500.0
RJ,AS,642408358933.2006
RJ,BR,496241838456.11725
RJ,CH,542972500.0
RJ,GJ,276390571875.21484
RJ,HR,3265187333.3333335
RJ,JK,95858030274.791
RJ,JH,6278932168.586264
RJ,KA,756972161294.5957
RJ,KL,328928398665.7322
RJ,MP,16820382072.209581
RJ,MH,449830885077.27
RJ,NL,61933610889.0689
RJ,OD,38802851500.0
RJ,PN,7463316000.0
RJ,TN,1121332573683.8323
RJ,TE,17838880500.0
RJ,UP,595940277908.1853
RJ,WB,44703223260.74097
TN,AP,587843509.6241903
TN,CH,3112120680.7294855
TN,HR,592751383.8578626
TN,KA,110106333.93764481
TN,KL,193942623.50307003
TN,OD,587675635.9988017
TN,PN,1276160221.7363198
TN,TE,3909111607.2684574
TN,UP,4020925.1590132006
TE,AP,1476056751.0393546
TE,AS,360363820.01276964
TE,BR,13775682140.142803
TE,JH,6432960868.566746
TE,KA,133417596856.57945
TE,KL,413746532811.40137
