State,flow
punjab,42150022863083.82
haryana,20368743368188.527
uttar pradesh,15870221648558.984
andhra pradesh,14400588374863.875
tamil nadu,13871715690205.24
maharashtra,13610664086297.652
madhya pradesh,12907034194871.746
karnataka,11043028583430.492
bihar,10188370040999.654
west bengal,9522894390686.744
assam,7947924176643.219
rajasthan,7027568450248.037
gujarat,6761338040070.934
kerala,6119939556427.32
odisha,4890499615317.078
jharkhand,2783378564336.02
chhattisgarh,2651714236672.196
telangana,1718080881643.8818
jammu and kashmir,1560134565836.8796
chandigarh,1242242500414.8962
nagaland,1218882174839.6592
delhi,1140984908112.191
tripura,948846354972.4867
uttarakhand,930470426316.7323
goa,238762378785.43256
himachal pradesh,233673378604.82925
manipur,226084734598.87265
mizoram,126407892449.50603
arunachal pradesh,12125069991.703247
meghalaya,533804357.54678094
puducherry,5490458.251262513
andaman and nicobar,0.0
sikkim,0.0
daman and diu,0.0
dadra and nagar haveli,0.0
lakshadeep,0.0
