State,original_rw_trade_kcal,optimized_rw_trade_kcal,diff_rw_trade_kcal
punjab,41315576899000.0,41449983613515.055,134406714515.0501
haryana,20108466196500.0,20102912430703.406,-5553765796.591146
madhya pradesh,12818410246000.0,12810719947716.176,-7690298283.825035
andhra pradesh,11478999485733.334,11906616682806.494,427617197073.15924
chhattisgarh,9864166995000.0,9849353514839.785,-14813480160.215511
odisha,2925689545566.6665,6540048777594.534,3614359232027.868
rajasthan,5461633475566.667,5122986888329.539,-338646587237.12787
uttar pradesh,5075102647233.333,4724467280694.595,-350635366538.7386
telangana,2205517103516.667,1985814228422.6355,-219702875094.0313
uttarakhand,753611371166.6667,606388373555.9731,-147222997610.69376
assam,589140617383.3334,577745287473.6884,-11395329909.645016
nagaland,489126869816.6667,554193498710.2448,65066628893.57811
west bengal,346080430466.6667,381585607934.8235,35505177468.15676
kerala,380618444666.6667,285214448914.905,-95403995751.76163
maharashtra,508815843333.3333,205942893024.87006,-302872950308.46344
bihar,169552071033.3333,146747470828.91714,-22804600204.416164
chandigarh,96003791666.66666,96003791666.66666,0.0
jharkhand,69448042266.66667,77404473416.89362,7956431150.226927
tripura,65848071533.333336,65039856466.2556,-808215067.0777395
jammu and kashmir,18363609383.333336,21874477286.81114,3510867903.4778037
gujarat,115862490083.33333,20105584385.892345,-95756905697.441
karnataka,157164831566.66666,14591044129.811483,-142573787436.85516
tamil nadu,167612351266.66666,10373732921.814844,-157238618344.8518
manipur,3943768000.0,4009286037.25673,65518037.25673044
mizoram,2527943000.0,2648258922.4371715,120315922.4371713
himachal pradesh,1407676666.6666667,1407676666.6666667,0.0
arunachal pradesh,415284666.6666666,433506364.46049595,18221697.793829307
sikkim,0.0,0.0,0.0
andaman and nicobar,0.0,0.0,0.0
puducherry,0.0,0.0,0.0
meghalaya,0.0,0.0,0.0
goa,6814652166.666666,0.0,-6814652166.666666
delhi,130187056016.66666,0.0,-130187056016.66667
daman and diu,0.0,0.0,0.0
dadra and nagar haveli,0.0,0.0,0.0
lakshadeep,0.0,0.0,0.0
