crop,source_state,target_state,original_trade_qtl,optimized_trade_qtl,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
rice,andhra pradesh,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,arunachal pradesh,1575.0,1646.6037023946758,560700000.0,586190918.0525045,25490918.05250454
rice,andhra pradesh,assam,392279.3333333333,410113.3985013218,139651442666.66666,146000369866.47055,6348927199.803894
rice,andhra pradesh,bihar,171476.66666666666,179272.45346516254,61045693333.33333,63820993433.59786,2775300100.264534
rice,andhra pradesh,chhattisgarh,25802.825,26975.8902712647,9185805700.0,9603416936.570232,417611236.5702324
rice,andhra pradesh,chandigarh,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,delhi,13054.166666666666,13647.64391429238,4647283333.333333,4858561233.488087,211277900.15475368
rice,andhra pradesh,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,goa,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,gujarat,29285.0,30616.374237859098,10425460000.0,10899429228.67784,473969228.6778393
rice,andhra pradesh,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,haryana,221.0,231.04724966934816,78676000.0,82252820.88228795,3576820.8822879493
rice,andhra pradesh,jharkhand,79084.83333333333,82680.24086979844,28154200666.666664,29434165749.648243,1279965082.9815788
rice,andhra pradesh,jammu and kashmir,1051.6666666666667,1099.4782393767625,374393333.3333334,391414253.2181275,17020919.884794116
rice,andhra pradesh,kerala,8956280.666666666,9363457.082805833,3188435917333.333,3333390721478.8765,144954804145.54346
rice,andhra pradesh,karnataka,4529505.416666667,4735428.818476236,1612503928333.3335,1685812659377.5403,73308731044.20679
rice,andhra pradesh,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,maharashtra,115347.05833333332,120591.04337269923,41063552766.666664,42930411440.68093,1866858674.014267
rice,andhra pradesh,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,manipur,1430.0,1495.011615507547,509080000.0,532224135.12068677,23144135.12068677
rice,andhra pradesh,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,mizoram,4245.0,4437.989026454222,1511220000.0,1579924093.417703,68704093.41770291
rice,andhra pradesh,nagaland,22265.916666666668,23278.18464796486,7926666333.333334,8287033734.67549,360367401.3421564
rice,andhra pradesh,odisha,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,punjab,31953.25,33405.93000224932,11375357000.0,11892511080.800758,517154080.80075836
rice,andhra pradesh,puducherry,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,sikkim,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,telangana,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,tamil nadu,17109056.416666668,17886879.771531887,6090824084333.334,6367729198665.352,276905114332.0176
rice,andhra pradesh,tripura,8031.666666666667,8396.807663322692,2859273333.3333335,2989263528.1428785,129990194.80954504
rice,andhra pradesh,uttarakhand,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,uttar pradesh,4417.5,4618.331336716496,1572630000.0,1644125955.8710725,71495955.87107253
rice,andhra pradesh,west bengal,494786.0833333333,517280.37886350934,176143845666.66666,184151814875.40933,8007969208.742676
rice,andaman and nicobar,andhra pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,assam,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,bihar,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,chhattisgarh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,chandigarh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,delhi,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,goa,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,gujarat,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,haryana,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,jharkhand,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,jammu and kashmir,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,kerala,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,karnataka,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,maharashtra,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,manipur,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,mizoram,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,nagaland,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,odisha,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,punjab,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,puducherry,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,sikkim,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,telangana,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,tamil nadu,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,tripura,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,uttarakhand,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,uttar pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,west bengal,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,andhra pradesh,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,assam,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,bihar,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,chhattisgarh,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,chandigarh,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,delhi,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,goa,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,gujarat,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,haryana,260.8333333333333,273.3505318536456,92856666.66666666,97312789.33989783,4456122.67323117
rice,arunachal pradesh,jharkhand,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,jammu and kashmir,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,kerala,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,karnataka,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,maharashtra,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,manipur,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,mizoram,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,nagaland,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,odisha,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,punjab,805.75,844.4173458443768,286847000.0,300612575.12059814,13765575.120598137
rice,arunachal pradesh,puducherry,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,sikkim,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,telangana,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,tamil nadu,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,tripura,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,uttarakhand,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,uttar pradesh,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,west bengal,0.0,0.0,0.0,0.0,0.0
rice,assam,andhra pradesh,2194.741666666667,2217.56294964437,781328033.3333334,789452410.0733956,8124376.740062237
rice,assam,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,assam,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,assam,bihar,1297.4833333333331,1310.9747773417866,461904066.66666657,466707020.7336761,4802954.067009509
rice,assam,chhattisgarh,653.625,660.4214997032914,232690500.0,235110053.89437172,2419553.894371718
rice,assam,chandigarh,220.25,222.54019553972066,78409000.0,79224309.61214055,815309.6121405512
rice,assam,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,assam,delhi,2297.233333333333,2321.1203414318466,817815066.6666666,826318841.5497373,8503774.883070707
rice,assam,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,assam,goa,0.0,0.0,0.0,0.0,0.0
rice,assam,gujarat,0.0,0.0,0.0,0.0,0.0
rice,assam,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,assam,haryana,36075.166666666664,36450.2821526811,12842759333.333332,12976300446.354473,133541113.02114105
rice,assam,jharkhand,0.0,0.0,0.0,0.0,0.0
rice,assam,jammu and kashmir,0.0,0.0,0.0,0.0,0.0
rice,assam,kerala,0.0,0.0,0.0,0.0,0.0
rice,assam,karnataka,208.54166666666663,210.71011704054138,74240833.33333331,75012801.66643272,771968.3330994099
rice,assam,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,assam,maharashtra,1082.4,1093.6549723141595,385334400.00000006,389341170.1438408,4006770.14384073
rice,assam,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,assam,manipur,253659.08333333337,256296.67198831466,90302633666.66669,91241615227.84001,938981561.1733246
rice,assam,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,assam,mizoram,25825.833333333332,26094.374574239435,9193996666.666666,9289597348.42924,95600681.76257324
rice,assam,nagaland,44417.5,44879.36043307851,15812630000.0,15977052314.17595,164422314.1759491
rice,assam,odisha,0.0,0.0,0.0,0.0,0.0
rice,assam,punjab,127460.625,128785.98143525542,45375982500.0,45847809390.95093,471826890.95092773
rice,assam,puducherry,0.0,0.0,0.0,0.0,0.0
rice,assam,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,assam,sikkim,0.0,0.0,0.0,0.0,0.0
rice,assam,telangana,441.25,445.8381897021645,157085000.0,158718395.53397056,1633395.5339705646
rice,assam,tamil nadu,0.0,0.0,0.0,0.0,0.0
rice,assam,tripura,1005419.5,1015874.0164787659,357929342000.0,361651149866.4407,3721807866.440674
rice,assam,uttarakhand,884.25,893.4445761906833,314793000.0,318066269.12388325,3273269.1238832474
rice,assam,uttar pradesh,6499.416666666667,6566.9986646725065,2313792333.3333335,2337851524.623412,24059191.29007864
rice,assam,west bengal,2151.0,2173.3664499702118,765756000.0,773718456.1893954,7962456.189395428
rice,bihar,andhra pradesh,5130.333333333333,5882.551014575147,1826398666.6666665,2094188161.1887522,267789494.52208567
rice,bihar,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,bihar,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,bihar,assam,15238.166666666666,17472.411042544056,5424787333.333333,6220178331.145684,795390997.8123512
rice,bihar,chhattisgarh,221.5,253.97668437302227,78854000.0,90415699.63679592,11561699.636795923
rice,bihar,chandigarh,2163.3333333333335,2480.5247277365156,770146666.6666667,883066803.0741996,112920136.40753281
rice,bihar,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,bihar,delhi,0.0,0.0,0.0,0.0,0.0
rice,bihar,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,bihar,goa,0.0,0.0,0.0,0.0,0.0
rice,bihar,gujarat,0.0,0.0,0.0,0.0,0.0
rice,bihar,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,bihar,haryana,57167.583333333336,65549.58586283724,20351659666.666668,23335652567.170055,2983992900.5033875
rice,bihar,jharkhand,0.0,0.0,0.0,0.0,0.0
rice,bihar,jammu and kashmir,0.0,0.0,0.0,0.0,0.0
rice,bihar,kerala,0.0,0.0,0.0,0.0,0.0
rice,bihar,karnataka,0.0,0.0,0.0,0.0,0.0
rice,bihar,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,bihar,maharashtra,0.0,0.0,0.0,0.0,0.0
rice,bihar,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,bihar,manipur,0.0,0.0,0.0,0.0,0.0
rice,bihar,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,bihar,mizoram,0.0,0.0,0.0,0.0,0.0
rice,bihar,nagaland,0.0,0.0,0.0,0.0,0.0
rice,bihar,odisha,0.0,0.0,0.0,0.0,0.0
rice,bihar,punjab,163455.38333333333,187421.47314637183,58190116466.666664,66722044440.108376,8531927973.441711
rice,bihar,puducherry,0.0,0.0,0.0,0.0,0.0
rice,bihar,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,bihar,sikkim,0.0,0.0,0.0,0.0,0.0
rice,bihar,telangana,0.0,0.0,0.0,0.0,0.0
rice,bihar,tamil nadu,240.75,276.0491501706777,85707000.0,98273497.46076126,12566497.460761264
rice,bihar,tripura,8514.166666666666,9762.527404963012,3031043333.333333,3475459756.166832,444416422.83349895
rice,bihar,uttarakhand,442.0,506.8067471461663,157352000.0,180423201.9840352,23071201.984035194
rice,bihar,uttar pradesh,3549.5,4069.9333687676863,1263622000.0,1448896279.2812963,185274279.28129625
rice,bihar,west bengal,12099.433333333334,13873.471606286343,4307398266.666667,4938955891.837938,631557625.1712713
rice,chhattisgarh,andhra pradesh,6424855.916666667,6415206.823789394,2287248706333.3335,2283813629269.0244,-3435077064.309082
rice,chhattisgarh,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,assam,338101.1666666667,337593.3934805602,120364015333.33334,120183248079.07944,-180767254.25390625
rice,chhattisgarh,bihar,3644678.3333333335,3639204.6168481302,1297505486666.6667,1295556843597.9343,-1948643068.7324219
rice,chhattisgarh,chandigarh,4442.5,4435.8280846040325,1581530000.0,1579154798.1190355,-2375201.8809645176
rice,chhattisgarh,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,delhi,8820.5,8807.25303776024,3140098000.0,3135382081.4426455,-4715918.55735445
rice,chhattisgarh,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,goa,86374.33333333333,86244.61307573444,30749262666.666664,30703082254.96146,-46180411.70520401
rice,chhattisgarh,gujarat,156901.66666666666,156666.0257785437,55856993333.33333,55773105177.16156,-83888156.17176819
rice,chhattisgarh,himachal pradesh,8634.166666666666,8621.19954691097,3073763333.333333,3069147038.7003055,-4616294.633027554
rice,chhattisgarh,haryana,16254.916666666666,16230.504414833576,5786750333.333333,5778059571.680753,-8690761.652580261
rice,chhattisgarh,jharkhand,5897456.5,5888599.475617467,2099494514000.0,2096341413319.8184,-3153100680.1816406
rice,chhattisgarh,jammu and kashmir,21708.333333333332,21675.730933021016,7728166666.666666,7716560212.155481,-11606454.511184692
rice,chhattisgarh,kerala,630839.5,629892.0812555015,224578862000.0,224241580926.95853,-337281073.0414734
rice,chhattisgarh,karnataka,1146844.4166666667,1145122.042120727,408276612333.3334,407663446994.9788,-613165338.3545532
rice,chhattisgarh,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,maharashtra,3363066.8333333335,3358016.0517051998,1197251792666.6667,1195453714407.051,-1798078259.6157227
rice,chhattisgarh,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,manipur,2154.1666666666665,2150.931457269072,766883333.3333333,765731598.7877896,-1151734.5455436707
rice,chhattisgarh,madhya pradesh,243047.08333333337,242682.0659833645,86524761666.66669,86394815490.07776,-129946176.58892822
rice,chhattisgarh,mizoram,2200.0,2196.6959563599034,783200000.0,782023760.4641256,-1176239.5358743668
rice,chhattisgarh,nagaland,24085.666666666668,24049.493896772357,8574497333.333334,8561619827.250959,-12877506.082374573
rice,chhattisgarh,odisha,24580.0,24543.084821512013,8750480000.0,8737338196.458277,-13141803.541723251
rice,chhattisgarh,punjab,54640.666666666664,54558.60523612547,19452077333.333332,19422863464.06067,-29213869.272663116
rice,chhattisgarh,puducherry,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,rajasthan,1275.0,1273.0851565267624,453900000.0,453218315.72352743,-681684.2764725685
rice,chhattisgarh,sikkim,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,telangana,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,tamil nadu,4327139.0,4320640.338139653,1540461484000.0,1538147960377.7166,-2313523622.2834473
rice,chhattisgarh,tripura,0.0,0.0,0.0,0.0,0.0
rice,chhattisgarh,uttarakhand,2292.5,2289.0570363432175,816130000.0,814904304.9381855,-1225695.0618145466
rice,chhattisgarh,uttar pradesh,6639.166666666667,6629.19571375733,2363543333.3333335,2359993674.0976095,-3549659.2357239723
rice,chhattisgarh,west bengal,1269617.0,1267710.2409208145,451983652000.0,451304845767.80994,-678806232.1900635
rice,chandigarh,andhra pradesh,0.0,0.0,0.0,0.0,0.0
rice,chandigarh,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,chandigarh,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,chandigarh,assam,48350.833333333336,48350.833333333336,17212896666.666668,17212896666.666668,0.0
rice,chandigarh,bihar,98988.33333333331,98988.33333333331,35239846666.66666,35239846666.66666,0.0
rice,chandigarh,chhattisgarh,0.0,0.0,0.0,0.0,0.0
rice,chandigarh,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,chandigarh,delhi,4420.0,4420.0,1573520000.0,1573520000.0,0.0
rice,chandigarh,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
