Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.0,4611956488.436239,210028514262.77283,4.611956488436239,210.02851426277283,Optimal,1,True,2459,776,profit,normalized,3053171498.401806,90638010778.00787,3.053171498401806,90.63801077800787,Optimal,1,True,1788,741,profit,normalized,7665127986.838045,300666525040.7807,7.665127986838045,300.6665250407807,True,Optimal|Optimal,92.51439379802466,64.30185347586495
0.01,4607729734.653545,210028680142.21826,4.607729734653545,210.02868014221826,Optimal,1,True,2459,776,profit,normalized,3052465126.4828444,90638167090.98647,3.0524651264828444,90.63816709098647,Optimal,1,True,1788,741,profit,normalized,7660194861.13639,300666847233.2047,7.6601948611363895,300.6668472332047,True,Optimal|Optimal,92.45485335269852,64.30192238134099
0.02,4607534739.92419,210028916927.4071,4.60753473992419,210.0289169274071,Optimal,1,True,2459,776,profit,normalized,3044907937.1412854,90641554342.68173,3.0449079371412853,90.64155434268173,Optimal,1,True,1788,741,profit,normalized,7652442677.065475,300670471270.08887,7.652442677065475,300.67047127008885,True,Optimal|Optimal,92.36128823399956,64.30269743366411
0.03,4599131275.128032,210042562320.38074,4.599131275128031,210.04256232038074,Optimal,1,True,2459,776,profit,normalized,3041722024.803168,90644212918.16185,3.041722024803168,90.64421291816186,Optimal,1,True,1788,741,profit,normalized,7640853299.9312,300686775238.5426,7.6408532999312,300.6867752385426,True,Optimal|Optimal,92.22141004776245,64.30618427141715
0.04,4589013035.021599,210066031120.1938,4.5890130350215985,210.0660311201938,Optimal,1,True,2459,776,profit,normalized,3037726000.999509,90649306505.90448,3.037726000999509,90.64930650590448,Optimal,1,True,1788,741,profit,normalized,7626739036.021108,300715337626.09827,7.626739036021108,300.7153376260983,True,Optimal|Optimal,92.05105769724857,64.31229274810664
0.05,4543749601.568097,210211758747.80518,4.543749601568097,210.21175874780516,Optimal,1,True,2459,776,profit,normalized,3037726000.999509,90649306505.90448,3.037726000999509,90.64930650590448,Optimal,1,True,1788,741,profit,normalized,7581475602.567606,300861065253.70966,7.581475602567606,300.8610652537097,True,Optimal|Optimal,91.50474991029989,64.34345869368966
0.06,4536498425.378083,210240631851.2132,4.536498425378083,210.2406318512132,Optimal,1,True,2459,776,profit,normalized,3027200290.4606495,90670943769.33054,3.0272002904606494,90.67094376933053,Optimal,1,True,1788,741,profit,normalized,7563698715.838733,300911575620.5437,7.563698715838733,300.9115756205437,True,Optimal|Optimal,91.2901914708111,64.35426106088612
0.07,4535315818.717382,210246338109.51886,4.5353158187173825,210.24633810951886,Optimal,1,True,2459,776,profit,normalized,3023109685.416459,90681463867.17654,3.023109685416459,90.68146386717655,Optimal,1,True,1788,741,profit,normalized,7558425504.1338415,300927801976.69543,7.558425504133842,300.92780197669543,True,Optimal|Optimal,91.22654635163182,64.35773130013398
0.08,4527414075.2391615,210288640076.36536,4.527414075239162,210.28864007636537,Optimal,1,True,2459,776,profit,normalized,3022764299.2201214,90682439288.74289,3.0227642992201216,90.68243928874288,Optimal,1,True,1788,741,profit,normalized,7550178374.459283,300971079365.1083,7.550178374459283,300.97107936510827,True,Optimal|Optimal,91.12700747847464,64.36698679104094
0.09,4513214791.529175,210376732652.98767,4.513214791529175,210.37673265298767,Optimal,1,True,2459,776,profit,normalized,2987688174.351487,90799490340.61792,2.9876881743514874,90.79949034061792,Optimal,1,True,1788,741,profit,normalized,7500902965.880662,301176222993.6056,7.500902965880662,301.17622299360556,True,Optimal|Optimal,90.53227708889354,64.41085970153323
