Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,4889219706.056742,241922190093.36807,4.889219706056742,241.92219009336807,Optimal,1,True,2459,776,profit,normalized
0.01,4888247787.46204,241922397683.01633,4.88824778746204,241.92239768301633,Optimal,1,True,2459,776,profit,normalized
0.02,4886230986.002287,241924667194.4324,4.886230986002287,241.9246671944324,Optimal,1,True,2459,776,profit,normalized
0.03,4883912979.04011,241928496770.81607,4.88391297904011,241.92849677081608,Optimal,1,True,2459,776,profit,normalized
0.04,4873264835.787377,241957955232.17038,4.873264835787378,241.95795523217038,Optimal,1,True,2459,776,profit,normalized
0.05,4863370824.027994,241990458702.75424,4.863370824027994,241.99045870275424,Optimal,1,True,2459,776,profit,normalized
0.06,4860307652.33061,242002308645.47202,4.860307652330611,242.00230864547203,Optimal,1,True,2459,776,profit,normalized
0.07,4859537660.058451,242005965510.74124,4.859537660058451,242.00596551074125,Optimal,1,True,2459,776,profit,normalized
0.08,4855930330.8096,242025678428.5532,4.8559303308096,242.0256784285532,Optimal,1,True,2459,776,profit,normalized
0.09,4848555257.762086,242071224912.66318,4.848555257762086,242.07122491266318,Optimal,1,True,2459,776,profit,normalized
0.1,4843067540.113686,242109973573.20236,4.843067540113686,242.10997357320235,Optimal,1,True,2459,776,profit,normalized
0.11,4838553920.343928,242145483806.70895,4.838553920343928,242.14548380670897,Optimal,1,True,2459,776,profit,normalized
0.12,4835140491.50639,242175302242.86118,4.835140491506389,242.17530224286116,Optimal,1,True,2459,776,profit,normalized
0.13,4832581852.290116,242199090511.67825,4.832581852290116,242.19909051167826,Optimal,1,True,2459,776,profit,normalized
0.14,4814307248.06105,242394619786.5518,4.81430724806105,242.3946197865518,Optimal,1,True,2459,776,profit,normalized
0.15,4806128956.829939,242488884056.02304,4.806128956829939,242.48888405602304,Optimal,1,True,2459,776,profit,normalized
0.16,4802146507.253918,242539540032.88882,4.802146507253918,242.53954003288882,Optimal,1,True,2459,776,profit,normalized
0.17,4791402739.90371,242679835077.85843,4.7914027399037105,242.67983507785843,Optimal,1,True,2459,776,profit,normalized
0.18,4788778067.658552,242717553878.09927,4.788778067658552,242.71755387809927,Optimal,1,True,2459,776,profit,normalized
0.19,4762615856.697399,243126114465.3107,4.7626158566973995,243.1261144653107,Optimal,1,True,2459,776,profit,normalized
0.2,4756918632.637712,243221116754.51108,4.756918632637712,243.2211167545111,Optimal,1,True,2459,776,profit,normalized
0.21,4728233900.142764,243725474441.7734,4.728233900142764,243.7254744417734,Optimal,1,True,2459,776,profit,normalized
0.22,4721932855.741596,243845781689.9573,4.7219328557415965,243.8457816899573,Optimal,1,True,2459,776,profit,normalized
0.23,4717943577.116722,243924617093.257,4.717943577116722,243.92461709325698,Optimal,1,True,2459,776,profit,normalized
0.24,4714143058.506222,244004845003.39798,4.714143058506222,244.00484500339797,Optimal,1,True,2459,776,profit,normalized
0.25,4712876278.773017,244033209258.3904,4.712876278773017,244.0332092583904,Optimal,1,True,2459,776,profit,normalized
0.26,4707116425.021597,244167273492.75894,4.707116425021597,244.16727349275894,Optimal,1,True,2459,776,profit,normalized
0.27,4706154654.028932,244190990699.41574,4.706154654028931,244.19099069941575,Optimal,1,True,2459,776,profit,normalized
0.28,4705728908.582339,244201963472.74924,4.70572890858234,244.20196347274924,Optimal,1,True,2459,776,profit,normalized
0.29,4699279265.935493,244377214078.4727,4.699279265935494,244.3772140784727,Optimal,1,True,2459,776,profit,normalized
0.3,4697074267.621444,244438692773.7476,4.697074267621444,244.4386927737476,Optimal,1,True,2459,776,profit,normalized
0.31,4683858038.962068,244828387065.785,4.683858038962067,244.828387065785,Optimal,1,True,2459,776,profit,normalized
0.32,4676496448.026442,245060533920.2114,4.676496448026442,245.06053392021138,Optimal,1,True,2459,776,profit,normalized
0.33,4675961617.785843,245077888305.5082,4.675961617785843,245.0778883055082,Optimal,1,True,2459,776,profit,normalized
0.34,4670439066.0100355,245267777031.6326,4.670439066010036,245.2677770316326,Optimal,1,True,2459,776,profit,normalized
0.35,4646801525.532891,246111824899.45712,4.646801525532891,246.11182489945713,Optimal,1,True,2459,776,profit,normalized
0.36,4645820236.738239,246148699452.5911,4.645820236738239,246.1486994525911,Optimal,1,True,2459,776,profit,normalized
0.37,4640160035.876592,246370706673.999,4.640160035876591,246.370706673999,Optimal,1,True,2459,776,profit,normalized
0.38,4633870459.302948,246632002759.43948,4.633870459302948,246.63200275943947,Optimal,1,True,2459,776,profit,normalized
0.39,4604644928.953047,247886775564.2498,4.6046449289530464,247.88677556424977,Optimal,1,True,2459,776,profit,normalized
0.4,4603641530.890911,247932336491.06888,4.603641530890911,247.93233649106887,Optimal,1,True,2459,776,profit,normalized
0.41,4603641530.890911,247932336491.06888,4.603641530890911,247.93233649106887,Optimal,1,True,2459,776,profit,normalized
0.42,4603641530.890911,247932336491.06888,4.603641530890911,247.93233649106887,Optimal,1,True,2459,776,profit,normalized
0.43,4601902600.262689,248018848482.63126,4.601902600262688,248.01884848263126,Optimal,1,True,2459,776,profit,normalized
0.44,4599345801.579586,248152434216.574,4.599345801579586,248.152434216574,Optimal,1,True,2459,776,profit,normalized
0.45,4587536220.449724,248801127497.33597,4.587536220449724,248.80112749733595,Optimal,1,True,2459,776,profit,normalized
0.46,4586646237.170898,248852628887.7159,4.586646237170898,248.85262888771592,Optimal,1,True,2459,776,profit,normalized
0.47,4583071996.7494,249066984803.82657,4.5830719967494,249.06698480382656,Optimal,1,True,2459,776,profit,normalized
