scenario,metric,original_total,optimized_total,pct_reduction,display_pct_change,display_metric
Nitrogen based,Nitrogen Emission,287739236.80885214,247757632.00704855,13.895082660681325,-13.895082660681325,Nitrogen Emission
Water based,Nitrogen Emission,287739236.80885214,275601600.0120201,4.218276565769572,-4.218276565769572,Nitrogen Emission
Nitrogen based,Nitrogen Leach,2391590187.444786,2120455014.0694633,11.337024829701615,-11.337024829701615,Nitrogen Leach
Water based,Nitrogen Leach,2391590187.444786,2301046656.9970593,3.7859132774108306,-3.7859132774108306,Nitrogen Leach
Nitrogen based,Greenhouse Gas emission,398546513.153932,363998226.33587873,8.668570838734084,-8.668570838734084,Greenhouse Gas emission
Water based,Greenhouse Gas emission,398546513.153932,346292041.0873744,13.111260628787678,-13.111260628787678,Greenhouse Gas emission
Nitrogen based,Net return,-161076092282.51447,-135538891511.3891,15.854122364934938,-15.854122364934938,Net-return deficit
Water based,Net return,-161076092282.51447,-129810843934.74171,19.41023519054338,-19.41023519054338,Net-return deficit
Nitrogen based,Calorie,955924593799921.0,970072496972016.0,-1.4800229289901725,1.4800229289901725,Calorie
Water based,Calorie,955924593799921.0,1000627459412625.4,-4.67640082728752,4.67640082728752,Calorie
Nitrogen based,Phosphorus application,4580861940.3896265,4146417750.754632,9.483896159464756,-9.483896159464756,Phosphorus application
Water based,Phosphorus application,4580861940.3896265,4489030364.418293,2.0046789701660983,-2.0046789701660983,Phosphorus application
Nitrogen based,Nitrogen application,12891996042.564434,11831188292.504707,8.228421313172497,-8.228421313172497,Nitrogen application
Water based,Nitrogen application,12891996042.564434,12778023764.662857,0.884054552338398,-0.884054552338398,Nitrogen application
Nitrogen based,Phosphorus Surplus,3589737437.875405,3128622828.689668,12.845357555137753,-12.845357555137753,Phosphorus Surplus
Water based,Phosphorus Surplus,3589737437.875405,3434230721.526461,4.331980236442606,-4.331980236442606,Phosphorus Surplus
Nitrogen based,Nitrogen Surplus,8285335580.939312,7177300921.16219,13.37344334399915,-13.37344334399915,Nitrogen Surplus
Water based,Nitrogen Surplus,8285335580.939312,7951661123.120372,4.027289595687219,-4.027289595687219,Nitrogen Surplus
Nitrogen based,Water Demand,467586094005.25684,380791536984.13245,18.56226225156914,-18.56226225156914,Water Demand
Water based,Water Demand,467586094005.25684,334052519415.18774,28.55807225707783,-28.55807225707783,Water Demand
