gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,baseline_retained_area,optimized_retained_area,pct_reduction_n_surplus,realized_retained_share_pct,realized_staple_replacement_pct,configuration
1.0,0.0,8285335580.939308,7432189953.347075,70816785.25,71592179.9662703,10.297055795240482,101.09493069126616,-1.094930691266161,hybrid_2017-18_state_retention_no_historical_caps
0.9,9.999999999999998,8285335580.939308,7260382358.793079,70816785.25,67632725.67043415,12.370690506539868,95.50380666345505,4.496193336544958,hybrid_2017-18_state_retention_no_historical_caps
0.8,19.999999999999996,8285335580.939308,7154174511.400928,70816785.25,65379103.25336187,13.652567943544188,92.32147861916943,7.6785213808305794,hybrid_2017-18_state_retention_no_historical_caps
0.7,30.000000000000004,8285335580.939308,7072530283.26325,70816785.25,63419129.18379885,14.637974356357477,89.553809820531,10.446190179469,hybrid_2017-18_state_retention_no_historical_caps
0.6,40.0,8285335580.939308,7007174133.590892,70816785.25,61672872.50318543,15.426791526572194,87.08793019263102,12.912069807368969,hybrid_2017-18_state_retention_no_historical_caps
0.5,50.0,8285335580.939308,6953761249.668682,70816785.25,60137043.17277357,16.071459245826535,84.91919388952151,15.08080611047849,hybrid_2017-18_state_retention_no_historical_caps
0.4,60.0,8285335580.939308,6907834535.442618,70816785.25,58739492.75696564,16.62577251144392,82.94572049493821,17.05427950506178,hybrid_2017-18_state_retention_no_historical_caps
0.3,70.0,8285335580.939308,6872046059.799994,70816785.25,57656536.45696563,17.05772213247021,81.41648375229747,18.583516247702544,hybrid_2017-18_state_retention_no_historical_caps
0.2,80.0,8285335580.939308,6844649188.285988,70816785.25,56848134.47045501,17.388389143436356,80.27494367298326,19.72505632701675,hybrid_2017-18_state_retention_no_historical_caps
0.1,90.0,8285335580.939308,6832788750.894758,70816785.25,56432961.070455015,17.53153889609713,79.68867955701931,20.31132044298069,hybrid_2017-18_state_retention_no_historical_caps
0.0,100.0,8285335580.939308,6825365173.74713,70816785.25,56203500.87045501,17.621137887895433,79.36466004781686,20.63533995218314,hybrid_2017-18_state_retention_no_historical_caps
