season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,andaman and nicobar,nicobars,rice,1.0,1.0
kharif,andaman and nicobar,north and middle andaman,rice,5099.8,5099.8
kharif,andaman and nicobar,south andamans,rice,239.75,239.75
kharif,andhra pradesh,anantapur,bajra,5261.0,0.0
kharif,andhra pradesh,anantapur,jowar,18362.0,0.0
kharif,andhra pradesh,anantapur,maize,19044.0,56601.0
kharif,andhra pradesh,anantapur,ragi,1641.0,0.0
kharif,andhra pradesh,anantapur,rice,12293.0,0.0
kharif,andhra pradesh,chittoor,bajra,2104.0,0.0
kharif,andhra pradesh,chittoor,jowar,160.0,0.0
kharif,andhra pradesh,chittoor,maize,1551.0,0.0
kharif,andhra pradesh,chittoor,ragi,5904.0,0.0
kharif,andhra pradesh,chittoor,rice,15061.0,24780.0
kharif,andhra pradesh,east godavari,bajra,61.0,0.0
kharif,andhra pradesh,east godavari,jowar,162.0,0.0
kharif,andhra pradesh,east godavari,maize,0.0,0.0
kharif,andhra pradesh,east godavari,ragi,295.0,0.0
kharif,andhra pradesh,east godavari,rice,225683.0,226201.0
kharif,andhra pradesh,guntur,bajra,1273.0,0.0
kharif,andhra pradesh,guntur,jowar,73.0,0.0
kharif,andhra pradesh,guntur,maize,741.0,0.0
kharif,andhra pradesh,guntur,ragi,0.0,0.0
kharif,andhra pradesh,guntur,rice,183828.0,185915.0
kharif,andhra pradesh,kadapa,bajra,5842.0,41466.0
kharif,andhra pradesh,kadapa,jowar,3973.0,0.0
kharif,andhra pradesh,kadapa,maize,918.0,0.0
kharif,andhra pradesh,kadapa,ragi,16.0,0.0
kharif,andhra pradesh,kadapa,rice,30717.0,0.0
kharif,andhra pradesh,krishna,bajra,0.0,0.0
kharif,andhra pradesh,krishna,jowar,16.0,0.0
kharif,andhra pradesh,krishna,maize,5288.0,0.0
kharif,andhra pradesh,krishna,rice,235984.0,241288.0
kharif,andhra pradesh,kurnool,bajra,7885.0,94108.00863797245
kharif,andhra pradesh,kurnool,jowar,5940.0,0.0
kharif,andhra pradesh,kurnool,maize,39752.0,0.0
kharif,andhra pradesh,kurnool,ragi,0.0,0.0
kharif,andhra pradesh,kurnool,rice,59592.0,19060.991362027547
kharif,andhra pradesh,nellore,rice,21184.0,21184.0
kharif,andhra pradesh,prakasam,bajra,17246.0,0.0
kharif,andhra pradesh,prakasam,jowar,610.0,0.0
kharif,andhra pradesh,prakasam,maize,1727.0,47161.0
kharif,andhra pradesh,prakasam,ragi,31.0,0.0
kharif,andhra pradesh,prakasam,rice,27547.0,0.0
kharif,andhra pradesh,spsr nellore,bajra,1802.0,0.0
kharif,andhra pradesh,spsr nellore,jowar,10.0,0.0
kharif,andhra pradesh,spsr nellore,maize,82.0,0.0
kharif,andhra pradesh,spsr nellore,ragi,59.0,0.0
kharif,andhra pradesh,spsr nellore,rice,0.0,1953.0
kharif,andhra pradesh,srikakulam,bajra,87.0,0.0
kharif,andhra pradesh,srikakulam,jowar,16.0,0.0
kharif,andhra pradesh,srikakulam,maize,11430.0,0.0
kharif,andhra pradesh,srikakulam,ragi,154.0,0.0
kharif,andhra pradesh,srikakulam,rice,210682.0,222369.0
kharif,andhra pradesh,visakhapatanam,bajra,1696.0,0.0
kharif,andhra pradesh,visakhapatanam,jowar,285.0,0.0
kharif,andhra pradesh,visakhapatanam,maize,5805.0,0.0
kharif,andhra pradesh,visakhapatanam,ragi,16731.0,0.0
kharif,andhra pradesh,visakhapatanam,rice,0.0,24517.0
kharif,andhra pradesh,visakhapatnam,ragi,0.0,0.0
kharif,andhra pradesh,visakhapatnam,rice,104922.0,104922.0
kharif,andhra pradesh,vizianagaram,bajra,110.0,0.0
kharif,andhra pradesh,vizianagaram,jowar,54.0,0.0
kharif,andhra pradesh,vizianagaram,maize,18027.0,31557.01854106602
kharif,andhra pradesh,vizianagaram,ragi,1809.0,0.0
kharif,andhra pradesh,vizianagaram,rice,122675.0,111117.98145893398
kharif,andhra pradesh,west godavari,jowar,16.0,0.0
kharif,andhra pradesh,west godavari,maize,2911.0,0.0
kharif,andhra pradesh,west godavari,ragi,0.0,0.0
kharif,andhra pradesh,west godavari,rice,226760.0,229687.0
kharif,arunachal pradesh,anjaw,maize,1435.0,5138.0
kharif,arunachal pradesh,anjaw,rice,3703.0,0.0
kharif,arunachal pradesh,changlang,maize,1090.0,0.0
kharif,arunachal pradesh,changlang,rice,9423.0,10513.0
kharif,arunachal pradesh,dibang valley,maize,1973.0,3780.0
kharif,arunachal pradesh,dibang valley,rice,1807.0,0.0
kharif,arunachal pradesh,east kameng,maize,2845.0,11940.0
kharif,arunachal pradesh,east kameng,rice,9095.0,0.0
kharif,arunachal pradesh,east siang,maize,3116.0,0.0
kharif,arunachal pradesh,east siang,rice,11791.0,14907.0
kharif,arunachal pradesh,kra daadi,maize,306.0,0.0
kharif,arunachal pradesh,kra daadi,rice,570.0,876.0
kharif,arunachal pradesh,kurung kumey,maize,234.0,0.0
kharif,arunachal pradesh,kurung kumey,rice,601.0,835.0
kharif,arunachal pradesh,lohit,maize,4256.0,0.0
kharif,arunachal pradesh,lohit,rice,4607.0,8863.0
kharif,arunachal pradesh,longding,maize,1706.0,4738.0
kharif,arunachal pradesh,longding,rice,3032.0,0.0
kharif,arunachal pradesh,lower dibang valley,maize,8409.0,0.0
kharif,arunachal pradesh,lower dibang valley,rice,14688.0,23097.0
kharif,arunachal pradesh,lower subansiri,maize,860.0,0.0
kharif,arunachal pradesh,lower subansiri,rice,8115.0,8975.0
kharif,arunachal pradesh,namsai,maize,6334.0,0.0
kharif,arunachal pradesh,namsai,rice,8669.0,15003.0
kharif,arunachal pradesh,papum pare,maize,2543.0,0.0
kharif,arunachal pradesh,papum pare,rice,12073.0,14616.0
kharif,arunachal pradesh,siang,maize,2226.0,9875.0
kharif,arunachal pradesh,siang,rice,7649.0,0.0
kharif,arunachal pradesh,tawang,maize,910.0,1793.0
kharif,arunachal pradesh,tawang,rice,883.0,0.0
kharif,arunachal pradesh,tirap,maize,3805.0,6853.0
kharif,arunachal pradesh,tirap,rice,3048.0,0.0
kharif,arunachal pradesh,upper siang,maize,1745.0,0.0
kharif,arunachal pradesh,upper siang,rice,6716.0,8461.0
kharif,arunachal pradesh,upper subansiri,maize,1284.0,0.0
kharif,arunachal pradesh,upper subansiri,rice,5169.0,6453.0
kharif,arunachal pradesh,west kameng,maize,3071.0,4001.0
kharif,arunachal pradesh,west kameng,rice,930.0,0.0
kharif,arunachal pradesh,west siang,maize,2649.0,6439.238163588062
kharif,arunachal pradesh,west siang,rice,19431.0,15640.761836411937
kharif,assam,baksa,maize,410.0,0.0
kharif,assam,baksa,rice,96150.0,96560.0
kharif,assam,barpeta,maize,169.0,0.0
kharif,assam,barpeta,rice,77820.0,77989.0
kharif,assam,bongaigaon,maize,1805.0,0.0
kharif,assam,bongaigaon,rice,39234.0,41039.0
kharif,assam,cachar,maize,112.0,0.0
kharif,assam,cachar,rice,102181.0,102293.0
kharif,assam,chirang,maize,363.0,0.0
kharif,assam,chirang,rice,40281.0,40644.0
kharif,assam,darrang,maize,5393.0,0.0
kharif,assam,darrang,rice,55064.0,60457.0
kharif,assam,dhemaji,maize,353.0,23051.303033376822
kharif,assam,dhemaji,rice,65320.0,42621.696966623174
kharif,assam,dhubri,maize,1192.0,0.0
kharif,assam,dhubri,rice,36772.0,37964.0
kharif,assam,dibrugarh,maize,116.0,0.0
kharif,assam,dibrugarh,rice,77730.0,77846.0
kharif,assam,dima hasao,maize,3454.0,0.0
kharif,assam,dima hasao,rice,13791.0,17245.0
kharif,assam,goalpara,maize,1027.0,0.0
kharif,assam,goalpara,rice,55905.0,56932.0
kharif,assam,golaghat,maize,176.0,0.0
kharif,assam,golaghat,rice,117676.0,117852.0
kharif,assam,hailakandi,maize,16.0,0.0
kharif,assam,hailakandi,rice,42970.0,42986.0
kharif,assam,jorhat,maize,133.0,0.0
kharif,assam,jorhat,rice,96642.0,96775.0
kharif,assam,kamrup,maize,230.0,0.0
kharif,assam,kamrup,rice,85417.0,85647.0
kharif,assam,kamrup metro,maize,71.0,71.0
kharif,assam,karbi anglong,maize,10480.0,0.0
kharif,assam,karbi anglong,rice,128687.0,139167.0
kharif,assam,karimganj,maize,20.0,0.0
kharif,assam,karimganj,rice,59309.0,59329.0
kharif,assam,kokrajhar,maize,971.0,0.0
kharif,assam,kokrajhar,rice,82906.0,83877.0
kharif,assam,lakhimpur,maize,109.0,0.0
kharif,assam,lakhimpur,rice,106000.0,106109.0
kharif,assam,marigaon,maize,470.0,470.0
kharif,assam,morigaon,rice,46123.0,46123.0
kharif,assam,nagaon,maize,639.0,0.0
kharif,assam,nagaon,rice,152539.0,153178.0
kharif,assam,nalbari,maize,550.0,0.0
kharif,assam,nalbari,rice,64785.0,65335.0
kharif,assam,sivasagar,maize,57.0,0.0
kharif,assam,sivasagar,rice,102490.0,102547.0
kharif,assam,sonitpur,maize,1555.0,0.0
kharif,assam,sonitpur,rice,142788.0,144343.0
kharif,assam,tinsukia,maize,1208.0,0.0
kharif,assam,tinsukia,rice,62629.0,63837.0
kharif,assam,udalguri,maize,458.0,0.0
kharif,assam,udalguri,rice,82100.0,82558.0
kharif,bihar,araria,maize,3383.0,0.0
kharif,bihar,araria,ragi,0.0,0.0
kharif,bihar,araria,rice,149016.0,152399.0
kharif,bihar,arwal,maize,150.0,0.0
kharif,bihar,arwal,ragi,37.0,0.0
kharif,bihar,arwal,rice,42519.0,42706.0
kharif,bihar,aurangabad,maize,228.0,0.0
kharif,bihar,aurangabad,ragi,13.0,0.0
kharif,bihar,aurangabad,rice,178069.0,178310.0
kharif,bihar,banka,maize,6184.0,0.0
kharif,bihar,banka,rice,91762.0,97946.0
kharif,bihar,begusarai,bajra,0.0,0.0
kharif,bihar,begusarai,jowar,91.0,0.0
kharif,bihar,begusarai,maize,22924.0,0.0
kharif,bihar,begusarai,ragi,12.0,0.0
kharif,bihar,begusarai,rice,18684.0,41711.0
kharif,bihar,bhagalpur,bajra,10.0,0.0
kharif,bihar,bhagalpur,jowar,8.0,0.0
kharif,bihar,bhagalpur,maize,16900.0,0.0
kharif,bihar,bhagalpur,rice,33691.0,50609.0
kharif,bihar,bhojpur,bajra,975.0,0.0
kharif,bihar,bhojpur,jowar,608.0,0.0
kharif,bihar,bhojpur,maize,1723.0,0.0
kharif,bihar,bhojpur,ragi,1.0,0.0
kharif,bihar,bhojpur,rice,97105.0,100412.0
kharif,bihar,buxar,bajra,3299.0,0.0
kharif,bihar,buxar,jowar,642.0,0.0
kharif,bihar,buxar,maize,1099.0,0.0
kharif,bihar,buxar,rice,87481.0,92521.0
kharif,bihar,darbhanga,jowar,0.0,0.0
kharif,bihar,darbhanga,maize,1546.0,0.0
kharif,bihar,darbhanga,ragi,585.0,0.0
kharif,bihar,darbhanga,rice,76855.0,78986.0
kharif,bihar,gaya,bajra,0.0,0.0
kharif,bihar,gaya,jowar,0.0,0.0
kharif,bihar,gaya,maize,2061.0,0.0
kharif,bihar,gaya,ragi,91.0,0.0
kharif,bihar,gaya,rice,100016.0,102168.0
kharif,bihar,gopalganj,bajra,0.0,0.0
kharif,bihar,gopalganj,maize,5084.0,0.0
kharif,bihar,gopalganj,ragi,15.0,0.0
kharif,bihar,gopalganj,rice,83241.0,88340.0
kharif,bihar,jamui,maize,2105.0,0.0
kharif,bihar,jamui,rice,65798.0,67903.0
kharif,bihar,jehanabad,maize,156.0,0.0
kharif,bihar,jehanabad,ragi,17.0,0.0
kharif,bihar,jehanabad,rice,35531.0,35704.0
kharif,bihar,kaimur,rice,117434.0,117434.0
kharif,bihar,kaimur (bhabua),maize,119.0,0.0
kharif,bihar,kaimur (bhabua),ragi,0.0,0.0
kharif,bihar,kaimur (bhabua),rice,0.0,119.0
kharif,bihar,katihar,bajra,0.0,0.0
kharif,bihar,katihar,maize,14832.0,42734.0
kharif,bihar,katihar,rice,27902.0,0.0
kharif,bihar,khagaria,jowar,0.0,0.0
kharif,bihar,khagaria,maize,17946.0,0.0
kharif,bihar,khagaria,ragi,91.0,0.0
kharif,bihar,khagaria,rice,18540.0,36577.0
kharif,bihar,kishanganj,maize,368.0,0.0
kharif,bihar,kishanganj,ragi,113.0,0.0
kharif,bihar,kishanganj,rice,65204.0,65685.0
kharif,bihar,lakhisarai,maize,2474.0,0.0
kharif,bihar,lakhisarai,rice,31680.0,34154.0
kharif,bihar,madhepura,bajra,0.0,0.0
kharif,bihar,madhepura,maize,6033.0,0.0
kharif,bihar,madhepura,ragi,67.0,0.0
kharif,bihar,madhepura,rice,70413.0,76513.0
kharif,bihar,madhubani,jowar,0.0,0.0
kharif,bihar,madhubani,maize,48.0,0.0
kharif,bihar,madhubani,ragi,69.0,0.0
kharif,bihar,madhubani,rice,197857.0,197974.0
kharif,bihar,munger,maize,771.0,0.0
kharif,bihar,munger,ragi,0.0,0.0
kharif,bihar,munger,rice,26914.0,27685.0
kharif,bihar,muzaffarpur,maize,12245.0,0.0
kharif,bihar,muzaffarpur,ragi,1.0,0.0
kharif,bihar,muzaffarpur,rice,122744.0,134990.0
kharif,bihar,nalanda,maize,1930.0,0.0
kharif,bihar,nalanda,ragi,1.0,0.0
kharif,bihar,nalanda,rice,119782.0,121713.0
kharif,bihar,nawada,bajra,0.0,0.0
kharif,bihar,nawada,jowar,0.0,0.0
kharif,bihar,nawada,maize,826.0,0.0
kharif,bihar,nawada,ragi,90.0,0.0
kharif,bihar,nawada,rice,77048.0,77964.0
kharif,bihar,pashchim champaran,bajra,0.0,0.0
kharif,bihar,pashchim champaran,jowar,0.0,0.0
kharif,bihar,pashchim champaran,maize,934.0,0.0
kharif,bihar,pashchim champaran,ragi,2.0,0.0
kharif,bihar,pashchim champaran,rice,140276.0,141212.0
kharif,bihar,patna,bajra,14.0,0.0
kharif,bihar,patna,jowar,9.0,0.0
kharif,bihar,patna,maize,3418.0,0.0
kharif,bihar,patna,ragi,0.0,0.0
kharif,bihar,patna,rice,72103.0,75544.0
kharif,bihar,purbi champaran,bajra,0.0,0.0
kharif,bihar,purbi champaran,maize,38281.0,0.0
kharif,bihar,purbi champaran,ragi,0.0,0.0
kharif,bihar,purbi champaran,rice,188947.0,227228.0
kharif,bihar,purnia,maize,5563.0,0.0
kharif,bihar,purnia,rice,105508.0,111071.0
kharif,bihar,rohtas,bajra,0.0,0.0
kharif,bihar,rohtas,jowar,0.0,0.0
kharif,bihar,rohtas,maize,74.0,0.0
kharif,bihar,rohtas,ragi,0.0,0.0
kharif,bihar,rohtas,rice,190723.0,190797.0
kharif,bihar,saharsa,jowar,0.0,0.0
kharif,bihar,saharsa,maize,0.0,0.0
kharif,bihar,saharsa,ragi,447.0,0.0
kharif,bihar,saharsa,rice,66699.0,67146.0
kharif,bihar,samastipur,bajra,0.0,112144.0
kharif,bihar,samastipur,jowar,0.0,0.0
kharif,bihar,samastipur,maize,17182.0,0.0
kharif,bihar,samastipur,ragi,1.0,0.0
kharif,bihar,samastipur,rice,94961.0,0.0
kharif,bihar,saran,bajra,0.0,38747.958990968735
kharif,bihar,saran,jowar,0.0,0.0
kharif,bihar,saran,maize,16061.0,2792.797705219822
kharif,bihar,saran,ragi,392.0,0.0
kharif,bihar,saran,rice,62387.0,37299.24330381144
kharif,bihar,sheikhpura,jowar,0.0,0.0
