source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,4431651.608974599
bajra,jowar,reallocated,1650576.7903445703
bajra,maize,reallocated,340761.0094244495
bajra,ragi,reallocated,254142.20023098006
bajra,rice,reallocated,813794.0
bajra,wheat,reallocated,74887.39102540076
jowar,bajra,reallocated,612781.1871238633
jowar,jowar,retained,4135890.7967243027
jowar,maize,reallocated,738741.0024713259
jowar,ragi,reallocated,138072.99752867414
jowar,rice,reallocated,323853.3736625852
jowar,wheat,reallocated,288889.6424892488
maize,bajra,reallocated,1449127.2503204767
maize,jowar,reallocated,2372174.426011494
maize,maize,retained,3022865.88055564
maize,ragi,reallocated,240511.36073027021
maize,rice,reallocated,1992796.808435295
maize,wheat,reallocated,362062.0939468243
ragi,bajra,reallocated,10477.6134368674
ragi,jowar,reallocated,440782.0
ragi,maize,reallocated,479001.0941524202
ragi,ragi,retained,121876.3631637004
ragi,rice,reallocated,142572.3865631326
ragi,wheat,reallocated,274.542683879426
rice,bajra,reallocated,2184806.8064942188
rice,jowar,reallocated,3643237.4284963193
rice,maize,reallocated,8148730.521651238
rice,ragi,reallocated,2048420.6310261453
rice,rice,retained,27958428.266990256
rice,wheat,reallocated,561281.0953412789
wheat,bajra,reallocated,235593.15216176832
wheat,jowar,reallocated,1051789.5466130096
wheat,maize,reallocated,1450775.0445584133
wheat,ragi,reallocated,12254.20525913658
wheat,rice,reallocated,867096.1645374321
wheat,wheat,retained,27113924.38687024
