scenario,metric,center_pct_reduction,center_display_pct,bootstrap_mean_pct_reduction,bootstrap_p2_5_pct_reduction,bootstrap_p97_5_pct_reduction,bootstrap_mean_display_pct,display_interval_low,display_interval_high,lower_err_display,upper_err_display,n_optimal,n_total
Nitrogen based,Nitrogen Emission,17.80027045195203,-17.80027045195203,19.758582383677684,18.652609432241018,20.925816219618877,-19.758582383677684,-20.925816219618877,-18.652609432241018,3.1255457676668463,0.0,500,500
Water based,Nitrogen Emission,7.390943854097443,-7.390943854097443,6.771441972768798,4.908712847734933,8.59410592907619,-6.771441972768798,-8.59410592907619,-4.908712847734933,1.2031620749787466,2.4822310063625093,500,500
Nitrogen based,Nitrogen Leach,19.797991969595266,-19.797991969595266,21.478446578740105,20.241556855770607,22.790009602409683,-21.478446578740105,-22.790009602409683,-20.241556855770607,2.9920176328144166,0.0,500,500
Water based,Nitrogen Leach,9.972299528945326,-9.972299528945326,9.410228517176748,7.639027043054109,11.229097412958508,-9.410228517176748,-11.229097412958508,-7.639027043054109,1.2567978840131815,2.333272485891217,500,500
Nitrogen based,Greenhouse Gas emission,24.671536782589822,-24.671536782589822,23.04827863769181,21.21705177368359,24.706421520833537,-23.04827863769181,-24.706421520833537,-21.21705177368359,0.03488473824371496,3.4544850089062322,500,500
Water based,Greenhouse Gas emission,31.11691303173235,-31.11691303173235,29.954063178187134,29.120763321121224,30.67860153239085,-29.954063178187134,-30.67860153239085,-29.120763321121224,0.0,1.9961497106111246,500,500
Nitrogen based,Profit,-3.6253246862156248,3.6253246862156248,-2.7967490970741764,-4.32589249587496,-1.486489679958009,2.7967490970741764,1.486489679958009,4.32589249587496,2.138835006257616,0.7005678096593355,500,500
Water based,Profit,-3.411984828731278,3.411984828731278,-2.2444232450465016,-3.4490325429191944,-0.6922014816617599,2.2444232450465016,0.6922014816617599,3.4490325429191944,2.7197833470695185,0.03704771418791619,500,500
Nitrogen based,Calorie,-5.182059554515627,5.182059554515627,-4.66836032990338,-5.487215616896097,-3.932778540730488,4.66836032990338,3.932778540730488,5.487215616896097,1.2492810137851391,0.3051560623804699,500,500
Water based,Calorie,-8.442332927368074,8.442332927368074,-7.22874426510499,-8.027762631091129,-6.2477248102917775,7.22874426510499,6.2477248102917775,8.027762631091129,2.1946081170762968,0.0,500,500
Nitrogen based,Phosphorus application,8.414114480042619,-8.414114480042619,9.317985620585132,7.438826573429929,11.018773131369215,-9.317985620585132,-11.018773131369215,-7.438826573429929,2.604658651326597,0.9752879066126896,500,500
Water based,Phosphorus application,1.8450989308150643,-1.8450989308150643,2.609964365019243,0.5338067638446568,4.638722819196981,-2.609964365019243,-4.638722819196981,-0.5338067638446568,2.7936238883819167,1.3112921669704076,500,500
Nitrogen based,Nitrogen application,9.6835009418088,-9.6835009418088,11.14691533717389,10.479372402766185,11.887802388840147,-11.14691533717389,-11.887802388840147,-10.479372402766185,2.2043014470313462,0.0,500,500
Water based,Nitrogen application,1.9052473824039167,-1.9052473824039167,1.8746025041478687,0.6858796069809691,3.1631764425101214,-1.8746025041478687,-3.1631764425101214,-0.6858796069809691,1.2579290601062048,1.2193677754229477,500,500
Nitrogen based,Phosphorus Surplus,13.022729943731752,-13.022729943731752,13.935214652785216,11.629327065012191,16.082630769506398,-13.935214652785216,-16.082630769506398,-11.629327065012191,3.059900825774646,1.3934028787195611,500,500
Water based,Phosphorus Surplus,5.681845077065391,-5.681845077065391,6.286957272240738,3.6404887275397213,8.848200718698077,-6.286957272240738,-8.848200718698077,-3.6404887275397213,3.166355641632686,2.04135634952567,500,500
Nitrogen based,Nitrogen Surplus,17.621137887895475,-17.621137887895475,19.520325695003216,18.458509821995452,20.660545005505988,-19.520325695003216,-20.660545005505988,-18.458509821995452,3.039407117610512,0.0,500,500
Water based,Nitrogen Surplus,7.485606230196606,-7.485606230196606,6.880752675905737,5.080141165720766,8.649296514214482,-6.880752675905737,-8.649296514214482,-5.080141165720766,1.1636902840178758,2.40546506447584,500,500
Nitrogen based,Water Demand,25.526635101897405,-25.526635101897405,24.073965872077256,20.137315959234638,27.345424740175137,-24.073965872077256,-27.345424740175137,-20.137315959234638,1.8187896382777318,5.389319142662767,500,500
Water based,Water Demand,35.69814672617745,-35.69814672617745,37.54157886874564,36.395223277091105,38.67210016422822,-37.54157886874564,-38.67210016422822,-36.395223277091105,2.9739534380507706,0.0,500,500
