iteration,scenario,season,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
0,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.36594332198108,-23.36594332198108
0,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,10.583518912014345,-10.583518912014345
0,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,20.901983978558395,-20.901983978558395
0,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,10.425051724578319,-10.425051724578319
0,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,28.45718608162411,-28.45718608162411
0,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,38.47176302278107,-38.47176302278107
0,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-3.481264526242962,3.481264526242962
0,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-15.752794735158949,15.752794735158949
0,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.370200638926183,2.370200638926183
0,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.7420487515564753,3.7420487515564753
0,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.904468468211611,-15.904468468211611
0,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.427978400065246,-6.427978400065246
0,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.723993825851824,-13.723993825851824
0,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.9342655680753853,-3.9342655680753853
0,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,21.640655442090615,-21.640655442090615
0,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,10.249348824703285,-10.249348824703285
0,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,21.97917990969469,-21.97917990969469
0,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.662276881405659,-7.662276881405659
0,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,30.23788779181605,-30.23788779181605
0,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,47.30574100360377,-47.30574100360377
1,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,24.83793559458538,-24.83793559458538
1,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,8.855657398357545,-8.855657398357545
1,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,22.82582143940527,-22.82582143940527
1,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.55405750322185,-8.55405750322185
1,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,29.202738946280835,-29.202738946280835
1,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.2509283458421,-39.2509283458421
1,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-5.028839540890978,5.028839540890978
1,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-17.452041426232594,17.452041426232594
1,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.6718422681973903,2.6718422681973903
1,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-4.198407929192283,4.198407929192283
1,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.076631693851297,-15.076631693851297
1,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.212722570597892,-5.212722570597892
1,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,14.643494218880775,-14.643494218880775
1,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.4968058473677583,-2.4968058473677583
1,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,20.699896993048966,-20.699896993048966
1,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,8.834780202816187,-8.834780202816187
1,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,23.517974654942787,-23.517974654942787
1,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,5.5368274704955995,-5.5368274704955995
1,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,23.960514673085832,-23.960514673085832
1,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,47.37064763252533,-47.37064763252533
2,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,24.511108611068998,-24.511108611068998
2,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,8.825954243785697,-8.825954243785697
2,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,22.66465332398436,-22.66465332398436
