scenario,metric,center_pct_reduction,center_display_pct,bootstrap_mean_pct_reduction,bootstrap_p2_5_pct_reduction,bootstrap_p97_5_pct_reduction,bootstrap_mean_display_pct,display_interval_low,display_interval_high,lower_err_display,upper_err_display,n_optimal,n_total
Nitrogen based,Nitrogen Emission,22.366353397098393,-22.366353397098393,23.83379037506127,22.649997138443815,24.95989635528918,-23.83379037506127,-24.95989635528918,-22.649997138443815,2.5935429581907883,0.0,100,100
Water based,Nitrogen Emission,12.300057803885561,-12.300057803885561,9.73865412534442,7.653371986097648,12.144539368969475,-9.73865412534442,-12.144539368969475,-7.653371986097648,0.0,4.646685817787914,100,100
Nitrogen based,Nitrogen Leach,18.62104498433123,-18.62104498433123,21.68597116144882,20.50087863780801,23.132295777831295,-21.68597116144882,-23.132295777831295,-20.50087863780801,4.511250793500064,0.0,100,100
Water based,Nitrogen Leach,9.370499117253889,-9.370499117253889,8.693401094433996,6.606999090894436,10.79883918143054,-8.693401094433996,-10.79883918143054,-6.606999090894436,1.4283400641766502,2.763500026359453,100,100
Nitrogen based,Greenhouse Gas emission,27.931731224690186,-27.931731224690186,28.904637459394372,27.233763645327663,30.480618536491626,-28.904637459394372,-30.480618536491626,-27.233763645327663,2.5488873118014403,0.6979675793625226,100,100
Water based,Greenhouse Gas emission,40.105628358513336,-40.105628358513336,39.80110665621087,38.4580015201942,41.313859533561306,-39.80110665621087,-41.313859533561306,-38.4580015201942,1.2082311750479704,1.647626838319134,100,100
Nitrogen based,Profit,-7.812597862669804,7.812597862669804,-6.3212297074082695,-9.73857716314455,-2.4940104024405056,6.3212297074082695,2.4940104024405056,9.73857716314455,5.318587460229299,1.9259793004747454,100,100
Water based,Profit,-23.78297107713854,23.78297107713854,-14.250909077766803,-18.621290010227707,-9.569663447670377,14.250909077766803,9.569663447670377,18.621290010227707,14.213307629468163,0.0,100,100
Nitrogen based,Calorie,-2.410488850904521,2.410488850904521,-2.3543915073337716,-3.1328682360823943,-1.508738056303053,2.3543915073337716,1.508738056303053,3.1328682360823943,0.901750794601468,0.7223793851778733,100,100
Water based,Calorie,-6.533119825045244,6.533119825045244,-3.9761591199978312,-4.8747681056128185,-2.979371900889586,3.9761591199978312,2.979371900889586,4.8747681056128185,3.5537479241556578,0.0,100,100
Nitrogen based,Phosphorus application,14.95050333609954,-14.95050333609954,14.583413687435057,13.20017308106005,16.06917808612898,-14.583413687435057,-16.06917808612898,-13.20017308106005,1.118674750029438,1.75033025503949,100,100
Water based,Phosphorus application,7.954648405266731,-7.954648405266731,5.468880155810788,3.627914377339661,7.398444355000898,-5.468880155810788,-7.398444355000898,-3.627914377339661,0.0,4.3267340279270705,100,100
Nitrogen based,Nitrogen application,13.443928627684738,-13.443928627684738,14.086487044100211,13.351968242656085,14.789734558356047,-14.086487044100211,-14.789734558356047,-13.351968242656085,1.3458059306713093,0.09196038502865278,100,100
Water based,Nitrogen application,5.992477409147195,-5.992477409147195,3.2324421850749543,1.8305029840118026,4.729512781463784,-3.2324421850749543,-4.729512781463784,-1.8305029840118026,0.0,4.1619744251353925,100,100
Nitrogen based,Phosphorus Surplus,20.294566866658663,-20.294566866658663,19.974738593595113,18.330968217839253,21.85375243350597,-19.974738593595113,-21.85375243350597,-18.330968217839253,1.559185566847308,1.96359864881941,100,100
Water based,Phosphorus Surplus,12.772201441071772,-12.772201441071772,9.106026230395594,6.7614321457558955,11.692701862606887,-9.106026230395594,-11.692701862606887,-6.7614321457558955,0.0,6.0107692953158764,100,100
Nitrogen based,Nitrogen Surplus,21.243009280170774,-21.243009280170774,22.46891078757881,21.296038167877512,23.63224305917892,-22.46891078757881,-23.63224305917892,-21.296038167877512,2.389233779008144,0.0,100,100
Water based,Nitrogen Surplus,11.455138513455509,-11.455138513455509,6.530187585750423,4.251064243137371,8.953496517412168,-6.530187585750423,-8.953496517412168,-4.251064243137371,0.0,7.204074270318138,100,100
Nitrogen based,Water Demand,35.340386245630796,-35.340386245630796,28.40306648630683,17.728626431681242,33.827698482675586,-28.40306648630683,-33.827698482675586,-17.728626431681242,0.0,17.611759813949554,100,100
Water based,Water Demand,43.37746092441817,-43.37746092441817,47.109370145146485,45.65361180979151,48.341994005795485,-47.109370145146485,-48.341994005795485,-45.65361180979151,4.964533081377311,0.0,100,100
