scenario,metric,baseline_total,reproduced_pct_reduction,existing_center_pct_reduction,delta_pct_points,solver_status
Nitrogen based,Nitrogen Emission,287739236.80885214,23.717342546634267,22.366353397098393,1.3509891495358737,kharif:Optimal;rabi:Optimal
Water based,Nitrogen Emission,287739236.80885214,14.495638376011847,12.300057803885561,2.1955805721262855,kharif:Optimal;rabi:Optimal
Nitrogen based,Nitrogen Leach,2391590187.444786,21.2387724719731,18.62104498433123,2.6177274876418686,kharif:Optimal;rabi:Optimal
Water based,Nitrogen Leach,2391590187.444786,12.789274641978782,9.370499117253889,3.418775524724893,kharif:Optimal;rabi:Optimal
Nitrogen based,Greenhouse Gas emission,398546513.153932,30.08280834904337,27.931731224690186,2.1510771243531828,kharif:Optimal;rabi:Optimal
Water based,Greenhouse Gas emission,398546513.153932,42.77148462413194,40.105628358513336,2.665856265618608,kharif:Optimal;rabi:Optimal
Nitrogen based,Profit,550112782949.4415,-4.600295073128474,-7.812597862669804,3.2123027895413303,kharif:Optimal;rabi:Optimal
Water based,Profit,550112782949.4415,-19.36972214235534,-23.78297107713854,4.413248934783201,kharif:Optimal;rabi:Optimal
Nitrogen based,Calorie,955924593799921.0,-0.6454279129789411,-2.410488850904521,1.76506093792558,kharif:Optimal;rabi:Optimal
Water based,Calorie,955924593799921.0,-3.606508955202759,-6.533119825045244,2.926610869842485,kharif:Optimal;rabi:Optimal
Nitrogen based,Phosphorus application,4580861940.3896265,16.528845343985537,14.95050333609954,1.5783420078859969,kharif:Optimal;rabi:Optimal
Water based,Phosphorus application,4580861940.3896265,10.412490957816066,7.954648405266731,2.4578425525493355,kharif:Optimal;rabi:Optimal
Nitrogen based,Nitrogen application,12891996042.564434,15.05698075809051,13.443928627684738,1.613052130405773,kharif:Optimal;rabi:Optimal
Water based,Nitrogen application,12891996042.564434,8.44258973909277,5.992477409147195,2.4501123299455756,kharif:Optimal;rabi:Optimal
Nitrogen based,Phosphorus Surplus,3589737437.875405,21.834761025314844,20.294566866658663,1.5401941586561811,kharif:Optimal;rabi:Optimal
Water based,Phosphorus Surplus,3589737437.875405,15.136647135163134,12.772201441071772,2.364445694091362,kharif:Optimal;rabi:Optimal
Nitrogen based,Nitrogen Surplus,8285335580.939312,22.813106096480414,21.243009280170774,1.5700968163096398,kharif:Optimal;rabi:Optimal
Water based,Nitrogen Surplus,8285335580.939312,13.836792120356465,11.455138513455509,2.381653606900956,kharif:Optimal;rabi:Optimal
Nitrogen based,Water Demand,467586094005.25684,36.75781894057759,35.340386245630796,1.4174326949467968,kharif:Optimal;rabi:Optimal
Water based,Water Demand,467586094005.25684,45.284417139571474,43.37746092441817,1.9069562151533006,kharif:Optimal;rabi:Optimal
