iteration,scenario,season,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
0,Nitrogen based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
0,Nitrogen based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
0,Water based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
1,Nitrogen based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
1,Water based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
2,Nitrogen based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
2,Water based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Greenhouse Gas emission,AGHG,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Profit,profit,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Calorie,Calorie,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Phosphorus application,P_applied,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Nitrogen application,N_applied,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Phosphorus Surplus,P_surplus,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Nitrogen Surplus,N_surplus,Infeasible,Infeasible,Infeasible,,
3,Nitrogen based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
3,Water based,annual,Water Demand,water,Infeasible,Infeasible,Infeasible,,
4,Nitrogen based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
4,Water based,annual,Nitrogen Emission,N_emission,Infeasible,Infeasible,Infeasible,,
4,Nitrogen based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
4,Water based,annual,Nitrogen Leach,N_leach,Infeasible,Infeasible,Infeasible,,
