scenario,metric,original_total,optimized_total,pct_reduction,display_pct_change
Nitrogen based,Nitrogen Emission,287739236.80885214,277536450.5599574,3.5458446203054876,-3.5458446203054876
Water based,Nitrogen Emission,287739236.80885214,281277255.53243345,2.245776887464062,-2.245776887464062
Nitrogen based,Nitrogen Leach,2391590187.444786,2322212631.8502564,2.900896481292798,-2.900896481292798
Water based,Nitrogen Leach,2391590187.444786,2349464492.6151457,1.7614094191717757,-1.7614094191717757
Nitrogen based,Greenhouse Gas emission,398546513.153932,386639781.42278266,2.987538803670461,-2.987538803670461
Water based,Greenhouse Gas emission,398546513.153932,377486874.25514853,5.284110688141816,-5.284110688141816
Nitrogen based,Profit,550112782949.4415,567708630405.5492,-3.1985890896348836,3.1985890896348836
Water based,Profit,550112782949.4415,577438114501.1564,-4.967223521912996,4.967223521912996
Nitrogen based,Calorie,955924593799921.0,962591577419555.0,-0.6974382354921844,0.6974382354921844
Water based,Calorie,955924593799921.0,963950511126338.0,-0.8395973258217957,0.8395973258217957
Nitrogen based,Phosphorus application,4580861940.3896265,4484346332.237763,2.106931171640024,-2.106931171640024
Water based,Phosphorus application,4580861940.3896265,4509895859.06494,1.5491862066170456,-1.5491862066170456
Nitrogen based,Nitrogen application,12891996042.564434,12640866522.88345,1.9479490906749506,-1.9479490906749506
Water based,Nitrogen application,12891996042.564434,12755270772.313519,1.0605438428580107,-1.0605438428580107
Nitrogen based,Phosphorus Surplus,3589737437.875405,3482841033.558427,2.9778335091895993,-2.9778335091895993
Water based,Phosphorus Surplus,3589737437.875405,3504144694.4972854,2.384373366002438,-2.384373366002438
Nitrogen based,Nitrogen Surplus,8285335580.939312,8006780939.2533455,3.3620200288180317,-3.3620200288180317
Water based,Nitrogen Surplus,8285335580.939312,8109057855.651543,2.127587030914017,-2.127587030914017
Nitrogen based,Water Demand,467586094005.25684,470562849523.6798,-0.6366219091172347,0.6366219091172347
Water based,Water Demand,467586094005.25684,413726408183.7477,11.518667152856699,-11.518667152856699
