iteration,scenario,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
0,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,20.607256116744747,-20.607256116744747
0,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,6.801994132608919,-6.801994132608919
0,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,17.270562658627693,-17.270562658627693
0,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,5.464851733299411,-5.464851733299411
0,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,28.375494713380757,-28.375494713380757
0,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.20985586377239,-39.20985586377239
0,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-15.61538687334681,15.61538687334681
0,Water based,Profit,profit,Optimal,Optimal,Optimal,-19.320181856770667,19.320181856770667
0,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-2.358939869587558,2.358939869587558
0,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-4.073228302129595,4.073228302129595
0,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,13.962783256159407,-13.962783256159407
0,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.768933036915046,-6.768933036915046
0,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,11.99956889307755,-11.99956889307755
0,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.8971831606333582,-2.8971831606333582
0,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,19.302761745016998,-19.302761745016998
0,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,10.900174781694844,-10.900174781694844
0,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,19.81821304559173,-19.81821304559173
0,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,6.433313642133781,-6.433313642133781
0,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,29.287941459348207,-29.287941459348207
0,Water based,Water Demand,water,Optimal,Optimal,Optimal,46.77716360534945,-46.77716360534945
1,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,21.370935156647707,-21.370935156647707
1,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,7.490959261787057,-7.490959261787057
1,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,18.788347757195254,-18.788347757195254
1,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,6.982139564294762,-6.982139564294762
1,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,29.542468226026312,-29.542468226026312
1,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,37.76377725913422,-37.76377725913422
1,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-20.122755226657027,20.122755226657027
1,Water based,Profit,profit,Optimal,Optimal,Optimal,-18.236955496174286,18.236955496174286
1,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-2.8807716679705435,2.8807716679705435
1,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-3.7834263925266622,3.7834263925266622
1,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,11.054229146333002,-11.054229146333002
1,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.745499056841131,-5.745499056841131
1,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,12.333037834479669,-12.333037834479669
1,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.514204911232318,-3.514204911232318
1,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,15.799560494648999,-15.799560494648999
1,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,9.416930803762238,-9.416930803762238
1,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,20.607968001383696,-20.607968001383696
1,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.163592810722789,-7.163592810722789
1,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,31.13038726184023,-31.13038726184023
1,Water based,Water Demand,water,Optimal,Optimal,Optimal,46.56173354859625,-46.56173354859625
2,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,22.054980593613713,-22.054980593613713
2,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,8.093416994879304,-8.093416994879304
2,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,19.225932612062074,-19.225932612062074
2,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,6.586996832935123,-6.586996832935123
2,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,28.979722782172907,-28.979722782172907
2,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,40.35724659543166,-40.35724659543166
2,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-17.461918572749887,17.461918572749887
2,Water based,Profit,profit,Optimal,Optimal,Optimal,-18.346569586033834,18.346569586033834
2,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-2.7151746748191985,2.7151746748191985
2,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-3.9317725880751744,3.9317725880751744
2,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,12.839206685374823,-12.839206685374823
2,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.193288510736002,-6.193288510736002
2,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,12.854583278947622,-12.854583278947622
2,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.8292670789270353,-3.8292670789270353
2,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,17.98818756297678,-17.98818756297678
2,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,10.11798449038095,-10.11798449038095
2,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,21.237867986263918,-21.237867986263918
2,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.733930038274304,-7.733930038274304
2,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,23.52184175152438,-23.52184175152438
2,Water based,Water Demand,water,Optimal,Optimal,Optimal,45.70287947227528,-45.70287947227528
3,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,20.776554706026833,-20.776554706026833
3,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,5.598738533556965,-5.598738533556965
3,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,17.885379861627847,-17.885379861627847
3,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,4.864850078600656,-4.864850078600656
3,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,29.353393544699163,-29.353393544699163
3,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.14307116552935,-39.14307116552935
3,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-19.129311047823478,19.129311047823478
3,Water based,Profit,profit,Optimal,Optimal,Optimal,-20.785074301548125,20.785074301548125
3,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-2.1287011645436813,2.1287011645436813
3,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-4.309352661644994,4.309352661644994
3,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,12.832864491484811,-12.832864491484811
3,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,4.778435863398457,-4.778435863398457
3,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,12.17964497064134,-12.17964497064134
3,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.0042010434530972,-2.0042010434530972
3,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,17.85806199079112,-17.85806199079112
3,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,8.404948709343568,-8.404948709343568
3,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,19.93575944910343,-19.93575944910343
3,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,5.145878232363674,-5.145878232363674
3,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,25.23949096487079,-25.23949096487079
3,Water based,Water Demand,water,Optimal,Optimal,Optimal,46.333581319806925,-46.333581319806925
4,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,21.989784081188386,-21.989784081188386
4,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,6.510621246343304,-6.510621246343304
4,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,19.353223949468454,-19.353223949468454
4,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,5.630718332329962,-5.630718332329962
4,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,27.906904249256268,-27.906904249256268
4,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,40.163418758155494,-40.163418758155494
4,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-17.86581934787356,17.86581934787356
4,Water based,Profit,profit,Optimal,Optimal,Optimal,-18.415534749840585,18.415534749840585
4,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-2.0070800895111183,2.0070800895111183
4,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-5.03866719103843,5.03866719103843
4,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,14.05066479647122,-14.05066479647122
4,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,4.926235250233701,-4.926235250233701
4,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.05406433043359,-13.05406433043359
4,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.4609557029144655,-2.4609557029144655
4,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,19.27871716794624,-19.27871716794624
4,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,8.737883911723637,-8.737883911723637
4,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,21.13447341127736,-21.13447341127736
4,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,6.064250956720098,-6.064250956720098
4,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,28.64288163354803,-28.64288163354803
4,Water based,Water Demand,water,Optimal,Optimal,Optimal,46.62459781332882,-46.62459781332882
5,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,21.077563839395502,-21.077563839395502
5,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,5.647636359411938,-5.647636359411938
5,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,17.51689338605925,-17.51689338605925
5,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,3.8649040300739403,-3.8649040300739403
5,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,27.589718051385052,-27.589718051385052
5,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.323072360757024,-39.323072360757024
5,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-15.689587502423468,15.689587502423468
5,Water based,Profit,profit,Optimal,Optimal,Optimal,-19.894713213864158,19.894713213864158
5,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-2.490294400158362,2.490294400158362
5,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-3.8348507012398545,3.8348507012398545
5,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,12.492260513413298,-12.492260513413298
5,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,4.4326281742085545,-4.4326281742085545
5,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,12.082982494899083,-12.082982494899083
5,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.0876536905528207,-2.0876536905528207
5,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,17.4926479542472,-17.4926479542472
5,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,7.810117793593999,-7.810117793593999
5,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,20.13129347916116,-20.13129347916116
5,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,5.114805027686838,-5.114805027686838
5,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,24.62475140452135,-24.62475140452135
