scenario,metric,baseline_total,optimized_total,pct_reduction,display_pct_change
Water based,Nitrogen Emission,287739236.80885226,261303334.62501258,9.187451276032016,-9.187451276032016
Water based,Nitrogen Leach,2391590187.444785,2129099835.0254984,10.975557342444853,-10.975557342444853
Water based,Greenhouse Gas emission,398546513.1539321,183263897.79372182,54.01693610528738,-54.01693610528738
Water based,Profit,550112782949.4409,639375126431.2942,-16.226189655741393,16.226189655741393
Water based,Calorie,955924593799921.2,1033381986844843.2,-8.102876895029874,8.102876895029874
Water based,Phosphorus application,4580861940.3896265,4346610288.210074,5.113702513366463,-5.113702513366463
Water based,Nitrogen application,12891996042.56443,12497126504.28925,3.0629045880209156,-3.0629045880209156
Water based,Phosphorus Surplus,3589737437.8754067,3213484984.361795,10.481336310109008,-10.481336310109008
Water based,Nitrogen Surplus,8285335580.939308,7519054562.570041,9.248641903317985,-9.248641903317985
Water based,Water Demand,467586094005.25745,267036816407.03082,42.8903425849041,-42.8903425849041
Nitrogen based,Nitrogen Emission,287739236.80885226,229643749.3183699,20.190325148139497,-20.190325148139497
Nitrogen based,Nitrogen Leach,2391590187.444785,1852849788.3417366,22.526451309730778,-22.526451309730778
Nitrogen based,Greenhouse Gas emission,398546513.1539321,240279871.5055017,39.71095880276903,-39.71095880276903
Nitrogen based,Profit,550112782949.4409,648636912810.0697,-17.909805573393452,17.909805573393452
Nitrogen based,Calorie,955924593799921.2,1013802155162894.2,-6.054615786471438,6.054615786471438
Nitrogen based,Phosphorus application,4580861940.3896265,4071253831.419733,11.124720971759928,-11.124720971759928
Nitrogen based,Nitrogen application,12891996042.56443,11498738207.65483,10.807153758887265,-10.807153758887265
Nitrogen based,Phosphorus Surplus,3589737437.8754067,2970597741.338879,17.247492532572707,-17.247492532572707
Nitrogen based,Nitrogen Surplus,8285335580.939308,6624987861.425215,20.039595298152786,-20.039595298152786
Nitrogen based,Water Demand,467586094005.25745,318394096594.1963,31.906850807539982,-31.906850807539982
