scenario,metric,n_states,n_boot,national_pct_reduction,bootstrap_mean_pct_reduction,bootstrap_median_pct_reduction,bootstrap_p2_5_pct_reduction,bootstrap_p10_pct_reduction,bootstrap_p90_pct_reduction,bootstrap_p97_5_pct_reduction,national_display_pct_change,bootstrap_p2_5_display_pct_change,bootstrap_p97_5_display_pct_change
Nitrogen based,Nitrogen Emission,32,5000,20.190325148139483,20.361306901920518,20.155560002668494,14.145266973600167,15.960437508468232,25.123019718747305,27.87164418739612,-20.190325148139483,-27.87164418739612,-14.145266973600167
Water based,Nitrogen Emission,32,5000,9.187451276031986,9.236848095129119,9.178141118926867,2.868060519155871,5.0744733071344905,13.409704610384665,15.942898096907063,-9.187451276031986,-15.942898096907063,-2.868060519155871
Nitrogen based,Nitrogen Leach,32,5000,22.52645130973078,22.313887860777495,21.914362270742856,12.97912951309517,15.448551892733432,29.738317700053077,34.01553442991358,-22.52645130973078,-34.01553442991358,-12.97912951309517
Water based,Nitrogen Leach,32,5000,10.97555734244486,10.774413590275495,10.667410667126866,2.3177079063386024,4.876075800748043,17.006760318314747,20.65474140325592,-10.97555734244486,-20.65474140325592,-2.3177079063386024
Nitrogen based,Greenhouse Gas emission,32,5000,39.71095880276902,39.76974406047551,39.52102034207506,27.651999372072645,31.456718087009953,48.17736701335117,53.22175646369585,-39.71095880276902,-53.22175646369585,-27.651999372072645
Water based,Greenhouse Gas emission,32,5000,54.01693610528739,54.1561609176846,54.25864485943896,40.663686830945466,45.53188286518084,62.53631839648041,66.77835142010753,-54.01693610528739,-66.77835142010753,-40.663686830945466
Nitrogen based,Profit,32,5000,-17.909805573393477,-54.66092277579042,-16.9922227786686,-104.4714994588872,-48.51047211743318,-5.7879603509517965,-3.038545698589812,17.909805573393477,3.038545698589812,104.4714994588872
Water based,Profit,32,5000,-16.22618965574144,-38.010940846540514,-15.843087164846558,-80.61891103663055,-41.14189069925336,-5.94897746756683,-3.42620448884392,16.22618965574144,3.42620448884392,80.61891103663055
Nitrogen based,Calorie,32,5000,-6.054615786471478,-6.290009831034352,-5.6524330655791015,-15.04116302666594,-11.018232143119274,-2.150422957963278,-1.0855660999577508,6.054615786471478,1.0855660999577508,15.04116302666594
Water based,Calorie,32,5000,-8.102876895029876,-8.413256459710512,-7.76478786397694,-18.89757775598952,-14.207632084050159,-3.4363342562071417,-1.7337965192620293,8.102876895029876,1.7337965192620293,18.89757775598952
Nitrogen based,Phosphorus application,32,5000,11.124720971759944,11.020754752356838,10.913740224826256,6.706085552395781,8.212267515484374,13.99878659556229,15.925594742990498,-11.124720971759944,-15.925594742990498,-6.706085552395781
Water based,Phosphorus application,32,5000,5.113702513366504,4.930803408719539,5.270780255423777,-4.214808640047189,-0.6183710128465635,10.006799608424883,12.38080694499438,-5.113702513366504,-12.38080694499438,4.214808640047189
Nitrogen based,Nitrogen application,32,5000,10.807153758887296,10.941648262873821,10.736702565068136,6.878059716647663,8.024778626309928,14.062444036311181,16.21641454447838,-10.807153758887296,-16.21641454447838,-6.878059716647663
Water based,Nitrogen application,32,5000,3.0629045880209156,3.0442230678894933,3.0927078873176916,-1.3156150130211992,0.3455671220168214,5.607487987124462,7.120042447843077,-3.0629045880209156,-7.120042447843077,1.3156150130211992
Nitrogen based,Phosphorus Surplus,32,5000,17.247492532572696,17.174403475209,17.012889967347643,11.681685293954882,13.56700783984399,21.096325279726344,23.469733070166374,-17.247492532572696,-23.469733070166374,-11.681685293954882
Water based,Phosphorus Surplus,32,5000,10.481336310108993,10.350006152771272,10.70037597664321,-0.6514660636151455,3.5397660875417354,16.709531222944662,19.568119551360518,-10.481336310108993,-19.568119551360518,0.6514660636151455
Nitrogen based,Nitrogen Surplus,32,5000,20.039595298152786,20.22487920363514,19.978420278922304,13.752289915018629,15.63181798709926,25.121481596362393,28.160317251420032,-20.039595298152786,-28.160317251420032,-13.752289915018629
Water based,Nitrogen Surplus,32,5000,9.248641903317985,9.301527464889453,9.214065816624625,2.9126996109471044,5.114904616922081,13.525695276981478,16.208587109895703,-9.248641903317985,-16.208587109895703,-2.9126996109471044
Nitrogen based,Water Demand,32,5000,31.906850807539968,31.329317666388118,31.384428440357404,18.385337138153854,22.3661198203148,40.19055031593678,44.35090664106468,-31.906850807539968,-44.35090664106468,-18.385337138153854
Water based,Water Demand,32,5000,42.89034258490408,42.23272396375698,42.25573065533476,28.247889204012193,32.88106217121409,51.55553726827217,56.11937239487548,-42.89034258490408,-56.11937239487548,-28.247889204012193
