scenario,state,metric,baseline_total,optimized_total,pct_reduction,display_pct_change
Water based,andaman and nicobar,Nitrogen Emission,19298.15213232409,19298.15213232409,0.0,-0.0
Water based,andhra pradesh,Nitrogen Emission,12380669.686144806,11989891.661875613,3.156356111386387,-3.156356111386387
Water based,arunachal pradesh,Nitrogen Emission,658219.1957840335,621246.1232239263,5.617136783145162,-5.617136783145162
Water based,assam,Nitrogen Emission,3404824.792011739,3411645.065591631,-0.20031202768181253,0.20031202768181253
Water based,bihar,Nitrogen Emission,17229924.153120786,15186644.159578837,11.858903007253561,-11.858903007253561
Water based,chandigarh,Nitrogen Emission,669.4940314547899,669.4940314752943,-3.0626607130820786e-09,3.0626607130820786e-09
Water based,chhattisgarh,Nitrogen Emission,12967051.867193893,8586772.301729707,33.78007283634079,-33.78007283634079
Water based,dadra and nagar haveli,Nitrogen Emission,55280.245550673266,55484.11842156245,-0.3687987794886048,0.3687987794886048
Water based,gujarat,Nitrogen Emission,12255855.33122633,8859902.564187758,27.70881897068518,-27.70881897068518
Water based,haryana,Nitrogen Emission,12314231.222677376,11662271.189471643,5.294362444690093,-5.294362444690093
Water based,himachal pradesh,Nitrogen Emission,1546000.4137708736,1630644.717187108,-5.475050502074395,5.475050502074395
Water based,jammu and kashmir,Nitrogen Emission,2125961.1685589203,2035471.8660330363,4.256394889245416,-4.256394889245416
Water based,jharkhand,Nitrogen Emission,6764834.715912898,8177443.542381229,-20.88164583157451,20.88164583157451
Water based,karnataka,Nitrogen Emission,15175707.180447802,10955544.93401571,27.808669449482384,-27.808669449482384
Water based,kerala,Nitrogen Emission,387569.5389878894,387569.53895660175,8.072787546872417e-09,-8.072787546872417e-09
Water based,madhya pradesh,Nitrogen Emission,19166239.30935448,16308776.070319606,14.908836276714078,-14.908836276714078
Water based,maharashtra,Nitrogen Emission,27537665.997866627,30652852.007053334,-11.312454764423553,11.312454764423553
Water based,manipur,Nitrogen Emission,739020.7138049202,680320.8702549915,7.942922634428861,-7.942922634428861
Water based,meghalaya,Nitrogen Emission,439276.2111784058,424017.4274460122,3.47361940940536,-3.47361940940536
Water based,mizoram,Nitrogen Emission,139855.04811568532,128346.71321774504,8.228759028005063,-8.228759028005063
Water based,nagaland,Nitrogen Emission,830616.5077481483,821336.7319066154,1.117215436361949,-1.117215436361949
Water based,odisha,Nitrogen Emission,7979870.624422508,7738841.907603364,3.0204589543278058,-3.0204589543278058
Water based,puducherry,Nitrogen Emission,66564.17038773213,66519.96079747862,0.06641649703735417,-0.06641649703735417
Water based,punjab,Nitrogen Emission,22362746.83882432,22397345.734957047,-0.15471666509526696,0.15471666509526696
Water based,rajasthan,Nitrogen Emission,17844515.495291293,16523299.93387035,7.404042781489799,-7.404042781489799
Water based,sikkim,Nitrogen Emission,139802.0065365865,138688.6806559546,0.7963590138747628,-0.7963590138747628
Water based,tamil nadu,Nitrogen Emission,8656736.838622373,4284576.011650598,50.50587661929616,-50.50587661929616
Water based,telangana,Nitrogen Emission,9219257.233024824,6989777.436546274,24.18285703638037,-24.18285703638037
Water based,tripura,Nitrogen Emission,889782.3268685986,887499.7327589509,0.2565339904739155,-0.2565339904739155
Water based,uttar pradesh,Nitrogen Emission,54866232.164149694,49842661.387555614,9.156033827080522,-9.156033827080522
Water based,uttarakhand,Nitrogen Emission,2245424.174910913,2122503.720233119,5.4742643305989604,-5.4742643305989604
Water based,west bengal,Nitrogen Emission,17329533.9901933,17715470.869367387,-2.2270470711589074,2.2270470711589074
Water based,andaman and nicobar,Nitrogen Leach,298189.3450219055,298189.3450219055,0.0,-0.0
Water based,andhra pradesh,Nitrogen Leach,90261306.92971492,87412338.65222168,3.1563561113863394,-3.1563561113863394
Water based,arunachal pradesh,Nitrogen Leach,13319492.970880533,12571318.83188477,5.617136783145148,-5.617136783145148
Water based,assam,Nitrogen Leach,69408269.69778039,69547302.81019087,-0.2003120276818137,0.2003120276818137
Water based,bihar,Nitrogen Leach,160709804.0573695,141651384.27105886,11.858903007253527,-11.858903007253527
Water based,chandigarh,Nitrogen Leach,10344.823968984667,10344.823968993933,-8.957070752912998e-11,8.957070752912998e-11
Water based,chhattisgarh,Nitrogen Leach,275700132.58030456,155972976.2749108,43.42658640924673,-43.42658640924673
Water based,dadra and nagar haveli,Nitrogen Leach,854174.0214491816,851148.2800974998,0.35423008376540466,-0.35423008376540466
Water based,gujarat,Nitrogen Leach,94243301.34011972,68129595.57978863,27.708818970685183,-27.708818970685183
Water based,haryana,Nitrogen Leach,88595219.85462084,83904667.80684716,5.294362444690118,-5.294362444690118
Water based,himachal pradesh,Nitrogen Leach,19578229.37783977,20650147.323688462,-5.4750505020743905,5.4750505020743905
Water based,jammu and kashmir,Nitrogen Leach,44067659.65536503,42191966.041983984,4.256394889245466,-4.256394889245466
Water based,jharkhand,Nitrogen Leach,104412917.64646244,126216053.31181026,-20.881645831574478,20.881645831574478
Water based,karnataka,Nitrogen Leach,86729359.61141416,62611078.68142312,27.808669449482384,-27.808669449482384
Water based,kerala,Nitrogen Leach,5516993.664835184,5516993.658515116,1.1455637010525683e-07,-1.1455637010525683e-07
Water based,madhya pradesh,Nitrogen Leach,89885043.98995455,76484229.94423983,14.908836276714046,-14.908836276714046
Water based,maharashtra,Nitrogen Leach,146019052.47608268,162537391.73487943,-11.312454764423558,11.312454764423558
Water based,manipur,Nitrogen Leach,15888945.346805783,14626898.710482316,7.9429226344288555,-7.9429226344288555
Water based,meghalaya,Nitrogen Leach,7114793.914760359,6867653.052398052,3.4736194094053503,-3.4736194094053503
Water based,mizoram,Nitrogen Leach,2656340.7035306063,2437756.828074258,8.228759028005083,-8.228759028005083
Water based,nagaland,Nitrogen Leach,18704150.323305286,18495184.668652978,1.1172154363619415,-1.1172154363619415
Water based,odisha,Nitrogen Leach,141202256.17890477,128933036.04454389,8.689110547083361,-8.689110547083361
Water based,puducherry,Nitrogen Leach,90031.3612783073,89971.5656019112,0.06641649703735507,-0.06641649703735507
Water based,punjab,Nitrogen Leach,213426917.19860405,213757124.20730937,-0.15471666509526744,0.15471666509526744
Water based,rajasthan,Nitrogen Leach,72991401.73827374,67587087.12676282,7.404042781489856,-7.404042781489856
Water based,sikkim,Nitrogen Leach,2706682.147172263,2685127.239916317,0.796359013874779,-0.796359013874779
Water based,tamil nadu,Nitrogen Leach,84188031.36040354,41668128.11330378,50.505876619296146,-50.505876619296146
Water based,telangana,Nitrogen Leach,45788977.59068998,34715894.60151316,24.1828570363804,-24.1828570363804
Water based,tripura,Nitrogen Leach,15766411.618782092,15725965.413901888,0.256533990473911,-0.256533990473911
Water based,uttar pradesh,Nitrogen Leach,225761053.6590422,205090295.21764693,9.156033827080508,-9.156033827080508
Water based,uttarakhand,Nitrogen Leach,19708541.72175693,18629644.05220158,5.474264330598946,-5.474264330598946
Water based,west bengal,Nitrogen Leach,235986160.53829128,241232940.81065825,-2.2233423605854314,2.2233423605854314
