scenario,metric,n_states,state_median_display_pct,state_p10_display_pct,state_p90_display_pct,state_p25_display_pct,state_p75_display_pct
Nitrogen based,Nitrogen Emission,32,-9.562570649638543,-34.71702655230992,-0.217951770467435,-19.025190582253,-1.868207317843473
Water based,Nitrogen Emission,32,-3.3149877603958737,-27.356222777254697,2.041222241991881,-8.460577727773927,7.656651782705196e-10
Nitrogen based,Nitrogen Leach,32,-9.783977748545055,-34.71702655230992,-0.21795177046744435,-19.141040533357398,-2.029273524219175
Water based,Nitrogen Leach,32,-3.8650071493254083,-27.356222777254704,2.0210393272950737,-8.805841367082648,-8.591727757894263e-08
Nitrogen based,Greenhouse Gas emission,32,-28.981552040690303,-78.49696233376542,0.9265315940193845,-54.72182444233545,-0.2108965783492212
Water based,Greenhouse Gas emission,32,-38.909058585584134,-82.50157303281692,-0.28687823790959,-69.5822777127706,-17.784712268499106
Nitrogen based,Profit,32,-1.0000001305019928e-07,-192.82783341487902,4.2535528181629925,-32.348739246047096,1.083536386028414e-07
Water based,Profit,32,-3.752392972645949e-09,-144.14159832679363,12.651945202656117,-12.150471460022686,0.6082011984115332
Nitrogen based,Calorie,32,0.0,-9.999998947855607e-08,16.82674123755052,-9.984899043372335e-08,0.866750133961381
Water based,Calorie,32,-1.1574392289230226e-09,-9.999999682591338e-08,21.337753601624662,-9.999996543477234e-08,2.7153131136095787
Nitrogen based,Phosphorus application,32,-3.118362784561996,-18.018378036212248,-0.0,-10.44586063953065,-0.6297032947320844
Water based,Phosphorus application,32,-0.8740514164221256,-19.98519538595512,14.727337701297241,-7.070106878013078,0.1376475241876946
Nitrogen based,Nitrogen application,32,-6.229414229577936,-20.858905648093977,-0.010915322340609178,-9.805572779187381,-1.0028863728848787
Water based,Nitrogen application,32,-1.7239708402960003,-12.5159917475642,4.1986273675435966,-4.775875324891818,0.06073154579204257
Nitrogen based,Phosphorus Surplus,32,-7.539196618721945,-29.483628404247767,-3.2155033036619142e-09,-16.136922605821066,-1.065188639293143
Water based,Phosphorus Surplus,32,-3.000224894349031,-31.197546487041937,7.619323936463818,-12.740390602182492,1.0341874759630844e-10
Nitrogen based,Nitrogen Surplus,32,-9.783977748545075,-34.717026552309925,-0.21650489889900199,-19.025190582253007,-1.8712482697540442
Water based,Nitrogen Surplus,32,-3.8650071493253977,-27.356222777254708,2.0448256786524643,-8.460577727773908,5.9890856968342565e-09
Nitrogen based,Water Demand,32,-16.940229038403285,-41.826227812447264,0.5254040395203041,-30.060429674872324,-1.1442727785437485
Water based,Water Demand,32,-26.05847978819667,-53.33976039491684,-0.25751771841187526,-42.4689978947532,-5.9881176311933
