iteration,scenario,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
0,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,22.51733679190085,-22.51733679190085
0,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,6.439760663970192,-6.439760663970192
0,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,24.986664055053044,-24.986664055053044
0,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.918662953943738,-8.918662953943738
0,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,37.70996191790964,-37.70996191790964
0,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,48.955395017720434,-48.955395017720434
0,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-16.816054068648416,16.816054068648416
0,Water based,Profit,profit,Optimal,Optimal,Optimal,-11.741412717319141,11.741412717319141
0,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-5.199497335369253,5.199497335369253
0,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-6.238178260273585,6.238178260273585
0,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,13.509751950799572,-13.509751950799572
0,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.539264132068271,-5.539264132068271
0,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,12.439958049298328,-12.439958049298328
0,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.0508644251608152,-2.0508644251608152
0,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,19.996915894301274,-19.996915894301274
0,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,10.36262789481075,-10.36262789481075
0,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.252756317406543,-22.252756317406543
0,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,6.664885971962757,-6.664885971962757
0,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,30.437350582024088,-30.437350582024088
0,Water based,Water Demand,water,Optimal,Optimal,Optimal,49.10534787136443,-49.10534787136443
1,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.566421889621125,-23.566421889621125
1,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,7.896729855763354,-7.896729855763354
1,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,26.085079099388206,-26.085079099388206
1,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,10.219296117297478,-10.219296117297478
1,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,38.42620311246568,-38.42620311246568
1,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,47.435241590395115,-47.435241590395115
1,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-18.295823345378874,18.295823345378874
1,Water based,Profit,profit,Optimal,Optimal,Optimal,-13.879657020211525,13.879657020211525
1,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-5.548058527974331,5.548058527974331
1,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-5.047446686725194,5.047446686725194
1,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,11.339582534514957,-11.339582534514957
1,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.1092714311222265,-6.1092714311222265
1,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.13283191577425,-13.13283191577425
