scenario,metric,center_pct_reduction,center_display_pct,bootstrap_mean_pct_reduction,bootstrap_p2_5_pct_reduction,bootstrap_p97_5_pct_reduction,bootstrap_mean_display_pct,display_interval_low,display_interval_high,lower_err_display,upper_err_display,n_optimal,n_total
Nitrogen based,Nitrogen Emission,20.190325148139497,-20.190325148139497,22.35258048595168,21.33879441041479,23.518189405490556,-22.35258048595168,-23.518189405490556,-21.33879441041479,3.3278642573510595,0.0,500,500
Water based,Nitrogen Emission,9.187451276031998,-9.187451276031998,8.051834234283719,6.027164810584793,10.072297164805486,-8.051834234283719,-10.072297164805486,-6.027164810584793,0.8848458887734871,3.1602864654472054,500,500
Nitrogen based,Nitrogen Leach,22.526451309730778,-22.526451309730778,24.432236422921267,23.129832709067593,25.79523194616589,-24.432236422921267,-25.79523194616589,-23.129832709067593,3.268780636435114,0.0,500,500
Water based,Nitrogen Leach,10.975557342444809,-10.975557342444809,10.00593851892134,8.151789846123043,11.981600983365604,-10.00593851892134,-11.981600983365604,-8.151789846123043,1.0060436409207956,2.823767496321766,500,500
Nitrogen based,Greenhouse Gas emission,39.71095880276893,-39.71095880276893,38.57374642748589,36.457426373581676,40.609814887504925,-38.57374642748589,-40.609814887504925,-36.457426373581676,0.8988560847359963,3.2535324291872527,500,500
Water based,Greenhouse Gas emission,54.01693610528732,-54.01693610528732,51.876069036625324,50.68086633075284,53.070207327188584,-51.876069036625324,-53.070207327188584,-50.68086633075284,0.0,3.3360697745344794,500,500
Nitrogen based,Profit,-17.909805573393317,17.909805573393317,-17.446575027501822,-21.11085743139565,-13.957451232915645,17.446575027501822,13.957451232915645,21.11085743139565,3.9523543404776724,3.2010518580023337,500,500
Water based,Profit,-16.226189655741308,16.226189655741308,-15.55366022582066,-19.345558154901354,-11.568256491769782,15.55366022582066,11.568256491769782,19.345558154901354,4.657933163971526,3.1193684991600463,500,500
Nitrogen based,Calorie,-6.054615786471439,6.054615786471439,-5.237658788364228,-6.064051845500267,-4.33268246303566,5.237658788364228,4.33268246303566,6.064051845500267,1.7219333234357794,0.009436059028828048,500,500
Water based,Calorie,-8.102876895029825,8.102876895029825,-7.358915547583911,-8.126458873621408,-6.375262733150369,7.358915547583911,6.375262733150369,8.126458873621408,1.7276141618794556,0.023581978591582953,500,500
Nitrogen based,Phosphorus application,11.124720971759947,-11.124720971759947,11.82229127021922,10.019261610261685,13.52111149467935,-11.82229127021922,-13.52111149467935,-10.019261610261685,2.3963905229194022,1.1054593614982622,500,500
Water based,Phosphorus application,5.113702513366484,-5.113702513366484,5.737113293710154,3.423381297327594,7.7205958745583345,-5.737113293710154,-7.7205958745583345,-3.423381297327594,2.60689336119185,1.6903212160388903,500,500
Nitrogen based,Nitrogen application,10.807153758887306,-10.807153758887306,12.413403138992068,11.746779083262476,13.168920251534837,-12.413403138992068,-13.168920251534837,-11.746779083262476,2.361766492647531,0.0,500,500
Water based,Nitrogen application,3.0629045880209147,-3.0629045880209147,2.6180349820766646,1.2437624734281274,3.9568170307784833,-2.6180349820766646,-3.9568170307784833,-1.2437624734281274,0.8939124427575686,1.8191421145927873,500,500
Nitrogen based,Phosphorus Surplus,17.247492532572704,-17.247492532572704,17.882174340144914,15.588281240907126,19.993437426894772,-17.882174340144914,-19.993437426894772,-15.588281240907126,2.7459448943220686,1.659211291665578,500,500
Water based,Phosphorus Surplus,10.481336310108986,-10.481336310108986,11.004155176806062,8.095880721491596,13.509520747144098,-11.004155176806062,-13.509520747144098,-8.095880721491596,3.0281844370351116,2.38545558861739,500,500
Nitrogen based,Nitrogen Surplus,20.039595298152825,-20.039595298152825,22.129840836780005,21.128733678698836,23.289228734835014,-22.129840836780005,-23.289228734835014,-21.128733678698836,3.2496334366821884,0.0,500,500
Water based,Nitrogen Surplus,9.248641903318005,-9.248641903318005,8.155277093446188,6.1510653277172835,10.145841226657957,-8.155277093446188,-10.145841226657957,-6.1510653277172835,0.8971993233399527,3.097576575600721,500,500
Nitrogen based,Water Demand,31.906850807539872,-31.906850807539872,30.291041395174936,26.78838902463953,33.45625543499093,-30.291041395174936,-33.45625543499093,-26.78838902463953,1.5494046274510573,5.11846178290034,500,500
Water based,Water Demand,42.890342584904005,-42.890342584904005,44.68284828345194,43.74488667991767,45.52068700080876,-44.68284828345194,-45.52068700080876,-43.74488667991767,2.6303444159047586,0.0,500,500
