scenario,metric,original_total,optimized_total,pct_reduction,display_pct_change
Nitrogen based,Nitrogen Emission,290282123.55816853,225356597.95454675,22.366353397098393,-22.366353397098393
Water based,Nitrogen Emission,290282123.55816853,254577254.5661673,12.300057803885561,-12.300057803885561
Nitrogen based,Nitrogen Leach,2424029752.9984093,1972650082.2590022,18.62104498433123,-18.62104498433123
Water based,Nitrogen Leach,2424029752.9984093,2196886066.3917217,9.370499117253889,-9.370499117253889
Nitrogen based,Greenhouse Gas emission,403136325.06152815,290533370.27624875,27.931731224690186,-27.931731224690186
Water based,Greenhouse Gas emission,403136325.06152815,241455968.7541834,40.105628358513336,-40.105628358513336
Nitrogen based,Profit,551812968247.1362,594923896410.3468,-7.812597862669804,7.812597862669804
Water based,Profit,551812968247.1362,683050486885.2523,-23.78297107713854,23.78297107713854
Nitrogen based,Calorie,963998473994572.0,987235549733100.9,-2.410488850904521,2.410488850904521
Water based,Calorie,963998473994572.0,1026977649412245.0,-6.533119825045244,6.533119825045244
Nitrogen based,Phosphorus application,4623006519.730516,3931843775.7701063,14.95050333609954,-14.95050333609954
Water based,Phosphorus application,4623006519.730516,4255262605.333396,7.954648405266731,-7.954648405266731
Nitrogen based,Nitrogen application,12995727674.628963,11248591321.403572,13.443928627684738,-13.443928627684738
Water based,Nitrogen application,12995727674.628963,12216961629.572533,5.992477409147195,-5.992477409147195
Nitrogen based,Phosphorus Surplus,3624640161.935546,2889035140.595772,20.294566866658663,-20.294566866658663
Water based,Phosphorus Surplus,3624640161.935546,3161693818.939148,12.772201441071772,-12.772201441071772
Nitrogen based,Nitrogen Surplus,8356253323.314826,6581133654.368479,21.243009280170774,-21.243009280170774
Water based,Nitrogen Surplus,8356253323.314826,7399032930.5938835,11.455138513455509,-11.455138513455509
Nitrogen based,Water Demand,470932087070.40326,304502868545.1124,35.340386245630796,-35.340386245630796
Water based,Water Demand,470932087070.40326,266653705020.89212,43.37746092441817,-43.37746092441817
