gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,baseline_retained_area,optimized_retained_area,pct_reduction_n_surplus,realized_retained_share_pct,realized_staple_replacement_pct,configuration
1.0,0.0,8285335580.939312,8070832874.8245125,70816785.25,71307783.39230634,2.588944093082603,100.69333582507736,-0.6933358250773501,method_consistent
0.9,9.999999999999998,8285335580.939312,8042051746.585306,70816785.25,70210136.283934,2.9363184143523204,99.14335427127286,0.8566457287271493,method_consistent
0.8,19.999999999999996,8285335580.939312,8036639656.300941,70816785.25,69950269.46207872,3.0016397309301954,98.77639773556189,1.2236022644381188,method_consistent
0.7,30.000000000000004,8285335580.939312,8034297261.471076,70816785.25,69731223.9620787,3.0299113055330906,98.46708476798402,1.5329152320159782,method_consistent
0.6,40.0,8285335580.939312,8032694445.056931,70816785.25,69636034.06207871,3.0492565257536546,98.33266762427445,1.6673323757255496,method_consistent
0.5,50.0,8285335580.939312,8032188645.492134,70816785.25,69604896.06909005,3.0553612822822864,98.2886978325383,1.7113021674616988,method_consistent
0.4,60.0,8285335580.939312,8032129560.0691595,70816785.25,69589200.46909004,3.0560744148089944,98.26653416054359,1.7334658394564098,method_consistent
0.3,70.0,8285335580.939312,8032123149.763447,70816785.25,69588784.86909005,3.0561517841038173,98.26594729402808,1.7340527059719215,method_consistent
0.2,80.0,8285335580.939312,8032116796.312019,70816785.25,69588369.26909006,3.056228467194869,98.26536042751258,1.734639572487433,method_consistent
0.1,90.0,8285335580.939312,8032110450.219248,70816785.25,69587953.66909006,3.0563050614704967,98.26477356099706,1.7352264390029448,method_consistent
0.0,100.0,8285335580.939312,8032105347.732132,70816785.25,69587538.06909005,3.0563666460263184,98.26418669448152,1.7358133055184775,method_consistent
