gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,baseline_retained_area,optimized_retained_area,pct_reduction_n_surplus,realized_retained_share_pct,realized_staple_replacement_pct,configuration
1.0,0.0,8285335580.939308,7402914133.824502,70816785.25,71766326.73212095,10.650400801445464,101.34084239883079,-1.3408423988307858,no_historical_caps
0.9,9.999999999999998,8285335580.939308,7197747581.663242,70816785.25,67786817.57972151,13.126662024144181,95.72139901637445,4.2786009836255445,no_historical_caps
0.8,19.999999999999996,8285335580.939308,7045700866.455829,70816785.25,64135404.65356885,14.961792463002954,90.56525854309216,9.434741456907846,no_historical_caps
0.7,30.000000000000004,8285335580.939308,6924151077.497721,70816785.25,60873704.48356885,16.428839727059916,85.95942934809915,14.040570651900854,no_historical_caps
0.6,40.0,8285335580.939308,6831929059.619035,70816785.25,57831133.46075331,17.541914954704836,81.66303123842141,18.336968761578586,no_historical_caps
0.5,50.0,8285335580.939308,6763289087.48574,70816785.25,55369619.91560243,18.37036627647391,78.1871412549081,21.81285874509189,no_historical_caps
0.4,60.0,8285335580.939308,6711788180.574095,70816785.25,53267153.3491812,18.991957356382905,75.21825957099796,24.78174042900204,no_historical_caps
0.3,70.0,8285335580.939308,6675267663.692588,70816785.25,52135832.04750991,19.43274236170633,73.6207268706961,26.37927312930389,no_historical_caps
0.2,80.0,8285335580.939308,6645133339.694851,70816785.25,51031593.696189515,19.79644910240929,72.0614378583212,27.938562141678812,no_historical_caps
0.1,90.0,8285335580.939308,6631908386.034433,70816785.25,50402188.07618952,19.956067907600985,71.17265758147292,28.827342418527085,no_historical_caps
0.0,100.0,8285335580.939308,6624987861.425215,70816785.25,50116845.22949886,20.039595298152786,70.76972648867715,29.23027351132285,no_historical_caps
